nombre,Precios,Precios_unit,categorias,subcategoria,Categoria_principal,Unidad de referencia,tercera_columna
Mousse de café Nestlé La Lechera pack de 4 unidades de 59 g.,1.99,8.43,la despensa,yogures y postres,Postres y yogures,€/kg,
"Yogur sabor fresa, de plátano, de macedonia y de tarta de queso Danone sin gluten pack de 8 unidades de 120 g.",1.99,2.07,la despensa,yogures y postres,Postres y yogures,€/kg,
Aceitunas verdes manzanilla con hueso Carrefour 500 g.,1.99,3.98,la despensa,aperitivos,Aperitivos,€/kg,
Bocadito de pan de hamburguesa 255 g,1.99,7.8,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
Leche fermentada de fresa Carrefour Classic' sin gluten sin lactosa pack d 4 unidades de 160 g.,1.99,3.11,la despensa,yogures y postres,Postres y yogures,€/kg,
Leche fermentada fresa y plátano Carrefour Classic' sin gluten sin lactosa pack de 4 unidades de 160 g.,1.99,3.11,la despensa,yogures y postres,Postres y yogures,€/kg,
Peine puntas redondas Fussy 1 ud.,1.99,1.99,perfumeria e higiene,cabello,Cuidado del cabello,€/ud,
Pan media hogaza rebozada 400 g,1.99,4.97,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
Cacahuete cascara tostado sin sal Carrefour El Mercado bolsa de 250 g,1.99,7.96,la despensa,aperitivos,Aperitivos,€/kg,
Champú de manzana Natural Care Amalfi 400 ml.,1.99,0.501,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Tortillas de trigo integrales Mexifoods 8 ud.,1.99,6.22,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Sirope de fresa Carrefour 420 g.,1.99,7.24,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Guisamole Carrefour El Mercado 200 g,1.99,9.95,productos frescos,verduras y hortalizas,Fruta y verdura,€/kg,
Yogur liquido con fresa y plátano Carrefour Classic´ sin gluten pack de 12 unidades de 100 g.,1.99,1.66,la despensa,yogures y postres,Postres y yogures,€/kg,
Yogur liquido natural con azúcar de caña Carrefour Classic´ pack de 12 unidades de 100 g.,1.99,1.66,la despensa,yogures y postres,Postres y yogures,€/kg,
"Yogur sabor coco, fresa, frutos del bosque y macedonia Danone sin gluten pack de 8 unidades de 120 g.",1.99,2.07,la despensa,yogures y postres,Postres y yogures,€/kg,
