nombre,Precios,Precios_unit,categorias,subcategoria,Categoria_principal,Unidad de referencia,tercera_columna
Yogur sabor fresa Nestlé La Lechera pack de 4 unidades de 125 g.,2.75,5.5,la despensa,yogures y postres,Postres y yogures,€/kg,
"Bálsamo labial Original Liposan 4,8 g.",2.75,2.75,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,€/ud,
Cebolla granel Carrefour 1 kg aprox,2.75,2.75,productos frescos,verduras y hortalizas,Fruta y verdura,€/kg,
Set de Servilletas  2 capas de Celulosa RENOVA Cocktail 90pz - Blancas,2.75,0.03,limpieza y hogar,papel y celulosa,Limpieza y hogar,€/ud,
Café natural express monodosis Carrefour 14 unidades de 7 g.,2.75,28.06,la despensa,desayuno,Cereales y galletas,€/kg,
Croquetas de ibérico Aldelís 190 g.,2.75,14.47,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Bayeta Absorbente  Carrefour   - Azul,2.75,2.75,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,€/ud,
Jabón de manos en pastilla nutritivo con manteca de karité Carrefour Soft pack de 4 unidades de 100 g.,2.75,0.691,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100g,
Fiambre de Cerdo Cocido en lonchas sándwich Carrefour El Mercado sin gluten 450 g,2.75,6.11,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Café molido natural La Estrella 250 g.,2.75,11.0,la despensa,desayuno,Cereales y galletas,€/kg,
Café mezcla express monodosis Carrefour 14 unidades de 7 g.,2.75,28.06,la despensa,desayuno,Cereales y galletas,€/kg,
Tiramisú con mascarpone café y cacao Zero+4 sin gluten 110 g.,2.75,25.0,la despensa,yogures y postres,Postres y yogures,€/kg,
Jabón de manos en pastilla de almendra y ruibarbo Carrefour pack de 4 unidades de 100 g.,2.75,0.691,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100g,
Alas de Pollo Carrefour 500 g aprox,2.74,5.49,productos frescos,carniceria,Carne,€/kg,
Codillo de jamón de cerdo Carrefour 450 g aprox,2.7,5.99,productos frescos,carniceria,Carne,€/kg,
Ensaladilla rusa 300 g,2.7,9.0,productos frescos,platos preparados cocinados,Pizzas y platos preparados,€/kg,
Limpiacristales Cristasol 1.25 l.,2.69,2.15,limpieza y hogar,productos para toda la casa,Limpieza y hogar,€/l,
Postre lácteo de proteínas líquido desnatado sabor mango sin azúcar añadido Danone Yopro sin gluten 300 g.,2.69,8.97,la despensa,yogures y postres,Postres y yogures,€/kg,
Queso en lonchas semicurado Carrefour 200 g.,2.69,13.45,productos frescos,quesos,Charcutería y quesos,€/kg,
Chocolate a la taza instantáneo Carrefour sin gluten 500 g.,2.69,5.38,la despensa,desayuno,Cereales y galletas,€/kg,
Regaliz de goma negro Mega Torcidas Haribo 200 g.,2.69,13.45,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Toreras no picantes Kimbo sin gluten 120 g.,2.69,22.42,la despensa,aperitivos,Aperitivos,€/kg,
Pan Superburguer Brioche 330 g,2.69,8.15,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
Queso de untar con salmón Philadelphia 150 g.,2.69,17.93,productos frescos,quesos,Charcutería y quesos,€/kg,
Cera de peinado Les Cosmétiques Kera Science 75 ml.,2.69,3.591,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Pan de molde rústico 600 g,2.69,4.48,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
Pimiento rojo  granel 1 Kg aprox,2.69,2.69,productos frescos,verduras y hortalizas,Fruta y verdura,€/kg,
Pan de molde integral sin corteza Bimbo Silueta 450 g.,2.69,5.98,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Aceite de oliva virgen extra Capricho Andaluz pack de 10 porciones de 10 ml.,2.69,2.69,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
Regaliz de goma relleno sabor fresa pika Haribo 200 g.,2.69,13.45,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Queso de untar con finas hierbas Philadelphia 150 g.,2.69,17.93,productos frescos,quesos,Charcutería y quesos,€/kg,
Cera de peinado efecto brillante Science Les Cosmétiques 75 ml.,2.69,3.591,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Pañuelos Collection Kleenex 15 ud.,2.69,0.18,limpieza y hogar,papel y celulosa,Limpieza y hogar,€/ud,
Preparado de soja natural edulcorado sin azúcar añadido  Danone Savia pack de 4 unidades de 120 g.,2.69,5.6,la despensa,yogures y postres,Postres y yogures,€/kg,
"Tostadas crujientes de trigo sarraceno ecológicas Santiveri sin gluten, sin lactosa y sin azúcar añadido 100 g.",2.69,26.9,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Arroz redondo Brillante Sabroz 1 kg.,2.69,2.69,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Hogaza de pan rústico recondo 24 rebanadas 240 g.,2.69,11.21,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Huevas rojas de lumpo procedente de pesca sostenible Carrefour 80 g,2.69,33.62,productos frescos,pescaderia,Marisco y pescado,€/kg,
Limpiahogar amigo de las mascotas Xanpa 1l.,2.69,2.69,limpieza y hogar,productos para toda la casa,Limpieza y hogar,€/l,
Bebida de zumo de frutas y avena Via Nature botella 75 cl.,2.69,3.59,bebidas,aguas y zumos,Agua y refrescos,€/l,
Bollo de petitas chocolate con leche Weikis La Bella Easo 6 ud.,2.69,10.76,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
Zumo de naranja recién exprimido con pulpa Carrefour Selección botella 1 l.,2.69,2.69,bebidas,aguas y zumos,Zumos,€/l,
Detergente líquido jabón de Marsella y flor de azahar Carrefour Essential 40 lavados.,2.69,0.07,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Polvos de talco suave bebé piel sensible natural hipoalergénico Johnson's Baby 200 g.,2.69,1.341,bebe,perfumeria e higiene,Cuidado facial y corporal,€/100g,
Vino D.O. La Mancha tinto reserva Viña Lobón 75 cl.,2.69,2.69,bebidas,vinos,Bodega,€/ud,
Vino espumoso blanco Vegaverde botella 75 cl.,2.69,2.69,bebidas,vinos,Bodega,€/ud,
Mousse de chocolate crujiente Nestlé Gold pack de 4 unidades de 57 g.,2.69,11.8,la despensa,yogures y postres,Postres y yogures,€/kg,
Pan tostado focaccia genovese en trozos Terre d'Italia 150 g.,2.69,17.93,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Nubes de goma con chocolate Chamallows Soft Kiss Haribo sin gluten 175 g.,2.69,15.37,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Txistorra de Navarra De Nuestra Tierra 220 g,2.69,12.23,productos frescos,carniceria,Carne,€/kg,
Codorníu Spritz very raspberry lata 25 cl.,2.69,2.69,bebidas,alcoholes,Bodega,€/ud,
Placas para lasaña y canelones Gallo sin gluten 250 g.,2.69,10.76,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Queso fundido en lonchas light Tranchettes La Vaca Que Ríe sin gluten 262.5 g.,2.69,10.27,productos frescos,quesos,Charcutería y quesos,€/kg,
Queso burguer con cheddar El Caserío sin gluten 185 g.,2.69,14.54,productos frescos,quesos,Charcutería y quesos,€/kg,
Cera de peinado fibra remodelante Flex Style Les Cosmétiques 75 ml.,2.69,3.591,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Masa maxi pizza Carrefour 385 g.,2.69,6.99,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Salsa barbacoa Cero Prima sin gluten y sin azúcar añadido envase 265 g.,2.69,10.15,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Pan payés 5 cereales con semillas de calabaza rebanado 490 g,2.69,5.49,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
Mousse de vainilla crujiente Nestlé Gold pack de 4 unidades de 100 g.,2.69,11.8,la despensa,yogures y postres,Postres y yogures,€/kg,
Grasa de caballo incolora para el calzado Búfalo 75 ml.,2.69,35.87,limpieza y hogar,calzado,calzado,€/l,
Chorizo pavo Carrefour sin gluten y sin lactosa 2x75 g,2.69,17.93,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Trencinas Carrefour El Mercado 500 g,2.69,5.38,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
Pipas Supremas Facundo sin gluten y sin lactosa 120 g.,2.69,22.42,la despensa,aperitivos,Aperitivos,€/kg,
Arroz redondo para microondas Nomen sin gluten pack de 2 unidades de 200 g.,2.69,6.72,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Salchichón pavo Carrefour sin gluten y sin lactosa 2x75 g,2.69,17.93,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Detergente líquido Colonia Fresca Carrefour 40 lavados.,2.69,0.07,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Ensaladilla rusa Carretilla sin gluten sin aceite de palma 240 g.,2.69,11.21,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Codorníu Spritz limoming lata 25 cl.,2.69,2.69,bebidas,alcoholes,Bodega,€/ud,
Pan crujiente original Wasa 205 g.,2.69,13.12,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Aceitunas verdes chupadedos El Faro 500 g.,2.69,5.38,la despensa,aperitivos,Aperitivos,€/kg,
"Queso fundido en lonchas Tranchettes La Vaca Que Ríe sin gluten 262,5 g.",2.69,10.27,productos frescos,quesos,Charcutería y quesos,€/kg,
Pistachos tostados y salados Carrefour 200 g.,2.69,13.45,la despensa,aperitivos,Aperitivos,€/kg,
Limpiacristales con amoniaco Cristasol 1 l.,2.69,2.69,limpieza y hogar,productos para toda la casa,Limpieza y hogar,€/l,
Café latte cappuccino Kaiku sin gluten 370 ml.,2.69,7.27,la despensa,lacteos,leche y mantequilla,€/l,
Servilletas 2 capas de Celulosa CARREFOUR HOME 200 ud - Blanco,2.69,2.69,limpieza y hogar,papel y celulosa,Limpieza y hogar,€/ud,
Chorizo ibérico de cebo en lonchas Juan Luna sin gluten 100 g,2.69,26.9,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Galletas chocoguay Tosta-Rica Cuétara 144 g.,2.69,18.68,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Aceite de girasol Fontasol 1 l.,2.69,2.69,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
Arroz basmati para microondas Nomen sin gluten pack de 2 unidades de 200 g.,2.69,6.72,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Higienizante textil Asevi 720 ml.,2.69,3.74,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/l,
Zumo de zanahoria ecológico Carrefour Bio botella 750 ml.,2.69,3.59,bebidas,aguas y zumos,Zumos,€/l,
Nuez cascara Carrefour granel 500 g aprox,2.69,5.39,la despensa,aperitivos,Aperitivos,€/kg,
Patatas fritas crujientes Espada sin gluten 240 g.,2.69,11.21,la despensa,aperitivos,Aperitivos,€/kg,
Pizza 4 quesos Carrefour 400 g.,2.69,6.72,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Almejas blancas del norte al natural Dani 90 g.,2.69,29.89,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Arroz integral para microondas Nomen sin gluten pack de 2 unidades de 200 g.,2.69,6.72,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Vermut Forteni blanco 1 l.,2.69,2.69,bebidas,alcoholes,Bodega,€/l,
Picos camperos Carrefour El Mercado 500 g,2.69,5.38,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Pan de molde Natural 100% Bimbo 460 g.,2.69,5.85,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
"Chicles con 4 vitaminas, té verde y ginseng sabor a menta  Clix Pro sin gluten y sin azúcar 28 g.",2.69,96.07,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Tortitas con coco Inés Rosales 180 g.,2.69,14.94,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Tarrito de frutas variadas desde 4 meses sin azúcar añadido Hero Baby pack de 2 unidades de 130 g.,2.69,10.35,bebe,alimentacion infantil,Bebé,€/kg,
Barritas de cereales con avellanas Corny pack 6 unidades de 25 g.,2.69,17.93,la despensa,desayuno,Cereales y galletas,€/kg,
Copos de avena integral ecológicos EcoCesta sin azúcar añadido 500 g.,2.69,5.38,la despensa,desayuno,Cereales y galletas,€/kg,
Mousse de chocolate negro crujiente Nestlé After Eight pack de 4 unidades de 57 g.,2.69,11.8,la despensa,yogures y postres,Postres y yogures,€/kg,
Pipas Borges sin gluten 350 g.,2.69,7.69,la despensa,aperitivos,Aperitivos,€/kg,
Polvo gasificante para hornear  Royal sin gluten pack de 6 sobres de 16 g.,2.69,28.02,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Gel de ducha Hidrotermal La Toja 550 ml.,2.69,0.491,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Salchichas con queso cheddar Cheeselovers Oscar Mayer sin gluten 275 g.,2.69,9.78,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Café molido mezcla express descafeinado Carrefour 250 g.,2.69,10.76,la despensa,desayuno,Cereales y galletas,€/kg,
Café soluble cappuccino chocolate Carrefour Extra 144 g.,2.69,18.68,la despensa,desayuno,Cereales y galletas,€/kg,
Pañuelos Allergy Kleenex caja de 56 ud.,2.69,0.05,limpieza y hogar,papel y celulosa,Limpieza y hogar,€/ud,
La Gula del Norte salteada al ajillo Ubago 50 g.,2.69,53.8,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Tarrito de garbanzos con verduritas desde 8 meses ecológico Carrefour Baby Bio pack de 2 unidades de 200 g,2.69,6.72,bebe,alimentacion infantil,Bebé,€/kg,
Pechuga de pavo ecológica en lonchas Carrefour Bio sin gluten 90 g,2.69,29.89,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Cocktail de picos de pan integrales Carrefour El Mercado 500 g,2.69,5.38,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
Galletas de chocolate blanco Estrellas Príncipe 225 g.,2.69,11.96,la despensa,desayuno,Cereales y galletas,€/kg,
"Longaniza de Pavo Extra Carrefour sin gluten pack de 2 unidades de 62,5 g",2.69,21.52,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Mezcla de setas cocinadas con ajo y perejil Carrefour 450 g.,2.69,5.98,congelados,salteados congelados,Congelados,€/kg,
Desodorante en spray antitranspirante 48h Invisible Black&White Rexona 200 ml.,2.69,1.341,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Tempura 5 verduras Carrefour 400 g.,2.69,6.72,congelados,rebozados y platos preparados,Pizzas y platos preparados,€/kg,
Shimeji blanco 150 g,2.69,17.93,productos frescos,verduras y hortalizas,Fruta y verdura,€/kg,
Spaguetti boloñesa Carrefour 300 g.,2.69,8.97,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
"Fregasuelos multidesinfección Sanicentro 1,5 l.",2.69,1.79,limpieza y hogar,productos para toda la casa,Limpieza y hogar,€/l,
Desodorante roll-on antitranspirante cobalt dry 72h Advanced Protection Rexona 50 ml.,2.69,5.381,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Tarrito de manzana y plátano Ecológico Carrefour Baby Bio desde 6 meses pack de 2 unidades de 200 g.,2.69,6.72,bebe,alimentacion infantil,Bebé,€/kg,
Chocolate blanco con relleno de avellanas Ferrero Rocher 90 g.,2.69,29.89,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Aceituna negra arrugada de Aragón con hueso De Nuestra Tierra 220 g.,2.69,12.23,la despensa,aperitivos,Aperitivos,€/kg,
Galletas rellenas de crema de vainilla Golden Oreo 220 g.,2.69,12.23,la despensa,desayuno,Cereales y galletas,€/kg,
Gel de ducha aloe vera Hidrotermal La Toja 550 ml.,2.69,0.491,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Café soluble cappuccino vainilla en sobres Carrefour 8 unidades de 18 g.,2.69,18.68,la despensa,desayuno,Cereales y galletas,€/kg,
Sardinas picantes Cuca 120 g.,2.69,31.65,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Barritas de cereales de chocolate blanco Corny sin azúcar añadido pack 6 unidades de 20 g.,2.69,22.42,la despensa,desayuno,Cereales y galletas,€/kg,
Azúcar moreno de caña especial postres Azucarera doy pack 750 g.,2.69,3.59,la despensa,desayuno,Cereales y galletas,€/kg,
Barritas de cereales de chocolate con leche Corny sin azúcar añadido pack 6 unidades de 20 g.,2.69,22.42,la despensa,desayuno,Cereales y galletas,€/kg,
"Brócoli Findus 360 g,",2.69,7.47,congelados,verduras congeladas,Congelados,€/kg,
Mermelada de arándano categoría extra Carrefour 410 g.,2.69,6.56,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Postre lácteo de proteínas sabor coco Danone Yopro pack de 2 unidades de 160 g.,2.69,7.08,la despensa,yogures y postres,Postres y yogures,€/kg,
Brócoli en floretes precocido ultracongeladas Extra Carrefour 675 g.,2.69,3.99,congelados,verduras congeladas,Congelados,€/kg,
Sardinas al limón Cuca 85 g.,2.69,31.65,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Barritas de cereales con chocolate negro Corny pack 6 unidades de 23 g.,2.69,19.49,la despensa,desayuno,Cereales y galletas,€/kg,
Barritas de cereales con chocolate con leche Corny pack de 6 unidades de 25 g.,2.69,17.93,la despensa,desayuno,Cereales y galletas,€/kg,
Vitamina C en comprimidos efervescentes Vive Plus sin gluten 20 ud.,2.69,33.62,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Chocolate con leche receta original Lindt 125 g.,2.69,21.52,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Pizza de pepperoni Carrefour Classic' 410 g.,2.69,6.56,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Arroz integral Carrefour pack de 6 unidades de 167 g.,2.69,2.68,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Sardinas en tomate Cuca sin gluten y sin lastosa 80 g.,2.69,33.62,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Regañás de pan Carrefour El Mercado 500 g,2.69,5.38,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
Harina de trigo espelta integral Gallo Nature 1 kg.,2.69,2.69,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Galletas infantiles Hero Baby sin gluten 150 g.,2.69,17.93,bebe,alimentacion infantil,Bebé,€/kg,
Verduras para sofrito Findus 250 g.,2.69,10.76,congelados,salteados congelados,Congelados,€/kg,
Galletas de chocolate con leche Estrellas Príncipe 225 g.,2.69,11.96,la despensa,desayuno,Cereales y galletas,€/kg,
Mermelada de ciruela ecológica Carrefour Bio 350 g.,2.69,7.69,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Puré de patatas con leche Maggi sin gluten 230 g.,2.69,11.7,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Datil deshuesado ecológico Carrefour granel tarrina 250 g,2.69,13.45,la despensa,aperitivos,Aperitivos,€/kg,
Snacks de pollo para perros cachorros Pedigree Tasty Minis Junior 125 g.,2.69,19.21,mascotas,perros,Mascotas,€/kg,
Yogur desnatado cremoso natural edulcorado sin azúcar añadido Danone Vitalinea pack de 4 unidades de 120 g.,2.69,5.6,la despensa,yogures y postres,Postres y yogures,€/kg,
Macedonia de frutas variadas en almíbar ligero Classic Carrefour pack de 3 latas de 125 g.,2.69,7.17,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Aceitunas negras Kalamata Carrefour 200 g.,2.69,13.45,la despensa,aperitivos,Aperitivos,€/kg,
Regaliz de goma fresa Mega Torcidas Haribo 200 g.,2.69,13.45,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Café mezcla monodosis Carrefour compatible con Senseo 32 unidades de 7 g.,2.69,12.01,la despensa,desayuno,Cereales y galletas,€/kg,
Tarrito de Melocotón con Platano y Pera Ecológico Carrefour Baby Bio desde 6 meses pack de 2 unidades de 200 g.,2.69,6.72,bebe,alimentacion infantil,Bebé,€/kg,
Tarrito de verduritas con ternera desde 6 meses ecológico Carrefour Baby Bio pack de 2 unidades de 200 g,2.69,6.72,bebe,alimentacion infantil,Bebé,€/kg,
Preparado tipo chantilly en polvo Royal 72 g.,2.69,3.74,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Chocolate negro con avellanas Nestlé Dark 150 g.,2.69,17.93,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Regaliz de goma sabor fresa Balla Stixx Haribo 200 g.,2.69,13.45,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Desmaquillantes waterproof Carrefour Soft 150 ml.,2.69,1.791,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Gel energético con ciclodextrina sabor a cereza 226 ERS 76 g.,2.69,35.39,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
"Zumo de mango, maracuyá y ginseng Via Nature botella 75 cl.",2.69,3.59,bebidas,aguas y zumos,Zumos,€/l,
Clara de huevo liquido pasteurizado Roig 500 ml,2.69,5.38,la despensa,huevos,Huevos,€/kg,
Tarrito de frutas con copos de avena Ecologico Carrefour Baby Bio desde 6 meses pack de 2 unidades de 200 g.,2.69,6.72,bebe,alimentacion infantil,Bebé,€/kg,
Batido de cacao Cacaolat sin gluten y sin azúcar añadido botella 1 l.,2.69,2.69,la despensa,lacteos,leche y mantequilla,€/l,
Chocolate a la taza listo para tomar Ram sin gluten brik 1 l.,2.69,2.69,la despensa,desayuno,Cereales y galletas,€/l,
Café latte proteína sin azúcar añadido Mr. Big Kaiku sin gluten sin lactosa 370 ml.,2.69,7.27,la despensa,lacteos,leche y mantequilla,€/l,
Pan de molde integral sin corteza 8 cereales Bimbo Silueta 450 g.,2.69,5.98,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Guindilla entera deshidratada Trevijano 40 g,2.69,67.25,productos frescos,verduras y hortalizas,Fruta y verdura,€/kg,
Set 5 Bandejas Planas de Aluminio CARREFOUR 1 l.,2.69,2.69,limpieza y hogar,menaje,Limpieza y hogar,€/ud,
Pan de molde integral 800 g,2.69,3.36,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
Sardinas en aceite de oliva con limón Minerva 85 g.,2.69,31.65,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Salsa al pesto rosso Gallo 190 g.,2.69,14.16,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Patatas fritas Mediterráneas Lay's sin gluten 150 g.,2.69,17.93,la despensa,aperitivos,Aperitivos,€/kg,
Sardinas en aceite de oliva Cuca 120 g.,2.69,31.65,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Leche fermentada de proteínas desnatada con fresa Danone Yopro pack 2 unidades de 160 g.,2.69,8.41,la despensa,yogures y postres,Postres y yogures,€/kg,
Sardinas en escabeche Cuca 85 g.,2.69,31.65,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Tarrito de verduritas con pavo desde 6 meses ecológico Carrefour Baby Bio pack de 2 unidades de 200 g,2.69,6.72,bebe,alimentacion infantil,Bebé,€/kg,
Tagliatelle carbonara Carrefour 300 g.,2.69,8.97,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Pimientos del Piquillo enteros extra Carretilla 150 g.,2.69,17.93,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Chocolate negro 70% cacao sin azúcar añadido Nestlé 115 g.,2.69,23.39,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Yuca 1 Kg aprox,2.69,2.69,productos frescos,frutas,Fruta y verdura,€/kg,
Cacahuetes recubiertos de chocolate de colores Conguitos sin gluten y sin acete de palma doy pack 168 g.,2.69,16.01,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Zumo de granada y uva Carrefour brik 1 l.,2.69,2.69,bebidas,aguas y zumos,Zumos,€/l,
Tarrito multifrutas Ecológica Carrefour Baby Bio desde 6 meses pack de 2 unidades de 200 g.,2.69,6.72,bebe,alimentacion infantil,Bebé,€/kg,
Tarrito de lentejas con verduritas desde 8 meses ecológico Carrefour Baby Bio pack de 2 unidades de 200 g,2.69,6.72,bebe,alimentacion infantil,Bebé,€/kg,
Tarrito de arroz con pollo y verduritas desde 6 meses ecológico Carrefour Baby Bio pack de 2 unidades de 200 g,2.69,6.72,bebe,alimentacion infantil,Bebé,€/kg,
Tarrito de verduritas con pollo desde 6 meses ecológico Carrefour Baby Bio pack de 2 unidades de 200 g,2.69,6.72,bebe,alimentacion infantil,Bebé,€/kg,
Avellana natural Original Carrefour 200 g.,2.69,13.45,la despensa,aperitivos,Aperitivos,€/kg,
Toreras picantes Kimbo sin gluten 120 g.,2.69,22.42,la despensa,aperitivos,Aperitivos,€/kg,
Chocolate con leche para repostería Nestlé Postres sin gluten 170 g.,2.69,15.82,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Pañuelos Family Kleenex 128 ud.,2.69,0.02,limpieza y hogar,papel y celulosa,Limpieza y hogar,€/ud,
Huevas negras de lumpo procedente de pesca sostenible Carrefour 80 g.,2.69,33.62,productos frescos,pescaderia,Marisco y pescado,€/kg,
Cappuccino vienes Extra Carrefour 300 g.,2.69,8.97,la despensa,desayuno,Cereales y galletas,€/kg,
Tarrito de verduritas variadas desde 4 meses ecológico Carrefour Baby Bio pack de 2 unidades de 200 g,2.69,6.72,bebe,alimentacion infantil,Bebé,€/kg,
Exfoliante suave facial para todo tipo de pieles Carrefour Soft 75 ml.,2.65,3.531,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
"Chicles de fresa Trident sin azúcar pack de 5 unidades de 13,5 g.",2.65,39.55,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Tortas de aceite Carrefour pack de 6 unidades de 30 g.,2.65,14.72,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Postre de soja sabor vainilla Alpro sin lactosa pack de 4 unidades de 125 g.,2.65,5.3,la despensa,yogures y postres,Postres y yogures,€/kg,
Sobaos mini Classic' Carrefour 700 g.,2.65,3.79,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Tarrito de brócoli y guisantes con pavo desde 6 meses ecológico Gerber sin gluten 190 g.,2.65,13.95,bebe,alimentacion infantil,Bebé,€/kg,
Esmalte de uñas 60 Seconds Super Shine nº 323 Funtime Fuchsia Rimmel London 1 ud.,2.65,2.65,perfumeria e higiene,cosmetica,Cuidado facial y corporal,€/ud,
Vega Madroño Tinto 2022,2.65,2.65,bebidas,vinos,Bodega,€/ud,
Barritas de miel para conejos enanos Vitakraft 2 ud.,2.65,1.32,mascotas,conejos y roedores,Mascotas,€/ud,
Tarrito de zanahoria y tomate con pavo desde 6 meses ecológico Gerber sin gluten 190 g.,2.65,13.95,bebe,alimentacion infantil,Bebé,€/kg,
Desengrasante multiusos perfumado El Milagrito 1 l.,2.65,2.65,limpieza y hogar,productos para cocina,Limpieza y hogar,€/l,
"After shave locion refresca, calma y suaviza Men Carrefour 300 ml.",2.65,0.881,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,€/100ml,
