nombre,Precios,Precios_unit,categorias,subcategoria,Categoria_principal,Unidad de referencia
Picada de ajo y perejil 80 g,3.49,43.62,productos frescos,verduras y hortalizas,"Aceite, especias y salsas",KILO
Arroz tres delicias tradicional Findus-Salto 500 g.,3.49,6.98,la despensa,conservas sopas y precocinados,"Arroz, legumbres y pasta",KILO
Churros de lazo La Santiña sin gluten 150 g.,3.49,23.27,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
Almendras fritas y saladas Selección Borges sin gluten 160 g.,3.49,21.81,la despensa,aperitivos,"Aceite, especias y salsas",KILO
Ensalada xtreme pollo crispy Florette 210 g,3.49,16.62,productos frescos,verduras y hortalizas,"Aceite, especias y salsas",KILO
Esponja de baño Peeling Actibel 1 ud.,3.49,3.49,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,UNIDAD
Tomate rosa tip top granel 1 kg aprox,3.49,3.49,productos frescos,verduras y hortalizas,Fruta y verdura,KILO
Pizza de jamón y queso Casa Tarradellas sin gluten sin lactosa 420 g.,3.49,8.31,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
Pizza de atún y bacon La Originale Palacios 405 g.,3.49,8.62,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
Pechuga de pollo baja en grasa Serrano sin gluten y sin lactosa 330 g,3.49,10.58,productos frescos,charcuteria,Charcutería y quesos,KILO
Tomate raff Carrefour 1 kg aprox,3.49,3.49,productos frescos,verduras y hortalizas,Fruta y verdura,KILO
"Coloración Permanente nº 4,15 Chocolate Garnier Color Sensation 1 ud.",3.49,3.49,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Coloración Permanente nº 3 Castaño Oscuro Garnier Color Sensation 1 ud.,3.49,3.49,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Coloración Permanente nº 4 Castaño Garnier Color Sensation 1 ud.,3.49,3.49,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
"Coloración Permanente nº 2,1 Negro Azulado Garnier Color Sensation 1 ud.",3.49,3.49,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Mix de frutos secos ecológico Carrefour Bio doy pack 125 g.,3.49,27.92,la despensa,aperitivos,Aperitivos,KILO
Gel de ducha original eco recarga Moussel 650 ml.,3.49,0.541,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Coloración Permanente nº 110 Rubio Extra Claro Garnier Color Sensation 1 ud.,3.49,3.49,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Comida para periquitos  Premium Life 800 g.,3.49,4.36,mascotas,pajaros,Mascotas,KILO
Limpiador desinfectante Las 3 Brujas 1 l.,3.49,3.49,limpieza y hogar,productos para bano,Limpieza y hogar,LITRO
Queso rallado pizza light Arla 150 g.,3.49,23.27,productos frescos,quesos,Charcutería y quesos,KILO
Detergente en polvo a mano Wipp Express 500 g.,3.49,6.98,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,KILO
Desodorante en spray tacto puro 24h anti manchas blancas NB Palmolive 200 ml.,3.49,1.741,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Barrita alta en proteínas sabor stracciatella Just Loading sin aceite de palma pack de 3 unidades de 30 g.,3.49,38.78,la despensa,alimentacion,"Aceite, especias y salsas",KILO
Cereales con chocolate belga All Bran Kellogg's 375 g.,3.49,9.31,la despensa,desayuno,Cereales y galletas,KILO
Arroz redondo Sos 2 kg.,3.49,1.74,la despensa,alimentacion,"Arroz, legumbres y pasta",KILO
Salsa alioli de ajo negro Familia Suárez sin gluten 135 g.,3.49,25.85,la despensa,alimentacion,"Aceite, especias y salsas",KILO
Toallitas para bebé Baby Zero Salustar 80 ud.,3.49,0.04,bebe,panales y toallitas,"Aceite, especias y salsas",UNIDAD
Vino tinto Alma de Valdeguerra 75 cl.,3.49,3.49,bebidas,vinos,Bodega,UNIDAD
Crema de noche antiarrugas Q10 hidrata y mejora la elasticidad Carrefour Soft 50 ml,3.49,6.981,perfumeria e higiene,cosmetica,Cuidado facial y corporal,100 ML
Sirope de Agave ecológica Azucarera 360 g.,3.49,9.69,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Queso La Brique ecológico Carrefour Bio 180 g,3.49,19.39,productos frescos,quesos,Charcutería y quesos,KILO
Refresco de naranja Fanta con gas pack de 2 botellas de 2 l.,3.49,0.0,bebidas,refrescos,Agua y refrescos,No especificado
Galletas Infantiles desde 10 meses Nestlé PequeGalletas sin aceite de palma 180 g.,3.49,19.39,bebe,alimentacion infantil,"Aceite, especias y salsas",KILO
Morcilla de cebolla Carrefour 400 g,3.49,8.72,productos frescos,carniceria,Carne,KILO
Gummy Jelly de goma sabores frutales Dulciora sin gluten 300 g.,3.49,11.63,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Preparado vegetal de avena y arroz para postres Veggie Nestlé La lechera sin gluten 370 g.,3.49,9.43,la despensa,lacteos,"Arroz, legumbres y pasta",KILO
Queso Parmigiano Reggiano DOP Curado en porciones GranTerre sin lactosa pack de 5 unidades de 20 g.,3.49,34.9,productos frescos,quesos,Charcutería y quesos,UNIDAD
Zumo de naranja sin pulpa Innocent botella 900 ml.,3.49,3.88,bebidas,aguas y zumos,Zumos,LITRO
Carne de almeja cocida congelada 270 g,3.49,12.93,congelados,mariscos congelados,Cuidado facial y corporal,KILO
Pan hot dog Brioxe Proceli sin gluten y sin lactosa pack de 2 unidades de 75 g.,3.49,0.0,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,No especificado
Trozos de chocolate negro Vahiné doy pack 100 g.,3.49,34.9,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Masa de pizza Carrefour No gluten sin gluten 260 g.,3.49,13.42,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO
Fanta de limón pack 2 botellas 2 l.,3.49,0.0,bebidas,refrescos,Agua y refrescos,No especificado
Mortadela Carrefour El Mercado sin gluten pieza de 800 g,3.49,4.36,productos frescos,charcuteria,Charcutería y quesos,KILO
Crema adhesiva para prótesis dentales fijación fuerte Dentafix Carrefour Soft 50 g.,3.49,3.49,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,UNIDAD
Cerveza Cruzcampo Shandy con limón pack de 6 botellas de 25 cl.,3.49,2.33,bebidas,cerveza,Bodega,LITRO
Café soluble descafeinado Carrefour 200 g.,3.49,17.45,la despensa,desayuno,"Cacao, café e infusiones",KILO
"Chocolate con leche relleno de galleta, leche y chocolate Milka 300 g.",3.49,11.63,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Kit Shaky Matte & Glossy Lip Colour Magic Studio 1 ud.,3.49,3.49,perfumeria e higiene,cosmetica,Cuidado facial y corporal,UNIDAD
Flamenquines de pavo y queso Adelís 255 g,3.49,13.69,productos frescos,carniceria,Carne,KILO
Palmeras Integrales 230 g,3.49,15.17,productos frescos,panaderia tradicional,Panadería y pastelería,KILO
Crema facial de día antiarrugas Q10 Carrefour Soft 50 ml.,3.49,6.981,perfumeria e higiene,cosmetica,Cuidado facial y corporal,100 ML
Cepillo de dientes extra suave para niños 2-6 años Colgate 1 ud.,3.49,3.49,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,UNIDAD
Pan de hamburguesa Brioxe Proceli sin gluten y sin lactosa pack 2 undiades de 90 g.,3.49,0.0,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,No especificado
Salsa Siciliana De Cecco 400 g.,3.49,8.72,la despensa,alimentacion,"Aceite, especias y salsas",KILO
Colas de langostino cocidas Aguinamar 90 g,3.49,38.78,productos frescos,pescaderia,Marisco y pescado,KILO
Brocha maquillaje foundation Dytas 1 ud.,3.49,3.49,perfumeria e higiene,cosmetica,Cuidado facial y corporal,UNIDAD
Gel after sun Science Les Cosmétiques 400 ml.,3.49,0.871,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Queso rallado mozzarella Arla 150 g.,3.49,23.27,productos frescos,quesos,Charcutería y quesos,KILO
Sosa Caústica Carrefour 1 kg.,3.49,3.49,limpieza y hogar,productos para bano,Limpieza y hogar,KILO
Cilantro Gourmet Garden 80 g,3.49,43.62,productos frescos,verduras y hortalizas,Fruta y verdura,KILO
Jabón natural cara y cuerpo en pastilla ecológico Carrefour Soft Green 100 g.,3.49,3.491,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 GR
Albahaca Gourmet Garden 80 g,3.49,43.62,productos frescos,verduras y hortalizas,"Aceite, especias y salsas",KILO
Lazos de hojaldre blanco Carrefour Classic' 8 ud.,3.49,11.63,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO
Chocolate negro 82% Valor sin gluten 170 g.,3.49,20.53,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Limpiador desinfectante antical baños Lysol 750 ml.,3.49,4.65,limpieza y hogar,productos para bano,Limpieza y hogar,LITRO
Pack cortacallos con 10 cuchillas Carrefour Soft,3.49,3.49,perfumeria e higiene,cosmetica,Cuidado facial y corporal,UNIDAD
Queso saint-marcellin Reflets de France 80 g.,3.49,43.62,productos frescos,quesos,Charcutería y quesos,KILO
Mejillón tigre relleno congelado Carrefour 400 g,3.49,8.72,productos frescos,pescaderia,Cuidado facial y corporal,KILO
Pera ercolina a granel 1 Kg aprox,3.49,3.49,productos frescos,frutas,Fruta y verdura,KILO
Solución unica de lentillas Carrefour 100 ml.,3.49,3.491,perfumeria e higiene,cuidado y proteccion corporal,Fitoterapia y parafarmacia,100 ML
Lenteja pardina categoría extra De Nuestra Tierra 1 kg.,3.49,3.49,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO
Desodorante en spray antitranspirante cotton dry 72h Advanced Protection Rexona 200 ml.,3.49,1.741,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Pera conferencia Carrefour Selección 4 ud,3.49,3.49,productos frescos,frutas,Fruta y verdura,KILO
Queso havarti en lonchas con jalapeños Arla 150 g.,3.49,23.27,productos frescos,quesos,Charcutería y quesos,KILO
Chocolate negro con frambuesas y rosas Pancracio sin gluten 100 g.,3.49,34.9,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Desodorante en spray antitranspirante invisible pure 72h Advanced Protection Rexona 200 ml.,3.49,1.741,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Iluminador Bubble Highlighter Magic Studio 1 ud.,3.49,3.49,perfumeria e higiene,cosmetica,Cuidado facial y corporal,UNIDAD
Desodorante en spray antitranspirante Marine Fresh 72h Advanced Protection Rexona 200 ml.,3.49,1.741,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Colas de langostino al ajillo Aguinamar 105 g,3.49,33.24,productos frescos,pescaderia,Marisco y pescado,KILO
Pechuga de pollo certificado entera Carrefour 400 g aprox,3.48,8.69,productos frescos,carniceria,Carne,KILO
Vela Taco 150x70 mm - Marfil,3.45,3.45,limpieza y hogar,ambientadores,Limpieza y hogar,UNIDAD
Clavo molido Carmencita sin gluten 40 g.,3.45,86.25,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO
Flan de huevo chocolate sin azúcar añadido Dhul pack de 4 unidades de 100 g.,3.45,8.62,la despensa,yogures y postres,Postres y yogures,KILO
Postre lácteo de natillas desde 6 meses Nestlé Yogolino sin gluten pack de 4 unidades de 100 g.,3.45,8.62,bebe,alimentacion infantil,Bebé,KILO
Tallarines a la Boloñesa 300 g,3.45,13.8,productos frescos,platos preparados cocinados,"Arroz, legumbres y pasta",KILO
Carne de Mejillon cocido 80/120 Classic´ Carrefour 400 g.,3.45,8.62,productos frescos,pescaderia,Marisco y pescado,KILO
Queso havarti light en lonchas Arla 150 g.,3.45,23.0,productos frescos,quesos,Charcutería y quesos,KILO
Huevos camperos Pazo de Vilane 12 ud.,3.45,3.45,la despensa,huevos,"Huevos, leche y mantequilla",DOCENA
Risotto de hongos deshidratado Trevijano 280 g,3.45,12.32,productos frescos,verduras y hortalizas,Fruta y verdura,KILO
Yogur natural de leche de oveja pasteurizada ecológica Carrefour Bio 420 g.,3.45,8.21,la despensa,yogures y postres,Postres y yogures,KILO
Queso havarti en lonchas Arla 150 g.,3.45,23.0,productos frescos,quesos,Charcutería y quesos,KILO
Fingers vegetal sabor mozzarella Sensation Carrefour 275 g.,3.45,12.55,congelados,rebozados y platos preparados,Pizzas y platos preparados,KILO
Escalopines vegetal Sensation Carrefour 270 g.,3.45,12.78,congelados,rebozados y platos preparados,Pizzas y platos preparados,KILO
Bolsas de congelación medianas Albal 40 ud.,3.45,0.09,limpieza y hogar,conservacion de alimentos,Cuidado facial y corporal,UNIDAD
Yogur natural desnatado con leche de oveja pasteurizada ecológica Carrefour Bio 420 g.,3.45,8.21,la despensa,yogures y postres,Postres y yogures,KILO
Suavizante concentrado leche de almendra ecológico Frosch 30 lavados.,3.45,0.11,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LAVADO
Piadina Sfogliatissima con aceite de oliva virgen extra Loriana 350 g,3.45,9.86,la despensa,panaderia bolleria y pasteleria,"Aceite, especias y salsas",KILO
Detergente liquido quitamanchas anti transferencia Carrefour Expert 40 lavados.,3.45,0.09,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LAVADO
Set 50 Platos Desechables de Cartón 23 cm CARREFOUR HOME,3.45,0.07,limpieza y hogar,menaje,Limpieza y hogar,UNIDAD
Aceituna gordal aliñada con hueso Classic Carrefour 500 g.,3.45,6.9,la despensa,aperitivos,Aperitivos,KILO
Postre lácteo fresa y plátano desde 6 meses Nestlé Yogolino sin gluten y sin azúcar añadido pack de 4 unidades de 100 g.,3.45,8.62,bebe,alimentacion infantil,Bebé,KILO
Ajoarriero de Bacalao Angomar 225 g,3.45,15.33,productos frescos,pescaderia,Marisco y pescado,KILO
Tarta de queso con mermelada con fresa Reina sin gluten pack de 4 unidades de 100 g.,3.45,8.62,la despensa,yogures y postres,Postres y yogures,KILO
Sazonador cardamomo Carmencita 30 g.,3.45,115.0,la despensa,alimentacion,"Aceite, especias y salsas",KILO
Queso en lonchas Danbo Arla 150 g.,3.45,23.0,productos frescos,quesos,Charcutería y quesos,KILO
Sopa de quinoa deshidratada Trevijano 200 g,3.45,17.25,productos frescos,verduras y hortalizas,"Arroz, legumbres y pasta",KILO
Compresas normal sin alas Liberty Evax 12 ud.,3.45,0.29,perfumeria e higiene,higiene intima,Cuidado facial y corporal,UNIDAD
Compresas normal con alas Liberty Evax 12 ud.,3.45,0.29,perfumeria e higiene,higiene intima,Cuidado facial y corporal,UNIDAD
Desodorante en spray active control 48h antitranspirante Sanex Men 200 ml.,3.45,1.721,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Compresas con alas para noche Liberty Evax 9 ud.,3.45,0.38,perfumeria e higiene,higiene intima,Cuidado facial y corporal,UNIDAD
Sopa Thai de quinoa Trevijano sin gluten 200 g,3.45,17.25,productos frescos,verduras y hortalizas,"Arroz, legumbres y pasta",KILO
Compresas super con alas Liberty Evax 10 ud.,3.45,0.35,perfumeria e higiene,higiene intima,Cuidado facial y corporal,UNIDAD
Cerveza San Miguel especial Lager pack de 6 botellas de 25 cl.,3.45,2.3,bebidas,cerveza,Bodega,LITRO
Jamón cocido extra en lonchas Ferrarini sin gluten y sin lactosa 100 g,3.45,34.5,productos frescos,charcuteria,Charcutería y quesos,KILO
Dátiles sin hueso ecológicos Paño Naturae sin gluten doy pack 250 g,3.45,13.8,la despensa,aperitivos,Aperitivos,KILO
Pintxo de marisco Aguinamar 200 g,3.45,19.17,productos frescos,pescaderia,Marisco y pescado,KILO
Pintxo a la donostiarra con gambas Aguinamar 200 g,3.45,19.17,productos frescos,pescaderia,Marisco y pescado,KILO
Desodorante en spray Black & White Invisible Original Nivea 250 ml.,3.45,1.381,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Desodorante en spray Black & White Invisible Original Nivea Men 250 ml.,3.45,1.381,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Caña de crema Qé Bimbo 3 ud.,3.45,13.53,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO
Nachos Tex Mex Doritos 260 g.,3.45,13.27,la despensa,aperitivos,Aperitivos,KILO
Cereales integrales con chocolate Chocapic Nestlé 375 g.,3.45,9.2,la despensa,desayuno,Cereales y galletas,KILO
Risotto mediterráneo deshidratado Trevijano 280 g,3.45,12.32,productos frescos,verduras y hortalizas,Fruta y verdura,KILO
Fingers vegetal sabor pollo Sensation Carrefour 275 g.,3.45,12.55,congelados,rebozados y platos preparados,Pizzas y platos preparados,KILO
Apósitos prevención ampollas dedos Salvelox 6 ud.,3.45,0.58,parafarmacia,botiquin,Fitoterapia y parafarmacia,UNIDAD
Jabón de manos en pastilla glicerina natural Lixoné pack de 3 unidades de 125 g.,3.45,0.921,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 GR
Barrita de frutos secos y caramelo salado Nakd  sin azúcar añadido 140 g.,3.45,24.64,la despensa,desayuno,"Aceite, especias y salsas",KILO
Bizcochitos chocolate Fibre One 5 ud.,3.45,28.75,la despensa,desayuno,Cereales y galletas,KILO
Lenteja categoría extra ecológica Luengo 500 g.,3.45,6.9,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO
"Limpiahogar universal con bioalcohol Brillante Tenn 1,25 l.",3.45,2.76,limpieza y hogar,productos para toda la casa,"Aceite, especias y salsas",LITRO
Cereales con frutos rojos Stylesse Carrefour 500 g.,3.45,6.9,la despensa,desayuno,Cereales y galletas,KILO
Barrita de frutos secos y cacahuetes Nakd sin azúcar añadido 140 g.,3.45,24.64,la despensa,desayuno,Cereales y galletas,KILO
Loncha paleta curada Carrefour envase 200 g,3.45,17.25,productos frescos,charcuteria,Charcutería y quesos,KILO
Queso lonchas García Baquero sin lactosa 150 g.,3.45,23.0,productos frescos,quesos,Charcutería y quesos,KILO
"Fregasuelos para madera efecto reparador Tenn Brillante 1,25 l.",3.45,2.76,limpieza y hogar,productos para toda la casa,Limpieza y hogar,LITRO
Postre lácteo de galleta desde 6 meses Nestlé Yogolino pack de 4 unidades de 100 g.,3.45,8.62,bebe,alimentacion infantil,Bebé,KILO
Salsa Tikka Masala Patak sin gluten 450 g.,3.45,7.67,la despensa,alimentacion,"Aceite, especias y salsas",KILO
Salsa Tandoori Patak sin gluten 450 g.,3.45,7.67,la despensa,alimentacion,"Aceite, especias y salsas",KILO
Barritas de fruta y frutos secos con cacao nakd sin azúcar añadido 140 g.,3.45,24.64,la despensa,desayuno,Cereales y galletas,KILO
Compota de manzana Andros 750 g.,3.45,4.6,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Salsa boloñesa de soja Gallo 350 g.,3.45,9.86,la despensa,alimentacion,"Aceite, especias y salsas",KILO
Galletas María ecológicas Gullón sin lactosa 350 g.,3.45,9.86,la despensa,desayuno,Cereales y galletas,KILO
Barrita de frutos secos y arándanos Nakd sin azúcar añadido 140 g.,3.45,24.64,la despensa,desayuno,Cereales y galletas,KILO
Gel de ducha reparador lactourea para piel muy seca Lactovit 750 ml.,3.45,0.461,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Galletas con mantequilla bretonas Carrefour pack de 2 unidades de 125 g.,3.45,13.8,la despensa,desayuno,Cereales y galletas,KILO
After Shave bálsamo piel sensible Lea 125 ml.,3.45,2.761,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,100 ML
Chocolate negro 98% ecológico Ethiquable 100 g.,3.45,34.5,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Postre lácteo mango desde 6 meses Nestlé Yogolino sin gluten y sin azúcar añadido pack de 4 unidades de 100 g.,3.45,8.62,bebe,alimentacion infantil,Bebé,KILO
Postre de coco plátano desde 6 meses Nestlé Yogolino sin gluten y sin lactosa pack de 4 unidades de 90 g.,3.45,9.58,bebe,alimentacion infantil,Bebé,KILO
Postre lácteo de cacao desde 8 meses Nestlé Yogolino sin gluten pack de 4 unidades de 100 g.,3.45,8.62,bebe,alimentacion infantil,Bebé,KILO
Mayonesa Ajonesa Chovi envase 400 ml.,3.45,8.62,la despensa,alimentacion,"Aceite, especias y salsas",LITRO
Barritas de fruta y frutos secos con limón nakd sin azúcar añadido 140 g.,3.45,24.64,la despensa,desayuno,Cereales y galletas,KILO
Postre lácteo con cereales desde 6 meses Nestlé Yogolino pack de 4 unidades de 100 g.,3.45,8.62,bebe,alimentacion infantil,Bebé,KILO
Galletas de cacao con pepitas de chocolate Gullón sin gluten 200 g.,3.45,17.25,la despensa,desayuno,Cereales y galletas,KILO
Cereales Special K Granola Dark Choco 320 gr.,3.45,10.78,la despensa,desayuno,Cereales y galletas,KILO
Salteado de quinoa y lentejas con verduras y pollo ultracongelado Extra Carrefour 450 g.,3.45,7.67,congelados,salteados congelados,Cuidado facial y corporal,KILO
Compota de manzana y pera Andros 750 g.,3.45,4.6,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Café molido natural Gran Aroma Marcilla 250 g.,3.45,13.8,la despensa,desayuno,"Cacao, café e infusiones",KILO
Café molido mezcla Gran Aroma Marcilla 250 g.,3.45,13.8,la despensa,desayuno,"Cacao, café e infusiones",KILO
Desodorante en spray dermo invisible 24h Sanex Men 200 ml.,3.45,1.721,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Risotto de setas Carretilla 250 g.,3.45,13.8,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
Postre lácteo melocotón y plátano desde 6 meses sin azúcar añadido Nestlé Yogolino sin gluten pack de 4 unidades de 100 g.,3.45,8.62,bebe,alimentacion infantil,Bebé,KILO
Braseado Verduras con gambas Carrefour 450 g.,3.45,7.67,congelados,verduras congeladas,Congelados,KILO
Tortillas de máiz y arroz Mission sin gluten 216 g.,3.45,15.97,la despensa,conservas sopas y precocinados,"Arroz, legumbres y pasta",KILO
Postre lácteo natural desde 6 meses sin azúcar añadido Nestlé Yogolino sin gluten pack de 4 unidades de 100 g.,3.45,8.62,bebe,alimentacion infantil,Bebé,KILO
Queso cheddar en lonchas Arla 150 g.,3.45,23.0,productos frescos,quesos,Charcutería y quesos,KILO
Tónico facial calmante aloe vera Babaria 200 ml.,3.45,1.721,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Atún de Almadraba en aceite de oliva Tejero 156 g.,3.45,22.12,la despensa,conservas sopas y precocinados,"Aceite, especias y salsas",KILO
Queso maasdam Carrefour 375 g.,3.45,9.2,productos frescos,quesos,Charcutería y quesos,KILO
Almendras bañadas en chocolate negro Extra Carrefour sin gluten doy pack 200 g.,3.45,17.25,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Postre lácteo de frutas con queso fresco desde 8 meses Nestlé Yogolino sin gluten pack de 4 unidades de 100 g.,3.45,8.62,bebe,alimentacion infantil,Bebé,KILO
Barrita de proteínas sabor chocolate intenso Just Loading pack de 3 unidades de 30 g.,3.45,32.86,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO
Queso curado lonchas García Baquero 125 g.,3.45,27.6,productos frescos,quesos,Charcutería y quesos,KILO
Queso havarti madurado Arla 150 g.,3.45,23.0,productos frescos,quesos,Charcutería y quesos,KILO
Jamoncito de pavo Carrefour 750 g aprox,3.44,4.59,productos frescos,carniceria,Carne,KILO
Media gallina Nutrave 700 g aprox,3.43,4.9,productos frescos,carniceria,Carne,KILO
Pincho Moruno de Pollo Marinado Adobado Carrefour 310 g,3.4,10.97,productos frescos,carniceria,Carne,KILO
Sustituto vegetal de bechamel ecológico Sol Natural sin gluten sin lactosa 350 g.,3.4,9.71,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO
Sustituto vegetal del huevo ecológico Sol Natural sin gluten 350 g.,3.4,9.71,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO
Hamburguesa de cerdo Carrefour El Mercado 6x90 g,3.4,0.57,productos frescos,carniceria,Carne,UNIDAD
"Chicles sabor menta Oral-B Trident pack de 3 unidades de 17 g,",3.39,66.47,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Galletas avena y fruta ecológicas Digestive Gullón 270 g.,3.39,12.56,la despensa,desayuno,Cereales y galletas,KILO
Zumo de tomate ecológico Carrefour botella 750 l.,3.39,4.52,bebidas,aguas y zumos,Zumos,LITRO
Mini ensaimada de azúcar Carrefour 6 ud,3.39,0.57,productos frescos,panaderia tradicional,Panadería y pastelería,UNIDAD
Alcachofas con jamón Extra Carrefour sin gluten 260 g.,3.39,13.04,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
Galletas chía ecológicas Digestive Gullón 270 g.,3.39,12.56,la despensa,desayuno,Cereales y galletas,KILO
Taquitos de york Campofrío sin gluten pack de 2 unidades de 85 g,3.39,19.94,productos frescos,charcuteria,Charcutería y quesos,KILO
Chocolate negro intenso con higos Lindt Excellence 100 g.,3.39,33.9,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Pan de queso Mordi & Godi sin gluten 253 g.,3.39,13.4,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO
Hamburguesa mixta Círculo de Calidad 300 g,3.39,11.3,productos frescos,carniceria,Carne,KILO
Alas de Pollo Congeladas 1 kg,3.39,3.39,productos frescos,carniceria,Cuidado facial y corporal,KILO
Ambientador eléctrico aparato Ambi Pur 1 ud.,3.39,3.39,limpieza y hogar,ambientadores,Limpieza y hogar,UNIDAD
Tostadas ligeras de arroz integral y castaña ecológicas Soria Natural sin gluten 95 g.,3.39,35.68,la despensa,panaderia bolleria y pasteleria,"Arroz, legumbres y pasta",KILO
Berenjena Carrefour Simply 2 kg,3.39,1.69,productos frescos,verduras y hortalizas,Fruta y verdura,KILO
Mantequilla fácil de untar 82% MG sin sal Carrefour 250 g.,3.39,13.56,la despensa,lacteos,"Aceite, especias y salsas",KILO
Ambientador aspiradora aire limpio Ambar 400 ml.,3.39,8.47,limpieza y hogar,ambientadores,Limpieza y hogar,LITRO
Protector talón de gel Carrefour 1 ud.,3.39,3.39,limpieza y hogar,calzado,Cuidado facial y corporal,UNIDAD
Parches aromáticos con citronela Carrefour 24 ud.,3.39,0.14,parafarmacia,botiquin,Fitoterapia y parafarmacia,UNIDAD
Ensaimada de azúcar Carrefour 4 ud,3.39,0.85,productos frescos,panaderia tradicional,Panadería y pastelería,UNIDAD
Cocktail de frutos secos con olivas Sensation Carrefour doy pack 200 g.,3.39,16.95,la despensa,aperitivos,Aperitivos,KILO
Paté de hígado de cerdo Tapa Negra La Piara pack de 3 unidades de 75 g.,3.39,15.07,productos frescos,charcuteria,"Cacao, café e infusiones",KILO
Palomitas al punto de sal ecológicas Popitas sin gluten pack de 3 unidades de 80 g.,3.39,14.13,la despensa,aperitivos,"Aceite, especias y salsas",KILO
Medallones de rulo de queso de cabra Carrefour 150 g,3.39,22.6,productos frescos,quesos,Charcutería y quesos,KILO
"Barritas de cereales con chocolate negro sin azúcar añadido Bicentury Sarialís sin gluten pack de 6 unidades de 14,5 g.",3.39,33.24,la despensa,desayuno,Cereales y galletas,KILO
Queso cheddar Carrefour 300 g.,3.39,11.3,productos frescos,quesos,Charcutería y quesos,KILO
Agua de colonia Gotas Frescas Familia Instituto Español 80 ml.,3.39,4.241,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Min burger beef style Sensation Carrefour sin gluten 4 ud.,3.39,16.95,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
Toalla turbante seca pelo Ponette 1 ud.,3.39,3.39,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
