Nombre,Precios,Precios_unidad,Subcategoria,Categorias,Unidad de referencia,Marca,Supermercado,Precio_Estatus
Cecina Palcarsa sin gluten y sin lactosa taco de 500 g aprox,16.85,33.7,charcuteria,Charcutería y quesos,KILO,,Carrefour,outlier
Concentrado de proteína de suero de leche sabor chocolate Prozis 400 g.,16.79,41.97,alimentacion,"Salsas, pasta y refrescos",KILO,PROZIS,Carrefour,outlier
Desmaquillante suavidad ojos Avéne 125 ml.,16.79,13.431,cuidado e higiene facial,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Brandy de Jerez Alma de Magno solera gran reserva 70 cl.,16.79,23.99,alcoholes,Bodega,LITRO,ALMA MAGNO,Carrefour,outlier
Concentrado de proteína de suero de leche sabor vainilla Prozis 400 g.,16.79,41.97,alimentacion,"Salsas, pasta y refrescos",KILO,PROZIS,Carrefour,outlier
Capuchino proteico con cafeína extra Prozis 400 g,16.79,41.97,alimentacion,"Salsas, pasta y refrescos",KILO,PROZIS,Carrefour,outlier
Ron Flor de Caña añejo clásico 5 años 70 cl.,16.79,23.99,alcoholes,Bodega,LITRO,FLOR REA,Carrefour,outlier
Vermut Cinzano 1757 rojo 75 cl.,16.79,16.79,alcoholes,Bodega,LITRO,,Carrefour,outlier
Crema protector solar FP50 Protege & Broncea Nivea Sun 200 ml.,16.79,8.391,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Crema protector solar FP30 Protege & Hidrata Nivea Sun 400 ml.,16.79,4.201,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Licor de whisky Thunder Bitch 70 cl.,16.75,23.93,alcoholes,Bodega,LITRO,THUNDER BITCH,Carrefour,outlier
Leche solar proctectora pieles intolerantes al sol FP 50+ Delial 400 ml.,16.75,4.191,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Champú mango Klorane 400 ml.,16.69,4.171,cabello,Cuidado del cabello,100 ML,,Carrefour,outlier
Ginebra Larios 12 premium 70 cl.,16.69,23.84,alcoholes,Bodega,LITRO,RIO,Carrefour,outlier
Loción Mustela 750 ml,16.69,2.231,perfumeria e higiene,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Crema de noche antiedad intensiva Cellular Expert Filler Nivea 50 ml.,16.69,33.381,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Spray protector solar rostro y cuerpo SPF30 Hydra 24h Protect Garniel Delial 270 ml.,16.65,6.171,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Champú granada Klorane 400 ml.,16.59,4.151,cabello,Cuidado del cabello,100 ML,,Carrefour,outlier
Spray solar para niños sensitive advanced FPS 50+ Delial 200 ml.,16.59,8.291,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Gamba salvaje pelada cruda 88/123 piezas Grand Krust 600 g.,16.59,27.65,mariscos congelados,"Aceite, especias y salsas",KILO,,Carrefour,outlier
Crema fortificante Age Perfect Golden Age L'Oréal 50 ml.,16.55,33.101,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Comida húmeda tartelette surtido para gatos adulto Purina Gourmet Gold 24x85 g.,16.55,8.11,gatos,Mascotas,KILO,,Carrefour,outlier
"Gel dermo remodelador estiliza, define y tonifica Fitness E'lifexir 200 ml.",16.49,8.241,cuidado corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Proteína vegana de chocolate Weider sin gluten 300 g.,16.49,54.97,alimentacion,"Salsas, pasta y refrescos",KILO,,Carrefour,outlier
Spray protector solar FP20 Protege & Broncea Nivea Sun 270 ml.,16.49,6.111,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Funda para Tabla de Planchar Metalizada VILEDA Rapid,16.49,16.49,cuidado de la ropa,Limpieza y hogar,UNIDAD,,Carrefour,outlier
