Nombre,Precios,Precios_unidad,Subcategoria,Categorias,Unidad de referencia,Marca,Supermercado,Precio_Estatus
Grageas de chocolate Lacasitos sin gluten 500 g.,11.09,22.18,dulce,"Azúcar, caramelos y chocolate",KILO,LACASITOS,Carrefour,outlier
Queso pecorino romano D.O.P. Terre D´Italia 200 g,11.09,55.45,quesos,Charcutería y quesos,KILO,TERRE ITALIA,Carrefour,outlier
Bálsamo suave para barba hidratación profunda con manteca de cacao King C Gillette 100 ml.,11.09,11.091,depilacion y afeitado,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Crema iluminadora facial vitamina C SPF15 Clinians 50 ml.,11.09,22.181,cosmetica,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Recambios maquinilla Venus Comfortglide Breeze Gillette 4 ud.,11.09,2.77,depilacion y afeitado,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Queso madurado de cabra con trufa negra La Laguna 500 g aprox,11.0,22.0,quesos,Charcutería y quesos,KILO,,Carrefour,outlier
Huevas de Atún De Nuestra Tierra 150 g,10.99,73.27,pescaderia,Marisco y pescado,KILO,NUESTRA TIERRA,Carrefour,outlier
Tarta sabor yema y nata Carrefour El Mercado sin gluten 500 g,10.95,0.0,panaderia tradicional,Panadería y pastelería,No especificado,CARREFOUR,Carrefour,outlier
Mojama de Atún Extra Carrefour El Mercado 250 g,10.95,43.8,pescaderia,Marisco y pescado,KILO,CARREFOUR,Carrefour,outlier
Bacalada salada El Mercado Carrefour 600 g,10.95,18.25,pescaderia,"Aceite, especias y salsas",KILO,CARREFOUR,Carrefour,outlier
Queso azul de mezcla madurado Valdeón De Nuestra Tierra 500 g aprox,10.95,21.9,quesos,Charcutería y quesos,KILO,NUESTRA TIERRA,Carrefour,outlier
Mejillón fresco cocido en salmuera con media concha Mares de Galicia 500 g,10.95,21.9,pescaderia,"Aceite, especias y salsas",KILO,,Carrefour,outlier
Saku aún de aleta amarilla congelado marinado Petaca Chico 300 g aprox,10.93,36.45,pescaderia,Cuidado facial y corporal,KILO,MERCADO,Carrefour,outlier
"Pienso de salmón para gato adulto esterilizado Ultima Nature Cat 1,25 kg.",10.9,8.72,gatos,"Aceite, especias y salsas",KILO,,Carrefour,outlier
Tarta American Cookies 700 g,10.9,14.53,panaderia tradicional,Panadería y pastelería,KILO,CARREFOUR,Carrefour,outlier
Tarta infantil sin gluten 750 g,10.9,14.53,panaderia tradicional,Panadería y pastelería,KILO,TARTA INFANTIL,Carrefour,outlier
Tarta Brownie Cake 550 g,10.9,10.9,panaderia tradicional,Panadería y pastelería,KILO,,Carrefour,outlier
Tarta Red Velvet 700 g,10.9,15.57,panaderia tradicional,Panadería y pastelería,KILO,CARREFOUR,Carrefour,outlier
Tinte permanente sin amoníaco nº 6U rubio oscuro Excellence Universal Nudes L'Oréal Paris 1 ud.,10.89,10.89,cabello,"Aceite, especias y salsas",UNIDAD,,Carrefour,outlier
Crema de noche nutritiva anti-flacidez pieles maduras L'Oréal-Dermo Expertise 50 ml.,10.89,21.781,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
"Café extra fuerte en cápsulas Saimaza compatible con Nespresso 40 unidades de 5,2 g.",10.89,52.36,desayuno,"Cacao, café e infusiones",KILO,SAIMAZA,Carrefour,outlier
Pre-champú rescate reparación fibra capilar Elvive Bond Repair L'Oréal Paris 200 ml.,10.89,5.441,cabello,Cuidado del cabello,100 ML,,Carrefour,outlier
Cola de caballo en comprimidos Sanon 180 ud.,10.89,10.891,nutricion y dietetica,"Cacao, café e infusiones",100 GR,,Carrefour,outlier
Aceite de oliva virgen extra gran selección Carbonell 750 ml.,10.89,14.52,alimentacion,"Aceite, especias y salsas",LITRO,CARBONELL,Carrefour,outlier
Crema solar SPF50+ Les Cosmetiques 400 ml.,10.89,2.721,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,LES COSMETIQUES,Carrefour,outlier
Café espresso crema e gusto en càpsulas Lavazza compatible con Nespresso 30 ud.,10.89,66.0,desayuno,"Cacao, café e infusiones",KILO,LAVAZZA,Carrefour,outlier
Tinte permanente sin amoníaco nº 4U castaño Excellence Universal Nudes L'Oréal Paris 1 ud.,10.89,10.89,cabello,"Aceite, especias y salsas",UNIDAD,,Carrefour,outlier
Tinte permanente sin amoníaco nº 5U castaño claro Excellence Universal Nudes L'Oréal Paris 1 ud.,10.89,10.89,cabello,"Aceite, especias y salsas",UNIDAD,,Carrefour,outlier
Crema de día rehidratante anti-flacidez pieles maduras L'Oréal-Dermo Expertise 50 ml.,10.89,21.781,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Preservativos sensitivo suave para mayor sensibilidad talla pequeña Durex 10 ud.,10.89,1.09,bienestar sexual,Fitoterapia y parafarmacia,UNIDAD,,Carrefour,outlier
Tarta Donuts Glacé 360 g.,10.89,30.25,yogures y postres,Postres y yogures,KILO,DONUTS TARTA,Carrefour,outlier
Buey de mar cocido 600 g,10.89,18.15,mariscos congelados,Congelados,KILO,,Carrefour,outlier
Tinte permanente sin amoniaco nº 8U rubio claro universal Excellence Creme L'oreal Paris 1 ud.,10.89,10.89,cabello,"Aceite, especias y salsas",UNIDAD,,Carrefour,outlier
Toallitas para bebé calma & protege Pure Dodot 138 ud.,10.89,0.08,panales y toallitas,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Tinte permanente sin amoniaco nº 7U rubio universal Excellence Creme L'oreal Paris 1 ud.,10.89,10.89,cabello,"Aceite, especias y salsas",UNIDAD,,Carrefour,outlier
Caldo casero de pollo Gallina Blanca sin gluten pack de 6 unidades de 1 l.,10.89,1.82,conservas sopas y precocinados,"Conservas, caldos y cremas",LITRO,GALLINA BLANCA,Carrefour,outlier
Gel de baño delicado para bebé Natural Sensation 0m+ Chicco 500 ml.,10.89,2.181,perfumeria e higiene,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Langostino cocido congelado (30/40 ud) Pescatrade 900 g,10.89,12.1,mariscos congelados,Cuidado facial y corporal,KILO,,Carrefour,outlier
Marques De Misa Brandy,10.89,15.56,alcoholes,Bodega,LITRO,MARQUES MARQUES,Carrefour,outlier
Leche infantil para lactantes en polvo ecológico Hipp Biológico 1 300 g.,10.89,36.3,alimentacion infantil,Bebé,KILO,HIPP,Carrefour,outlier
Bombones de chocolate negro con relleno cremoso Lindt Lindor 337 g.,10.89,0.0,dulce,"Azúcar, caramelos y chocolate",No especificado,LINDOR LINDT,Carrefour,outlier
Bálsamo Tiger Balm 19 g.,10.89,16.961,botiquin,botiquin,100 GR,,Carrefour,outlier
Biberón anticólico tetina de silicona flujo 4  3m+ Natural Response Philips Avent 330 ml.,10.89,10.89,bebe,Bebé,UNIDAD,,Carrefour,outlier
"Vino D.O. Ribera del Duero tinto crianza Protos 37,5 cl.",10.89,10.89,vinos,Bodega,UNIDAD,PROTOS,Carrefour,outlier
Colutorio dientes sensibles anticaries uso diario acción progresiva Desensin 500 ml.,10.89,2.181,higiene bucal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Agua de colonia Paula Echevarría 100 ml.,10.89,10.891,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Papel higiénico compact doble rollo Carrefour 32 rollos.,10.89,0.34,papel y celulosa,Limpieza y hogar,UNIDAD,,Carrefour,outlier
Agua de colonia Queen Sexy Pacha 80 ml.,10.89,13.611,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Cubo para Fregona VILEDA Wring & Go,10.89,10.89,utensilios de limpieza,Limpieza y hogar,UNIDAD,,Carrefour,outlier
Tinte permanente sin amoníaco nº 3U castaño oscuro Excellence Universal Nudes L'Oréal Paris 1 ud.,10.89,10.89,cabello,"Aceite, especias y salsas",UNIDAD,,Carrefour,outlier
Papel higiénico confort compact doble rollo Carrefour 32 rollos.,10.89,0.34,papel y celulosa,Limpieza y hogar,UNIDAD,,Carrefour,outlier
Chupete anatómico de silicona niño 0-6m Ultra Air Nighttime Philips Avent 2 ud.,10.89,5.44,puericultura,Bebé,UNIDAD,,Carrefour,outlier
Chupete anatómico de silicona niña 6-18m Ultra Air Nighttime Philips Avent 2 ud.,10.89,5.44,puericultura,Bebé,UNIDAD,,Carrefour,outlier
Agua de colonia nº45 apasionada oriental Caravan 150 ml,10.85,7.231,bano e higiene corporal,Cuidado facial y corporal,100 GR,,Carrefour,outlier
Coloración permanente sin amoniaco fórmula vegana tono 7.0 rubio almendra Good Garnier 1 ud.,10.85,10.85,cabello,Cuidado del cabello,UNIDAD,,Carrefour,outlier
Coloración permanente sin amoniaco fórmula vegana tono 5.5 castaño cereza Good Garnier 1 ud.,10.85,10.85,cabello,Cuidado del cabello,UNIDAD,,Carrefour,outlier
Pulpo cocido troceado congelado Carrefour 285 g.,10.85,38.07,pulpo calamar y sepia congelados,Cuidado facial y corporal,KILO,CARREFOUR,Carrefour,outlier
Coloración permanente sin amoniaco fórmula vegana tono 4.15 castaño marrón glacé Good Garnier 1 ud.,10.85,10.85,cabello,Cuidado del cabello,UNIDAD,,Carrefour,outlier
Coloración permanente sin amoniaco fórmula vegana tono 8.0 rubio miel Good Garnier 1 ud.,10.85,10.85,cabello,Cuidado del cabello,UNIDAD,,Carrefour,outlier
Crema de manos concentrada con perfume alivio inmediato para manos secas Neutrogena pack de 2 unidades de 50 ml.,10.85,10.851,cuidado de manos y pies,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Coloración permanente sin amoniaco fórmula vegana tono 4.0 castaño cacao Good Garnier 1 ud.,10.85,10.85,cabello,Cuidado del cabello,UNIDAD,,Carrefour,outlier
Freixenet Ice Rosé,10.85,10.85,cava y champagne,Bodega,UNIDAD,FREIXENET,Carrefour,outlier
Colutorio protección bucodental integral de dientes y encías triple acción Lacer Oros 500 ml.,10.85,2.171,higiene bucal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Pants para incontinencia extra large Carrefour 12 ud.,10.85,0.9,higiene intima,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Maquinillas desechables piel sensible Sensor3 Gillette 8 ud.,10.85,1.36,depilacion y afeitado,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Coloración permanente sin amoniaco fórmula vegana tono 6.0 castaño mocaccino Good Garnier 1 ud.,10.85,10.85,cabello,Cuidado del cabello,UNIDAD,,Carrefour,outlier
Coloración permanente sin amoniaco fórmula vegana tono 2.0 negro trufa Good Garnier 1 ud.,10.85,10.85,cabello,Cuidado del cabello,UNIDAD,,Carrefour,outlier
Coloración permanente sin amoniaco fórmula vegana tono 5.0 castaño café Good Garnier 1 ud.,10.85,10.85,cabello,"Cacao, café e infusiones",UNIDAD,,Carrefour,outlier
Cera depilatoria divina corporal frutos rojos Taky 400 g.,10.85,27.12,depilacion y afeitado,Cuidado facial y corporal,KILO,,Carrefour,outlier
Caramelos de melatonina Weider sin gluten 60 ud.,10.79,5.991,alimentacion,"Salsas, pasta y refrescos",100 GR,WEIDER,Carrefour,outlier
Enjuague bucal diario Herbal Parodontax 500 ml.,10.79,2.161,higiene bucal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Agua micelar desmaquillante rostro y ojos sensibles Avène 400 ml.,10.79,2.701,cuidado e higiene facial,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Gel ultra hidratante efecto hielo L'Oréal-Men Expert 50 ml.,10.79,21.581,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Whisky Loch Castle escocés 1 l.,10.79,10.79,alcoholes,Bodega,LITRO,CARREFOUR,Carrefour,outlier
Calcetines peeling exfoliantes con ácido glicólico Iroha Nature 1 ud.,10.79,10.79,cuidado y proteccion corporal,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Crema de manos rápida absorción textura ligera Neutrogena pack de 2 unidades de 75 ml.,10.79,7.191,cuidado de manos y pies,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Pañales Pants Day medianos Absodys Carrefour 14 ud.,10.79,0.77,higiene intima,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Enate Chardonnay 234 Blanco 2023,10.79,10.79,vinos,Bodega,UNIDAD,ENATE,Carrefour,outlier
Pañales Pants Day grandes Absodys Carrefour 14 ud.,10.79,0.77,higiene intima,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Cava Codorníu-Anna brut pack de 3 botellas de 20 cl.,10.79,10.79,cava y champagne,Bodega,UNIDAD,ANNA CODORNIU,Carrefour,outlier
Máscara de pestañas con aceite de argán Wonder'Full Rimmel 1 ud.,10.79,10.79,cosmetica,"Aceite, especias y salsas",UNIDAD,,Carrefour,outlier
Pants para incontinencia large noche Absodys Carrefour 14 ud.,10.79,0.77,higiene intima,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Pants para incontinencia medium noche Absodys Carrefour 14 ud.,10.79,0.77,higiene intima,Cuidado facial y corporal,UNIDAD,CARREFOUR,Carrefour,outlier
Medio lomo embuchado Ezequiel 600 g aprox,10.75,21.5,charcuteria,Charcutería y quesos,KILO,,Carrefour,outlier
Tarta carrot 750 g,10.75,14.33,panaderia tradicional,Panadería y pastelería,KILO,,Carrefour,outlier
La Gula del Norte 430 g.,10.75,25.0,gulas y surimis congelados,Congelados,KILO,,Carrefour,outlier
Crema de manos elasticidad intensa SPF 20 Neutrogena 75 ml.,10.75,14.331,cuidado de manos y pies,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Ambientador de varillas vainilla y magnolia del humalaya Botanica de Air Wick  80 ml.,10.75,134.37,ambientadores,Limpieza y hogar,LITRO,AIR WICK,Carrefour,outlier
Cepillo de dientes de batería extra suave para niños 3+ años Minions Colgate 1 ud.,10.75,10.75,boca y sonrisa,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
"Cacao soluble Nesquik sin gluten 1,5 kg.",10.75,0.0,desayuno,"Cacao, café e infusiones",No especificado,NESQUIK,Carrefour,outlier
Costilla Churrasco de añojo Calidad y Origen Carrefour 900 g aprox,10.71,11.9,carniceria,Carne,KILO,,Carrefour,outlier
Crema hidratante sin perfume anti arrugas extra firmeza Revitalift L'Oréal Paris 50 ml.,10.69,21.381,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Ginebra strawberry Sherinton 70 cl.,10.69,15.27,alcoholes,Bodega,LITRO,SHERINTON GIN,Carrefour,outlier
Ginebra Sherinton 70 cl.,10.69,15.27,alcoholes,Bodega,LITRO,,Carrefour,outlier
Bandas de cera depilatoria corporal Pure Veet 40 ud.,10.69,0.27,depilacion y afeitado,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Magnesio y vitamina B6 Juvamine 45 ud.,10.69,32.391,alimentacion,"Salsas, pasta y refrescos",100 GR,JUVAMINE,Carrefour,outlier
Whisky John Cor 70 cl.,10.69,15.27,alcoholes,Bodega,LITRO,JOHN COR,Carrefour,outlier
Cerveza Cruzcampo Tremenda pack de 12 latas de 33 cl.,10.69,2.7,cerveza,Bodega,LITRO,,Carrefour,outlier
Mojito Bacardí 70 cl.,10.69,15.27,alcoholes,Bodega,LITRO,,Carrefour,outlier
Aceite para el cuidado de la piel Bio-Oil 60 ml.,10.69,17.821,bebe,"Aceite, especias y salsas",100 ML,,Carrefour,outlier
"Conejo entero precortado Calidad y Origen Carrefour 1,250 Kg aprox",10.69,8.55,carniceria,Carne,KILO,,Carrefour,outlier
Plumero XXL + 2 recambios Swiffer 1 ud.,10.69,10.69,utensilios de limpieza,Limpieza y hogar,UNIDAD,,Carrefour,outlier
Champú y acondicionador reductor de canas con aloe vera y aceite de coco Control GX Just For Men 118 ml.,10.69,9.061,cabello,"Aceite, especias y salsas",100 ML,,Carrefour,outlier
Agua de colonia Ice Dive Adidas 100 ml.,10.69,10.691,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Crema solar facial hidratante ácido hialurónico SPF50+ Babaria 75 ml.,10.65,14.201,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Colorante en champú negro Just for Men 30 ml.,10.65,35.501,cabello,Cuidado del cabello,100 ML,,Carrefour,outlier
Colágeno hidrolizado en comprimidos Sanon sin gluten 180 ud.,10.65,1.311,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,,Carrefour,outlier
Queso curado de oveja en aceite de oliva Vegasotuelamos tarro de 400 g,10.65,10.65,quesos,"Aceite, especias y salsas",UNIDAD,VEGA SOTUELAMOS,Carrefour,outlier
Crema de noche antiarrugas + firmeza L'Oréal-Revitalift 50 ml.,10.65,21.301,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Crema de pies absorción inmediata para pieles secas Neutrogena 100 ml.,10.65,10.651,cuidado corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Entrecot de añojo Calidad y Origen Carrefour 500 g aprox,10.62,0.0,carniceria,Carne,No especificado,,Carrefour,outlier
Entrecot/Lomo de añojo Calidad y Origen Carrefour 500 g aprox,10.62,0.0,carniceria,Carne,No especificado,CIRCULO CALIDAD,Carrefour,outlier
"Contramuslos de Pollo con piel y hueso 2,5 kg aprox",10.62,4.25,carniceria,Carne,KILO,CARREFOUR,Carrefour,outlier
Agua de colonia Crossmen Original CR 200 ml.,10.59,5.291,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Carbonato de magnesio en polvo Ana María Lajusticia sin gluten 130 g.,10.59,8.151,alimentacion,"Salsas, pasta y refrescos",100 GR,ANA MARIA,Carrefour,outlier
Paleta de Cebo Ibérica 50 % Raza Ibérica en lonchas Sánchez Alcaraz sin gluten y sin lactosa 200 g,10.59,52.95,charcuteria,Charcutería y quesos,KILO,,Carrefour,outlier
Mascara de pestañas Colossal Go Extreme Waterproof Maybelline 1 ud.,10.59,10.59,cosmetica,"Aceite, especias y salsas",UNIDAD,,Carrefour,outlier
Jamón de Cebo Ibérico 50% Raza Ibérica en lonchas Sánchez Alcaraz sin gluten y sin lactosa 200 g,10.59,52.95,charcuteria,Charcutería y quesos,KILO,,Carrefour,outlier
De Nuestra Tierra Sin Crianza,10.59,10.59,vinos,Bodega,UNIDAD,NUESTRA TIERRA,Carrefour,outlier
Crema facial cara y escote SPF50+ protección muy alta anti-manchas y antiarrugas rosa mosqueta Babaria 75 ml.,10.59,14.121,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Alcachofa comprimidos Sanon 180 ud.,10.59,13.241,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,,Carrefour,outlier
Agua de colonia nº 31 Chypre floral para mujer Caravan 150 ml.,10.55,7.031,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Agua de colonia nº 26 Floriental amaderada para mujer Caravan 150 ml.,10.55,7.031,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Agua de colonia nº 47 para mujer Caravan 150 ml.,10.55,7.031,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Agua de colonia nº 44 para mujer Caravan 150 ml.,10.55,7.031,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Enjuague bucal mentol Listerine 1 l.,10.55,1.061,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Agua de colonia nº 66 Fougere aromática para hombre Caravan 150 ml.,10.55,7.031,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Agua de colonia nº 24 Floral- afrutado para mujer Caravan 150 ml.,10.55,7.031,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Agua de colonia nº 23 para mujer Caravan 150 ml.,10.55,7.031,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Agua de colonia nº 16 Amaderada oriental para hombre Caravan 150 ml.,10.55,7.031,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Agua de colonia nº 21 Afrutada floral para mujer Caravan 150 ml.,10.55,7.031,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Supremas de salmón sin piel congelado Findus 200 g.,10.55,52.75,pescados congelados,Cuidado facial y corporal,KILO,FINDUS,Carrefour,outlier
Filetes de merluza sin piel ultracongelados Pescanova 800 g.,10.55,13.19,pescados congelados,Cuidado facial y corporal,KILO,PESCANOVA,Carrefour,outlier
Enjuague bucal mentol sabor suave sin alcohol Listerine 1 l.,10.55,1.061,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Agua de colonia nº 57 para hombre Caravan 150 ml.,10.55,10.55,bano e higiene corporal,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Agua de colonia nº 51 Fougere amaderada para hombre Caravan 150 ml.,10.55,7.031,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Agua de colonia nº 30 Floral afrutada para mujer Caravan 150 ml.,10.55,7.031,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Agua de colonia nº 11 Fougere afrutada para hombre Caravan 150 ml.,10.55,7.031,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Agua de colonia nº 15 Cítrica acuosa para hombre Caravan 150 ml.,10.55,7.031,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Agua de colonia nº 28 Floral verde para mujer Caravan 150 ml.,10.55,7.031,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Agua de colonia nº 39 Floral polvorosa para mujer Caravan 150 ml.,10.55,7.031,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Agua de colonia nº 1 Romática oriental para mujer Caravan 150 ml.,10.55,7.031,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Agua de colonia nº 40 Floral amaderada para mujer Caravan 150 ml.,10.55,7.031,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Agua de colonia nº 14 Fougere amaderada para hombre Caravan 150 ml.,10.55,7.031,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Agua de colonia nº 13 para hombre Caravan 150 ml.,10.55,7.031,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Agua de colonia nº 43 Floral frutal para mujer Caravan 150 ml.,10.55,7.031,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
La Gula del Norte 2x210 g,10.5,25.0,pescaderia,Marisco y pescado,KILO,,Carrefour,outlier
Pata de pulpo cocida congelada Carrefour El Mercado 250 g,10.5,42.0,pulpo calamar y sepia congelados,Cuidado facial y corporal,KILO,CARREFOUR,Carrefour,outlier
"Aceite de oliva 0,4º La Masía 1 l.",10.49,0.0,alimentacion,"Aceite, especias y salsas",No especificado,MASIA,Carrefour,outlier
Langostino extra grandes crudos Carrefour 800 g.,10.49,13.11,mariscos congelados,Congelados,KILO,CARREFOUR,Carrefour,outlier
Madremia Tinto 2021,10.49,10.49,vinos,Bodega,UNIDAD,MADREMIA,Carrefour,outlier
"Aceite de oliva 0,4º Ybarra 1 l.",10.49,10.49,alimentacion,"Aceite, especias y salsas",LITRO,YBARRA,Carrefour,outlier
Aceite de oliva intenso 1º La Masía 1 l.,10.49,0.0,alimentacion,"Aceite, especias y salsas",No especificado,MASIA,Carrefour,outlier
"Pienso sabor salmón para gato esterilizado Ultima 1,5 kg",10.49,6.99,gatos,"Aceite, especias y salsas",KILO,,Carrefour,outlier
Delineador de ojos automático tono 01 black Scandal'Eyes Rimmel London 1 ud.,10.49,10.49,cosmetica,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Crema fijadora para prótesis dental máxima fijación y sellado sabor menta Corega 40 g.,10.49,26.231,higiene bucal,Cuidado facial y corporal,100 GR,,Carrefour,outlier
"Pienso para gato esterilizado adulto sabor pollo Ultima Cat 1,5kg.",10.49,6.99,gatos,Mascotas,KILO,,Carrefour,outlier
"Pienso de trucha. cebada y cereales para gatos esterilizados sensibles Última 1,5 Kg",10.49,6.99,gatos,Mascotas,KILO,,Carrefour,outlier
Complemento Vitamina C+ Zinc en comprimidos efervescentes Aquilea 14 comprimidos.,10.49,12.491,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,,Carrefour,outlier
Langostino extra grande cocido 24/32 Carrefour 800 g.,10.49,13.11,mariscos congelados,Congelados,KILO,CARREFOUR,Carrefour,outlier
Lomos de bacalao congelado 500 g aprox,10.47,20.95,pescados congelados,Cuidado facial y corporal,KILO,CARREFOUR,Carrefour,outlier
Filetes de anchoa del Cantábrico en aceite de oliva De Nuestra Tierra 60 g.,10.45,174.17,conservas sopas y precocinados,"Aceite, especias y salsas",KILO,NUESTRA TIERRA,Carrefour,outlier
Champú y gel caléndula ecológico Weleda Baby 200 ml.,10.45,5.221,bebe,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Anna De Codorniu,10.45,10.45,cava y champagne,Bodega,UNIDAD,ANNA CODORNIU,Carrefour,outlier
Colorante en gel bigote y barba moreno Just for Men 15 ml.,10.45,69.671,cabello,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Gel hidratante íntimo efecto calor Vagisil 30 g.,10.45,34.831,cuidado corporal,Cuidado facial y corporal,100 GR,,Carrefour,outlier
Champú uso frecuente Pilexil 300 ml.,10.45,3.481,cabello,Cuidado del cabello,100 ML,,Carrefour,outlier
Coca Cola pack 12 latas 33 cl.,10.44,2.64,platos preparados cocinados,Pizzas y platos preparados,LITRO,COCA COLA,Carrefour,outlier
Concentrado de menta Teisseire botella 60 cl.,10.39,17.32,aguas y zumos,Zumos,LITRO,TEISSEIRE,Carrefour,outlier
Gel para lavavajillas Excellence Duo Gel lima limón Somat 50 lavados.,10.39,0.21,productos para cocina,Cuidado facial y corporal,LAVADO,,Carrefour,outlier
Infusión Infantil Blevit Digest 150 gr,10.39,69.27,alimentacion infantil,"Cacao, café e infusiones",KILO,BLEVIT,Carrefour,outlier
Crema hidratante anti-arrugas de expresión L'Oréal-Men Expert 50 ml.,10.39,20.781,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Ramon Bilbao Crianza 2019,10.39,10.39,vinos,Bodega,UNIDAD,RAMON BILBAO,Carrefour,outlier
Gel para lavavajillas anti-grasa Excellence Duo Gel Somat 50 lavados.,10.39,0.21,productos para cocina,Cuidado facial y corporal,LAVADO,,Carrefour,outlier
Infusión instantánea Blevit Noches Felices 150 g.,10.39,69.27,alimentacion infantil,"Cacao, café e infusiones",KILO,BLEVIT,Carrefour,outlier
Yerba mate Canarias 1 kg.,10.39,10.39,desayuno,"Cacao, café e infusiones",KILO,CANARIAS,Carrefour,outlier
Gel para lavavajillas frescor anti-olor Excellence Duo Gel Somat 50 lavados.,10.39,0.21,productos para cocina,Cuidado facial y corporal,LAVADO,,Carrefour,outlier
Infusión Infantil Blevit Laxante 150 gr,10.39,69.27,alimentacion infantil,"Cacao, café e infusiones",KILO,BLEVIT,Carrefour,outlier
Biberón con tetina silicona fisiológica SX Pro flujo medio +3 meses Suavinex 270 ml.,10.39,10.39,puericultura,Bebé,UNIDAD,,Carrefour,outlier
Colutorio diario Complete Protection Parodontax 500 ml.,10.35,2.071,higiene bucal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Desodorante roll on pH5 para pieles sensibles Eucerin pack de 2 unidades de 50 ml.,10.35,10.351,cuidado corporal,Fitoterapia y parafarmacia,100 ML,,Carrefour,outlier
Lubricante sabor y aroma cereza de base agua Durex 50 ml.,10.35,20.701,bienestar sexual,Fitoterapia y parafarmacia,100 ML,,Carrefour,outlier
