Nombre,Categoria1,Categoria2,UM,Precio Unitario,Precio,categoria_principal,Marca
Patatas granel 1 Kg aprox.,Verduras,Patatas y zanahorias,KILO,1.99,1.99,Fruta y verdura,otra
Fabada asturiana Litoral lata 850 g,Pizzas y platos preparados,Precocinados envasados,KILO,5.4,4.59,Pizzas y platos preparados,otra
Repollo liso unidad aprox. 2 Kg aprox.,Verduras,"Judías, brócolis y coliflores",KILO,1.39,2.78,Fruta y verdura,otra
Sopa juliana deshidratada Trevijano bandeja 100 g,Pizzas y platos preparados,Precocinados envasados,KILO,23.0,2.3,Pizzas y platos preparados,otra
Cocido madrileño Al Punto Dia lata 425 g,Pizzas y platos preparados,Precocinados envasados,KILO,4.16,1.77,Pizzas y platos preparados,Dia
Fabada asturiana Al Punto Dia lata 435 g,Pizzas y platos preparados,Precocinados envasados,KILO,3.45,1.5,Pizzas y platos preparados,Dia
Callos a la madrileña Litoral lata 380 g,Pizzas y platos preparados,Precocinados envasados,KILO,12.87,4.89,Pizzas y platos preparados,otra
Ensaladilla rusa deshidratada Trevijano bandeja 110 g,Pizzas y platos preparados,Precocinados envasados,KILO,19.64,2.16,Pizzas y platos preparados,otra
Tomate pera granel 900 g aprox.,Verduras,"Tomates, pimientos y pepinos",KILO,1.99,1.79,Fruta y verdura,otra
Cebolla dulce granel 1 Kg aprox.,Verduras,"Ajos, cebollas y puerros",KILO,2.49,2.49,Fruta y verdura,otra
Lentejas a la riojana Litoral lata 430 g,Pizzas y platos preparados,Precocinados envasados,KILO,5.09,2.19,Pizzas y platos preparados,otra
Salmón ahumado Selección Mundial de Dia sobre 200 g,"Pescados, mariscos y ahumados","Ahumados, salazones y preparados",KILO,36.0,7.2,Marisco y pescado,Selección Mundial
Palitos de surimi Krissia bolsa 180 g,"Pescados, mariscos y ahumados",Gulas y surimi,KILO,16.61,2.99,Marisco y pescado,otra
Cocido madrileño Litoral lata 425 g,Pizzas y platos preparados,Precocinados envasados,KILO,6.8,2.89,Pizzas y platos preparados,otra
Callos con chorizo Al Punto Dia lata 380 g,Pizzas y platos preparados,Precocinados envasados,KILO,6.05,2.3,Pizzas y platos preparados,Dia
Alitas de pollo barbacoa Earra tarrina 500 g,Pizzas y platos preparados,Precocinados envasados,KILO,7.98,3.99,Pizzas y platos preparados,otra
Cebolla tierna 1 unidad,Verduras,"Ajos, cebollas y puerros",UNIDAD,0.49,0.49,Fruta y verdura,otra
Tomate bárbaro bolsa 900 g aprox.,Verduras,"Tomates, pimientos y pepinos",KILO,2.49,2.24,Fruta y verdura,otra
Bocados vegetales estilo Mediterráneo Revolu green bandeja 160 g,Pizzas y platos preparados,Precocinados envasados,KILO,23.69,3.79,Pizzas y platos preparados,otra
Bocadillo de bacon y queso Al Punto Dia caja 200 g,Pizzas y platos preparados,Precocinados envasados,KILO,12.95,2.59,Pizzas y platos preparados,Dia
Bocadillo de pollo y queso Al Punto Dia caja 200 g,Pizzas y platos preparados,Precocinados envasados,KILO,12.95,2.59,Pizzas y platos preparados,Dia
Boquerones al vinagre con ajo y perejil MSC Mari Marinera de Dia bandeja 80 g,"Pescados, mariscos y ahumados","Ahumados, salazones y preparados",KILO,31.13,2.49,Marisco y pescado,Dia
Salmón ahumado marinado Nuchar sobre 80 g,"Pescados, mariscos y ahumados","Ahumados, salazones y preparados",KILO,49.88,3.99,Marisco y pescado,otra
Aceituna gordal rellena de boquerón del Cantábrico MSC Kiele bandeja 150 g,"Pescados, mariscos y ahumados","Ahumados, salazones y preparados",KILO,19.93,2.99,Marisco y pescado,otra
Patata malla 4 Kg,Verduras,Patatas y zanahorias,KILO,1.5,5.99,Fruta y verdura,otra
Manzana golden granel 500 g aprox.,Frutas,Manzanas,KILO,2.19,1.1,Fruta y verdura,otra
Pasta oriental sabor curry Maggi sobre 71 g,Pizzas y platos preparados,Comida internacional,KILO,12.68,0.9,Pizzas y platos preparados,otra
Tortillas de trigo Old El Paso bolsa 244 g,Pizzas y platos preparados,Comida internacional,KILO,9.63,2.35,Pizzas y platos preparados,otra
Manzana roja selección granel 500 g aprox.,Frutas,Manzanas,KILO,2.69,1.35,Fruta y verdura,otra
Pera conferencia bandeja 1 Kg,Frutas,Peras,KILO,2.19,2.19,Fruta y verdura,otra
Manzana fuji bolsa 1 Kg,Frutas,Manzanas,KILO,2.29,2.29,Fruta y verdura,otra
Plátano macho para freír granel 1 Kg aprox.,Frutas,Platanos,KILO,2.89,2.89,Fruta y verdura,otra
Mango 1 unidad,Frutas,Frutas tropicales,KILO,3.86,1.99,Fruta y verdura,otra
Lombarda bolsa 2 Kg aprox.,Verduras,Otras verduras,KILO,1.49,2.98,Fruta y verdura,otra
Manzana granny granel 800 g aprox.,Frutas,Manzanas,KILO,2.19,1.75,Fruta y verdura,otra
Repollo rizado unidad aprox. 1 Kg,Verduras,Otras verduras,KILO,1.49,1.49,Fruta y verdura,otra
Banana granel 900 g aprox.,Frutas,Platanos,KILO,1.49,1.34,Fruta y verdura,otra
Aguacate granel 1 Kg aprox.,Frutas,Frutas tropicales,KILO,4.59,4.59,Fruta y verdura,otra
Pimientos asados a la leña bandeja 350 g,Verduras,Verduras y ensaladas preparadas,KILO,7.69,2.69,Fruta y verdura,otra
Kiwi Sungold Zespri bandeja 535 g,Frutas,Frutas tropicales,KILO,5.21,2.79,Fruta y verdura,otra
Limón bio malla 500 g,Frutas,Limones y pomelos,KILO,1.98,0.99,Fruta y verdura,otra
Pera Rincón de Soto D.O.P. granel 500 g aprox.,Frutas,Peras,KILO,2.79,1.4,Fruta y verdura,otra
Limón selección 1 unidad,Frutas,Limones y pomelos,KILO,1.16,0.29,Fruta y verdura,otra
Salsa chunky Zanuy frasco 300 g,Pizzas y platos preparados,Comida internacional,KILO,7.33,2.2,Pizzas y platos preparados,otra
Pollo al curry con arroz basmati Al Punto Dia bandeja 300 g,Pizzas y platos preparados,Comida internacional,KILO,9.83,2.95,Pizzas y platos preparados,Dia
Rollitos de primavera Al Punto Dia bandeja 280 g,Pizzas y platos preparados,Comida internacional,KILO,8.75,2.45,Pizzas y platos preparados,Dia
Fideos yakisoba  Al Punto Dia bandeja 250 g,Pizzas y platos preparados,Comida internacional,KILO,9.8,2.45,Pizzas y platos preparados,Dia
Fajitas Al Punto Dia bandeja 275 g,Pizzas y platos preparados,Precocinados envasados,KILO,7.09,1.95,Pizzas y platos preparados,Dia
Ensalada wrap texas Al Punto Dia bandeja 300 g,Verduras,Verduras y ensaladas preparadas,KILO,9.97,2.99,Fruta y verdura,Dia
Salsa en polvo Tajín frasco 142 g,Pizzas y platos preparados,Comida internacional,KILO,23.24,3.3,Pizzas y platos preparados,otra
Pulpa aguacate Al Punto Dia tarrina 125 g,Frutas,Frutas tropicales,KILO,11.6,1.45,Fruta y verdura,Dia
Guacamole Al Punto Dia tarrina 400 g,Frutas,Frutas tropicales,KILO,7.38,2.95,Fruta y verdura,Dia
Guacamole Al Punto Dia tarrina 200 g,Frutas,Frutas tropicales,KILO,8.45,1.69,Fruta y verdura,Dia
Tortillas integrales bolsa Old El Paso bolsa 350 g,Pizzas y platos preparados,Comida internacional,KILO,9.69,3.39,Pizzas y platos preparados,otra
Fideos orientales fusian sabor teriyaki Maggi sobre 130 g,Pizzas y platos preparados,Comida internacional,KILO,15.31,1.99,Pizzas y platos preparados,otra
Vinagre de manzana Aliña tu Dia botella 1 l,"Aceites, salsas y especias",Vinagres y aliños,LITRO,0.85,0.85,"Aceite, especias y salsas",Dia
Tallarines Gallo bolsa 450 g,"Arroz, pastas y legumbres",Pastas,KILO,2.96,1.33,"Arroz, legumbres y pastas",otra
Tallarines Al Diante Dia bolsa 500 g,"Arroz, pastas y legumbres",Pastas,KILO,1.64,0.82,"Arroz, legumbres y pastas",Dia
Aceite de oliva virgen extra Carbonell botella 1 l,"Aceites, salsas y especias",Aceites,LITRO,15.89,15.89,"Aceite, especias y salsas",otra
Espaguetis nº 3 Gallo bolsa 450 g,"Arroz, pastas y legumbres",Pastas,KILO,2.96,1.33,"Arroz, legumbres y pastas",otra
Fideo nº 0 Gallo bolsa 450 g,"Arroz, pastas y legumbres",Pastas,KILO,2.96,1.33,"Arroz, legumbres y pastas",otra
Pluma nº 6 Gallo bolsa 450 g,"Arroz, pastas y legumbres",Pastas,KILO,2.96,1.33,"Arroz, legumbres y pastas",otra
Vinagre balsámico de módena Borges botella 250 ml,"Aceites, salsas y especias",Vinagres y aliños,LITRO,8.76,2.19,"Aceite, especias y salsas",otra
Fideuá Al Diante Dia bolsa 500 g,"Arroz, pastas y legumbres",Pastas,KILO,1.64,0.82,"Arroz, legumbres y pastas",Dia
Arroz integral Arrozona de Dia paquete 1 Kg,"Arroz, pastas y legumbres",Arroz,KILO,1.7,1.7,"Arroz, legumbres y pastas",Dia
Arroz basmati Brillante vaso 2 x 125 g,"Arroz, pastas y legumbres",Arroz,KILO,5.36,1.34,"Arroz, legumbres y pastas",otra
Arroz largo de primera categoría Arrozona de Dia bolsa 1 Kg,"Arroz, pastas y legumbres",Arroz,KILO,1.35,1.35,"Arroz, legumbres y pastas",Dia
Aceite de oliva virgen extra Hojiblanca botella 1 l,"Aceites, salsas y especias",Aceites,LITRO,15.89,15.89,"Aceite, especias y salsas",otra
Aceite de oliva virgen extra Hojiblanca botella 500 ml,"Aceites, salsas y especias",Aceites,LITRO,15.9,7.95,"Aceite, especias y salsas",otra
Arroz basmati Selección Mundial de Dia paquete 1 Kg,"Arroz, pastas y legumbres",Arroz,KILO,2.44,2.44,"Arroz, legumbres y pastas",Selección Mundial
Espagueti Al Diante Dia bolsa 1 Kg,"Arroz, pastas y legumbres",Pastas,KILO,1.3,1.3,"Arroz, legumbres y pastas",Dia
Espagueti Al Diante Dia bolsa 500 g,"Arroz, pastas y legumbres",Pastas,KILO,1.64,0.82,"Arroz, legumbres y pastas",Dia
Sopa maravilla Al Diante Dia bolsa 500 g,"Arroz, pastas y legumbres",Pastas,KILO,1.64,0.82,"Arroz, legumbres y pastas",Dia
Sal marina gruesa Dia paquete 1 Kg,"Aceites, salsas y especias",Sal y especias,KILO,0.35,0.35,"Aceite, especias y salsas",Dia
Macarrón Al Diante Dia bolsa 500 g,"Arroz, pastas y legumbres",Pastas,KILO,1.64,0.82,"Arroz, legumbres y pastas",Dia
Fideo cabellín Al Diante Dia bolsa 500 g,"Arroz, pastas y legumbres",Pastas,KILO,1.64,0.82,"Arroz, legumbres y pastas",Dia
Macarrón Al Diante Dia bolsa 1 Kg,"Arroz, pastas y legumbres",Pastas,KILO,1.3,1.3,"Arroz, legumbres y pastas",Dia
Fideo entrefino Al Diante Dia bolsa 500 g,"Arroz, pastas y legumbres",Pastas,KILO,1.64,0.82,"Arroz, legumbres y pastas",Dia
Aceite refinado de girasol Diasol garrafa 5 l,"Aceites, salsas y especias",Aceites,LITRO,1.4,6.99,"Aceite, especias y salsas",Dia
Aceite de oliva suave La masía botella 1 l,"Aceites, salsas y especias",Aceites,LITRO,10.49,10.49,"Aceite, especias y salsas",otra
Arroz integral SOS bolsa 1 Kg,"Arroz, pastas y legumbres",Arroz,KILO,2.05,2.05,"Arroz, legumbres y pastas",otra
Cereza bandeja 500 g,Frutas,Frutas de temporada,KILO,7.98,3.99,Fruta y verdura,otra
