Nombre,Precio,Precio_unit,Categoria,Subcategoria,categoria_principal,Unidad_medida,Marca
Paté a la pimienta Casa Tarradellas sin gluten 125 g.,1.38,11.04,productos frescos,charcuteria,"Aceite, especias y salsas",KILO,CASA TARRADELLAS
Arroz con leche Carrefour sin gluten 140 g.,1.38,9.86,la despensa,yogures y postres,"Arroz, legumbres y pasta",KILO,CARREFOUR
Hummus con aceitunas kalamata Carrefour Extrea sin gluten 240 g,1.38,5.75,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,CARREFOUR
Bebida láctea desnatada al cacao Proteína Plus Carrefour Sensation sin gluten y sin azúcar añadido 330 ml.,1.38,4.18,la despensa,yogures y postres,Postres y yogures,LITRO,CARREFOUR
Pimientos asados en tiras Classic Carrefour pack de 3 unidades de  60 g.,1.37,7.61,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,
Ensalada Mediterránea de atún Carrefour 157 g.,1.37,9.13,la despensa,conservas sopas y precocinados,"Aceite, especias y salsas",KILO,CARREFOUR
Leche desnatada Kaiku sin lactosa brik 1 l.,1.37,1.37,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO,KAIKU UHT
Barrita de proteína de suero de leche y avena sabor chocolate Prozis 80 g.,1.37,17.12,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO,PROZIS
Ensalada californiana de atún Carrefour 157 g.,1.37,9.13,la despensa,conservas sopas y precocinados,"Aceite, especias y salsas",KILO,CARREFOUR
Champú albaricoque niños Carrefour Soft 250 ml.,1.37,0.551,perfumeria e higiene,cabello,Cuidado del cabello,100 ML,
Leche semidesnatada Kaiku sin lactosa brik 1 l.,1.37,1.37,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO,KAIKU UHT
Gel de afeitado piel sensible Carrefour Men 75 ml.,1.37,1.831,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,100 ML,
Regaliz de goma sabor fresa y pica pica Carrefour 200 g.,1.37,6.85,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,CARREFOUR
Leche entera Kaiku sin lactosa brik 1 l.,1.37,1.37,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO,KAIKU UHT
Harina especial para fritos y rebozados Original Carrefour 1 kg.,1.37,1.37,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO,CARREFOUR
Ensalada milanesa de atún con vegetales Carrefour 157 g.,1.37,9.13,la despensa,conservas sopas y precocinados,"Aceite, especias y salsas",KILO,CARREFOUR
Torreznos Classic Carrefour sin gluten 100 g.,1.37,13.7,la despensa,aperitivos,Aperitivos,KILO,CARREFOUR
Barrita de crema de avellanas cubiertas de chocolate con leche Schär sin gluten 30 g.,1.37,45.67,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,SCHAR
Tomate frito Carrefour pack de 3 briks de 390 g.,1.37,1.17,la despensa,alimentacion,"Aceite, especias y salsas",KILO,CARREFOUR
Salsa cocktail Classic Carrefour sin gluten y sin lactosa 450 g.,1.37,3.04,la despensa,alimentacion,"Aceite, especias y salsas",KILO,CARREFOUR
Espuma de afeitar piel normal Carrefour Men 250 ml.,1.37,0.551,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,100 ML,
Piquitos De Nuestra Tierra 220 g.,1.36,6.8,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO,NUESTRA TIERRA
Piquitos con ajonjolí con aceite de oliva De Nuestra Tierra 200 g.,1.36,6.8,la despensa,panaderia bolleria y pasteleria,"Aceite, especias y salsas",KILO,NUESTRA TIERRA
Judías verdes finas al natural Classic Carrefour 440 g.,1.36,3.09,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,CARREFOUR
"Leche desnatada Carrefour botella 1,5 l.",1.36,0.91,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO,CARREFOUR
Picos y regañas De Nuestra Tierra 180 g.,1.36,7.56,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO,
Protegeslip normal ecológico Pure Carrefour Soft 24 ud.,1.36,0.06,perfumeria e higiene,higiene intima,Cuidado facial y corporal,UNIDAD,
Regañás con Ajonjoli De Nuestra Tierra 150 g.,1.36,9.07,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO,NUESTRA TIERRA
Conchitas de patata sabor kétchup Jumpers Vidal 95 g.,1.36,14.32,la despensa,aperitivos,"Aceite, especias y salsas",KILO,VIDAL
Bolsita de fruta y galleta Nestlé Party Fruits sin azúcar añadido 110 g.,1.36,12.36,bebe,alimentacion infantil,Bebé,KILO,NESTLE
Limpiador con lejía y detergente perfume pino Carrefour 2 l.,1.36,0.68,limpieza y hogar,productos para toda la casa,Limpieza y hogar,LITRO,
Pasta spaghetti fino Gallo 450 g.,1.36,3.02,la despensa,alimentacion,"Arroz, legumbres y pasta",KILO,GALLO
Agua mineral natural con gas San Pellegrino 1 l.,1.36,1.36,bebidas,aguas y zumos,Agua y refrescos,LITRO,
Apósitos gasa algodón 20x20 cm. Loto caja 20 ud.,1.36,0.07,parafarmacia,botiquin,Fitoterapia y parafarmacia,UNIDAD,
Chicles de fresa y nata Clix One sin gluten y sin azúcar 50 g.,1.36,27.2,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,CLIX
Limpiador multisuperficies oxígeno activo Carrefour Expert 1 l.,1.35,1.35,limpieza y hogar,productos para toda la casa,Limpieza y hogar,LITRO,
Quitagrasas cocina Expert Carrefour 750 ml.,1.35,1.8,limpieza y hogar,productos para cocina,Limpieza y hogar,LITRO,
Bolsas de congelación grandes Carrefour 15 ud.,1.35,0.09,limpieza y hogar,conservacion de alimentos,Cuidado facial y corporal,UNIDAD,
"Zumo de piña, manzana y uva Carrefour pack de 6 briks de 20 cl.",1.35,1.13,bebidas,aguas y zumos,Zumos,LITRO,
Colgador antipolillas ropa limpia Carrefour 2 ud.,1.35,0.67,limpieza y hogar,productos para toda la casa,Limpieza y hogar,UNIDAD,
Fregona  Superabsorbente  CARREFOUR HOME Spulance - Blanca,1.35,1.35,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,UNIDAD,
Comida húmeda pescado del océano para gato adulto Purina Gourmet Nature's Creations 85 g,1.35,15.88,mascotas,gatos,Mascotas,KILO,
Gel de ducha leche y miel Carrefour 750 ml.,1.35,0.181,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML,
Quitagrasas con jabón de Marsella Essential Carrefour 750 ml.,1.35,1.8,limpieza y hogar,productos para cocina,Limpieza y hogar,LITRO,
Ambientador de mecha ropa limpia Carrefour Essential 375 ml.,1.35,3.6,limpieza y hogar,ambientadores,Limpieza y hogar,LITRO,
Ambientador de mecha colonia Carrefour Essential 375 ml.,1.35,3.6,limpieza y hogar,ambientadores,Limpieza y hogar,LITRO,
Arroz largo categoria 1 Carrefour Classc´ 1 kg.,1.35,1.35,la despensa,alimentacion,"Arroz, legumbres y pasta",KILO,CARREFOUR
Gel de ducha Hidratante Avena Carrefour 500 ml.,1.35,0.181,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML,
Colgador WC con lejía aroma limón verde Carrefour 2 ud.,1.35,16.87,limpieza y hogar,productos para bano,Limpieza y hogar,KILO,
Gel de ducha Dermoprotector Carrefour 750 ml.,1.35,0.181,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML,
Gel de ducha oliva Carrefour 750 ml.,1.35,0.181,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML,
Gel de ducha Nostalgia Carrefour 750 ml.,1.35,0.181,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML,
Ambientador de mecha frutos rojos Carrefour Essential 375 ml.,1.35,3.6,limpieza y hogar,ambientadores,Limpieza y hogar,LITRO,
Galletas de chocolate con leche rellenas de crema Choc&Roll Carrefour Classic 252 g.,1.35,5.36,la despensa,desayuno,Cereales y galletas,KILO,CARREFOUR
Patatas prefritas con piel Carrefour 600 g.,1.35,2.25,congelados,salteados congelados,Congelados,KILO,CARREFOUR
Salsa allioli ajo fresco morado Chovi sin gluten 180 g.,1.35,7.5,la despensa,alimentacion,"Aceite, especias y salsas",KILO,CHOVI
Panecillo 51% integral Carrefour 4 ud,1.35,0.34,productos frescos,panaderia tradicional,Panadería y pastelería,UNIDAD,CARREFOUR
Huevo de chocolate Lacasitos sin gluten 23 g.,1.35,58.7,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,LACASITOS
Conchas mini original Codan 5 ud.,1.35,7.5,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO,CODAN
Enjuague bucal multi action Carrefour Soft 500 ml.,1.35,0.271,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,100 ML,
Enjuague bucal fresh 0% alcohol Carrefour Soft 500 ml.,1.35,0.271,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,100 ML,
Sobaos mini Classic' Carrefour 340 g.,1.35,3.97,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO,CARREFOUR
Flan de huevo al baño María Carrefour Classic' sin gluten pack de 4 unidades de 100 g.,1.35,3.37,la despensa,yogures y postres,Postres y yogures,KILO,CARREFOUR
Conchas mini duocao Codan 5 ud.,1.35,7.5,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO,CODAN
Cono de golosinas Fini 70 g.,1.35,19.29,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,FINI
Palitos de pan con pipas Carrefour pack de 2x90 g.,1.35,8.13,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO,CARREFOUR
Berlinas bombón Carrefour 4 ud,1.35,0.34,productos frescos,panaderia tradicional,Panadería y pastelería,UNIDAD,CARREFOUR
Berlinas de azúcar Carrefour 4 ud,1.35,0.34,productos frescos,panaderia tradicional,Panadería y pastelería,UNIDAD,CARREFOUR
Garbanzos a la riojana Original Carrefour sin gluten 420 g.,1.35,3.21,la despensa,conservas sopas y precocinados,"Arroz, legumbres y pasta",KILO,CARREFOUR
Garbanzo cocido categoría extra Luengo 400 g.,1.34,3.35,la despensa,alimentacion,"Arroz, legumbres y pasta",KILO,LUENGO
Lenteja cocida categoría extra Luengo 400 g.,1.34,3.35,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO,LUENGO
Alubia cocida categoría extra Luengo 400 g.,1.34,3.35,la despensa,alimentacion,"Arroz, legumbres y pasta",KILO,LUENGO
Pan de bocadillo de soja Carrefour 5 ud,1.34,3.83,productos frescos,panaderia tradicional,Panadería y pastelería,KILO,CARREFOUR
Cepillo interdental fino Carrefour Soft 5 ud.,1.34,0.27,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,UNIDAD,
Lavavajillas a mano para pieles sensibles perfume floral Carrefour Essential 750 ml.,1.34,1.34,limpieza y hogar,productos para cocina,Limpieza y hogar,LITRO,CARREFOUR
Arroz basmati para microondas Brillante pack de 2 unidades de 125 g.,1.34,5.36,la despensa,alimentacion,"Arroz, legumbres y pasta",KILO,
Cepillo interdental ultra fino Carrefour 5 ud.,1.34,0.27,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,UNIDAD,
Barquillos de chocolate con leche Extra Carrefour 125 g.,1.34,10.72,la despensa,desayuno,Cereales y galletas,KILO,CARREFOUR
"Cepillo interdental 1,8mm Carrefour 5 ud.",1.34,0.27,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,UNIDAD,
Galletas caramelizadas Lotus Biscoff 124 g.,1.34,10.81,la despensa,desayuno,Cereales y galletas,KILO,LOTUS
"Batido de fresa Carrefour sin gluten pack de 3 brik de 200 ml,",1.34,2.23,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO,CARREFOUR
Azúcar blanco de caña en sticks Classic´ Carrefour 300 g.,1.33,4.43,la despensa,desayuno,Cereales y galletas,KILO,CARREFOUR
Quitamanchas textil Oxygen Power Carrefour Expert 500 ml.,1.33,2.66,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LITRO,
Tiras resistentes Carrefour Soft 40 ud.,1.33,0.03,parafarmacia,botiquin,Fitoterapia y parafarmacia,UNIDAD,
Bífidus con trozos de frutos rojos Carrefour pack de 4 unidades de 125 g.,1.33,2.66,la despensa,yogures y postres,Postres y yogures,KILO,CARREFOUR
Cepillo de dientes duro Carrefour Soft 4 ud.,1.33,0.33,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,UNIDAD,
Bebida energética Carrefour Energy sabor tropical 50 cl.,1.33,2.66,bebidas,refrescos,Agua y refrescos,LITRO,
Melocotón en almibar ligero Classic Carrefour 240 g.,1.33,5.54,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,CARREFOUR
Bífidus con trozos de fresa Carrefour pack de 4 unidades de 125 g.,1.33,2.66,la despensa,yogures y postres,Postres y yogures,KILO,CARREFOUR
Pastillas limpiadoras multiusos Expert Carrefour 40 ud.,1.33,0.03,limpieza y hogar,productos para toda la casa,Limpieza y hogar,UNIDAD,
Queso fundido en porciones 250 g.,1.33,5.32,productos frescos,quesos,Charcutería y quesos,KILO,CARREFOUR
Postre de caramelo Original Carrefour sin gluten pack de 2 unidades de 135 g.,1.33,4.93,la despensa,yogures y postres,Postres y yogures,KILO,CARREFOUR
Gel piernas cansadas Carrefour Soft 125 ml.,1.33,1.061,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Patatas fritas onduladas sabor queso curado Sensation Carrefour sin guten 150 g.,1.32,8.8,la despensa,aperitivos,Aperitivos,KILO,CARREFOUR
Toallitas hidroalcohólicas con aloe vera y pantenol Soft Carrefour 22 ud.,1.32,0.06,parafarmacia,botiquin,botiquin,UNIDAD,
Risotto con 4 quesos Extra Carrefour doy pack 175 g.,1.32,7.54,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,CARREFOUR
Cerveza Desperados con tequila botella 33 cl.,1.32,4.0,bebidas,cerveza,Bodega,LITRO,
Risotto con setas Extra Carrefour doy pack 175 g.,1.32,7.54,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,CARREFOUR
"Cerveza Desperados sabor tequila, lima y cactus botella 33 cl",1.32,4.0,bebidas,cerveza,Bodega,LITRO,
Crema de queso camembert Carrefour Extra sin gluten 125 g.,1.32,10.56,productos frescos,quesos,Charcutería y quesos,KILO,CARREFOUR
Galletas relenas de limón Bocaditos Cuétara 150 g.,1.31,0.0,la despensa,desayuno,Cereales y galletas,No especificado,CUETARA
Croquetas mini de jamón Carrefour 500 g.,1.31,2.62,congelados,rebozados y platos preparados,Pizzas y platos preparados,KILO,CARREFOUR
Cepillo de dientes infantil +7 años Carrefour Soft 1 ud.,1.31,1.31,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,UNIDAD,
Laca fijación fuerte de larga duración Carrefour Soft 300 ml.,1.31,0.441,perfumeria e higiene,cabello,Cuidado del cabello,100 ML,
Ladrillos de goma sabor fresa y pica pica Classic Carrefour sin gluten 200 g.,1.31,6.55,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,CARREFOUR
Gomas Ponette Natural 10 ud.,1.31,1.31,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD,
"Bolsita de naranja, plátano, pera y galleta Hero Mi Fruta sin azúcar añadido 100 g.",1.31,13.1,bebe,alimentacion infantil,Bebé,KILO,HERO
Bolsita de multifrutas con galleta desde 6 meses Hero Baby 100 g.,1.31,13.1,bebe,alimentacion infantil,Bebé,KILO,HERO
Bolsita de fruta tropical Hero Mi Fruta sin gluten 100 g.,1.31,13.1,bebe,alimentacion infantil,Bebé,KILO,HERO
Bolsita de manzana y plátano desde 4 meses sin azúcar añadido Hero Baby sin gluten 100 g.,1.31,13.1,bebe,alimentacion infantil,Bebé,KILO,HERO
"Bolsita de plátano, fresa y manzana Hero Mi Fruta sin gluten 100 g.",1.31,13.1,bebe,alimentacion infantil,Bebé,KILO,HERO
Jengibre 200 g aprox,1.31,6.55,productos frescos,frutas,Fruta y verdura,KILO,
Bolsas para asar al horno y microondas Carrefour 8 ud.,1.31,0.16,limpieza y hogar,conservacion de alimentos,Limpieza y hogar,UNIDAD,
Pasta fresca al huevo tagliolini Carrefour Extra 250 g.,1.31,5.24,la despensa,alimentacion,"Arroz, legumbres y pasta",KILO,CARREFOUR
Bolsita de fruta mediterránea Mi Futa Hero sin gluten y sin azúcar añadido 100 g.,1.31,13.1,bebe,alimentacion infantil,Bebé,KILO,HERO
Yogur infantil de yogurín con manzana y fresa sin azúcar añadido Hero Mi Merienda  100 g.,1.31,13.1,bebe,alimentacion infantil,Bebé,KILO,HERO
Toallitas desmaquillantes para pieles secas y sensibles Soft Carrefour 10 ud.,1.31,0.13,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,UNIDAD,CARREFOUR
Alcohol 96º Orb'y 250 ml.,1.31,0.521,parafarmacia,botiquin,botiquin,100 ML,
Bolsita yogurín con plátano y fresa Hero Mi Merienda sin gluten y sin azúcar añadido 100 g.,1.31,13.1,bebe,alimentacion infantil,Bebé,KILO,HERO
Snacks platanitos verdes sabor chile limón Gourmet Latino 65 g.,1.31,20.15,la despensa,aperitivos,Aperitivos,KILO,GOURMET LATINO
Bolsita Supernanos Superyogur Cookies 120 gr,1.31,13.1,bebe,alimentacion infantil,Bebé,KILO,HERO
Laca fijación normal de larga duración Carrefour 300 ml.,1.31,0.441,perfumeria e higiene,cabello,Cuidado del cabello,100 ML,
Palitos de pan con crema de cacao con avellanas Sticks Nocilla pack de 2 unidades de 30 g.,1.3,21.67,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,NOCILLA
Lavavajillas a mano pieles sensibles aloe vera y jojoba Carrefour Essential 750 ml.,1.3,1.73,limpieza y hogar,productos para cocina,Limpieza y hogar,LITRO,
Horchata de chufa Carrefour sin gluten brik 1 l.,1.3,1.3,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO,CARREFOUR
Amoniaco muy fuerte con detergente Carrefour 750 ml.,1.3,1.73,limpieza y hogar,productos para toda la casa,Limpieza y hogar,LITRO,
Horchata de chufa Carrefour pack de 3 briks de 200 ml.,1.3,2.17,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO,CARREFOUR
Champú revitalizante miel de flores para cabellos frágiles Carrefour Soft 400 ml.,1.3,0.261,perfumeria e higiene,cabello,Cuidado del cabello,100 ML,
Bebida de almendra calcio sin azúcar añadido Carrefour sin gluten brik 1 l.,1.3,1.3,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO,CARREFOUR
Chocolate con leche de los Alpes Milka 125 g.,1.3,10.4,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,MILKA
Molinillo pimienta negra en grano Carrefour 45 g.,1.3,28.89,la despensa,alimentacion,"Aceite, especias y salsas",KILO,
Néctar de guayaba Carrefour brik 1 l.,1.3,1.3,bebidas,aguas y zumos,Zumos,LITRO,
Espuma de afeitar piel sensible Carrefour Men 250 ml.,1.3,0.521,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,100 ML,
Bífidus desnatado con muesli y cereales Classic´ Carrefour sin azúcar añadido pack de 4 unidades de 125 g.,1.3,2.6,la despensa,yogures y postres,Postres y yogures,KILO,CARREFOUR
Esponja de baño suave Carrefour 2 ud.,1.3,0.65,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,UNIDAD,
Esponja doble acción exfoliación profunda Carrefour 2 ud.,1.3,0.65,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,UNIDAD,
Galletas saladas Carrefour 350 g.,1.3,3.71,la despensa,aperitivos,"Aceite, especias y salsas",KILO,CARREFOUR
Bífidus desnatado con trozos de pera Carrefour Classic´ sin gluten y sin azúcar añadido pack de 4 unidades de 125 g.,1.3,2.6,la despensa,yogures y postres,Postres y yogures,KILO,CARREFOUR
Bífidus desnatado con trozos de melocotón y maracuyá sin azúcar añadido Carrefour pack de 4 unidades de 125 g.,1.3,2.6,la despensa,yogures y postres,Postres y yogures,KILO,CARREFOUR
Bífidus desnatado con trozos de fresa sin azúcar añadido Carrefour Classic pack de 4 unidades de 125 g.,1.3,2.6,la despensa,yogures y postres,Postres y yogures,KILO,CARREFOUR
Quitaesmalte suave sin acetona Carrefour 200 ml.,1.3,0.651,perfumeria e higiene,cosmetica,Cuidado facial y corporal,100 ML,
Bífidus desnatado con frutas del bosque Carrefour sin gluten y sin azúcar añadido pack de 4 unidades de 125 g.,1.3,2.6,la despensa,yogures y postres,Postres y yogures,KILO,CARREFOUR
Patatas en dados Carrefour 450 g.,1.3,2.89,congelados,salteados congelados,Congelados,KILO,CARREFOUR
Champú nutritivo aceite de oliva para cabellos secos o encrespados Carrefour Soft 400 ml.,1.3,0.261,perfumeria e higiene,cabello,"Aceite, especias y salsas",100 ML,
Bífidus desnatado con manzana Carrefour Classic´ sin gluten y sin azúcar añadido pack de 4 unidades de 125 g.,1.3,2.6,la despensa,yogures y postres,Postres y yogures,KILO,CARREFOUR
Garbanzos Carrefour Classic' 450 g.,1.3,2.89,congelados,verduras congeladas,"Arroz, legumbres y pasta",KILO,CARREFOUR
Champú camomila trigo cabello rubio Carrefour Soft 400 ml.,1.3,0.321,perfumeria e higiene,cabello,Cuidado del cabello,100 ML,
Ensaladilla Carrefour Classic' 1 kg.,1.3,1.3,congelados,verduras congeladas,"Aceite, especias y salsas",KILO,CARREFOUR
Chocolate con relleno de dulce de leche Nestlé Extrafino 83 g.,1.3,15.66,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,NESTLE
Kéfir natural Carrefour Sensation 500 g.,1.3,2.6,la despensa,yogures y postres,Postres y yogures,KILO,CARREFOUR
Chocolate con leche relleno de galletas filipinos Nestlé Extrafino 84 g.,1.3,15.48,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,NESTLE
Tallarines formaggio Extra Carrefour 190 g.,1.3,6.84,la despensa,conservas sopas y precocinados,"Arroz, legumbres y pasta",KILO,CARREFOUR
Chcoolate con leche relleno de cremoso y galleta Nestlé extrafino Dinosaurus 84 g.,1.3,15.48,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,NESTLE
Chocolate con leche relleno de cremoso con galleta Nestlé Extrafino Tostarica 84 g.,1.3,15.48,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,NESTLE
Chococao soluble Carrefour sin gluten 6 ud.,1.3,12.04,la despensa,desayuno,Cereales y galletas,KILO,CARREFOUR
Vinagre de vino blanco Procer Carbonell 1 l.,1.3,1.3,la despensa,alimentacion,"Aceite, especias y salsas",LITRO,PROCER
Puré de patatas con queso y finas hierbas Carrefour 105 g.,1.3,12.38,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,CARREFOUR
Champú cítricos romero cabello graso Carrefour Soft 400 ml.,1.3,0.321,perfumeria e higiene,cabello,Cuidado del cabello,100 ML,
Hamburguesa de pollo congelada Simon´s Food 3x80g,1.3,5.42,productos frescos,carniceria,Cuidado facial y corporal,KILO,
Bífidus desnatado con trozos de kiwi sin azúcar añadido Carrefour pack de 4 unidades de 125 g.,1.3,2.6,la despensa,yogures y postres,Postres y yogures,KILO,CARREFOUR
Pan de molde integral sin corteza Carrefour 450 g.,1.3,2.89,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO,CARREFOUR
Masa Pizza Carrefour 260 g.,1.3,5.0,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO,CARREFOUR
Pipas de girasol tostadas La Madrileña 300 g.,1.3,4.33,la despensa,aperitivos,Aperitivos,KILO,NACIONAL
Puré de patatas con bacon Carrefour 105 g.,1.3,12.38,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,CARREFOUR
Galletas saladas peces Carrefour Classic 350 g.,1.3,3.71,la despensa,aperitivos,"Aceite, especias y salsas",KILO,CARREFOUR
Puré de patatas Carrefour 105 g.,1.3,12.38,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,CARREFOUR
Natilla choco vainilla huevo con sorpresa Kidsworld 70 g.,1.3,13.0,la despensa,yogures y postres,Postres y yogures,KILO,VALIO PROTEIN
Barra meiga Carrefour 1 ud,1.29,4.78,productos frescos,panaderia tradicional,Panadería y pastelería,KILO,CARREFOUR
PACK CEPILLO MEDIUM CRF 4 UND,1.29,0.32,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,UNIDAD,
Leche desnatada 0% MG Disney Puleva brik 1 l.,1.29,1.29,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO,PULEVA
Leche semidesnatada 1% MG Disney Puleva brik 1 l.,1.29,1.29,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO,PULEVA
Leche entera Disney Puleva brik 1 l.,1.29,1.29,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO,PULEVA
Cepillo de dientes suave Carrefour 4 ud.,1.29,0.32,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,UNIDAD,
Baguettina congelada sin gluten 1 ud,1.29,11.73,productos frescos,panaderia tradicional,Cuidado facial y corporal,KILO,
"Bolsita de manzana, zanahoria y mango desde 6 meses Nestlé sin gluten y sin azúcar añadido 90 g.",1.29,14.33,bebe,alimentacion infantil,Bebé,KILO,AVISO NESTLE
Pan bocata sin aditivos Carrefour 4 ud,1.29,0.32,productos frescos,panaderia tradicional,Panadería y pastelería,UNIDAD,CARREFOUR
Calabacín en dados Carrefour 450 g.,1.29,2.87,congelados,verduras congeladas,Congelados,KILO,CARREFOUR
Calabacín ecológico Carrefour Bio 500 g,1.29,2.58,productos frescos,verduras y hortalizas,Fruta y verdura,KILO,
Queso de untar light Classic Carrefour 300 g.,1.29,4.3,productos frescos,quesos,Charcutería y quesos,KILO,CARREFOUR
Tomate cherry mini-kumato 250 g,1.29,5.16,productos frescos,verduras y hortalizas,Fruta y verdura,KILO,
Lechuga hoja de roble roja 250 g aprox,1.29,1.29,productos frescos,verduras y hortalizas,Fruta y verdura,UNIDAD,
Pan Pannier plus mediana 300 g,1.29,3.91,productos frescos,panaderia tradicional,Panadería y pastelería,KILO,CARREFOUR
Semilla de lino ecológica Carrefour granel tarrina 125 g,1.29,10.32,la despensa,aperitivos,Aperitivos,KILO,
Salsa Fresca Trufa Carrefour 140 g.,1.29,9.21,la despensa,alimentacion,"Aceite, especias y salsas",KILO,CARREFOUR
"Bolsita de manzana, plátano y avena desde 6 meses Nestlé sin azúcar añadido 90 g.",1.29,14.33,bebe,alimentacion infantil,Bebé,KILO,AVISO NESTLE
Queso de untar clásico Classic´ Carrefour 300 g.,1.29,4.3,productos frescos,quesos,Charcutería y quesos,KILO,CARREFOUR
Leche semidesnatada fresca ecológica Carrefour botella 1 l.,1.29,1.29,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO,CARREFOUR
Tarrito de frutas variadas desde 4 meses Hero Baby sin gluten 190 g.,1.29,6.79,bebe,alimentacion infantil,Bebé,KILO,HERO
Nuez moscada molida Carrefour Classic 45 g.,1.29,28.67,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO,
Chocolate negro 80% cacao Carrefour Selección 80 g.,1.29,12.9,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,CARREFOUR
Tomate triturado contenido bajo de sal Carrefour 390 g.,1.29,3.31,la despensa,conservas sopas y precocinados,"Aceite, especias y salsas",KILO,CARREFOUR
Tarrito de 3 frutas desde 4 meses Hero Baby sin gluten 190 g.,1.29,6.79,bebe,alimentacion infantil,Bebé,KILO,HERO
"Tarrito de manzana, fresa, pera, plátano y arándanos desde 4 meses Hero Baby sin gluten 190 g.",1.29,6.79,bebe,alimentacion infantil,Bebé,KILO,HERO
Guindillas en vinagre Extra Carrefour 130 g.,1.29,9.92,la despensa,aperitivos,"Aceite, especias y salsas",KILO,CARREFOUR
