Nombre,Precio,Precio_unit,Categoria,Subcategoria,categoria_principal,Unidad_medida,Marca
Crema fortificante Age Perfect Golden Age L'Oréal 50 ml.,16.55,33.101,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Comida húmeda tartelette surtido para gatos adulto Purina Gourmet Gold 24x85 g.,16.55,8.11,mascotas,gatos,Mascotas,KILO,
"Gel dermo remodelador estiliza, define y tonifica Fitness E'lifexir 200 ml.",16.49,8.241,parafarmacia,cuidado corporal,Cuidado facial y corporal,100 ML,
Proteína vegana de chocolate Weider sin gluten 300 g.,16.49,54.97,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO,
Spray protector solar FP20 Protege & Broncea Nivea Sun 270 ml.,16.49,6.111,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Funda para Tabla de Planchar Metalizada VILEDA Rapid,16.49,16.49,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,UNIDAD,
Spray protector solar antialergias solares FP50+ Sensitive Protección Nivea Sun 270 ml.,16.49,6.111,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Pomada para proteger la zona del pañal Mitosyl 145 g.,16.49,11.371,bebe,perfumeria e higiene,Cuidado facial y corporal,100 GR,
Lavavajillas a máquina en pastillas Ultimate Finish Powerball 29 ud.,16.49,0.57,limpieza y hogar,productos para cocina,Limpieza y hogar,LAVADO,
Agua de colonia Classic David Beckham 100 ml.,16.45,16.451,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML,
Ginebra Puerto de Indias lemonberry 70 cl.,16.45,23.5,bebidas,alcoholes,Bodega,LITRO,
Pants Pull-Ups niño Huggies T6 (15-23 kg) 28 ud.,16.45,0.59,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD,
"Ginebra Puerto de Indias strawberry 0,0 sin alcohol 70 cl.",16.45,23.5,bebidas,alcoholes,Bodega,LITRO,PUERTO INDIAS
Tanqueray Flor De Sevilla Ginebra,16.45,23.5,bebidas,alcoholes,Bodega,LITRO,TANQUERAY
"Bacalao 1,5 kg aprox",16.42,10.95,productos frescos,pescaderia,Marisco y pescado,KILO,
Acondicionador con mango Klorane 200 ml.,16.39,8.191,parafarmacia,cabello,Cuidado del cabello,100 ML,
Queso de cabra tierno El Ventero 550 g,16.39,29.8,productos frescos,quesos,Charcutería y quesos,KILO,VENTERO
Proteína vegana de vainilla Weider sin gluten 300 g.,16.39,54.63,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO,
Leche infantil desde 1 día en polvo Nutribén sin lactosa 1 sin aceite de palma lata 400 g.,16.39,40.97,parafarmacia,bebe,"Aceite, especias y salsas",KILO,SIN LACTOSA
