Nombre,Categoria1,Categoria2,UM,Precio Unitario,Precio 
L2099,Pan de molde rústico El molino de Dia bolsa 600 g,"Panes, harinas y masas","Pan de molde, perritos y hamburguesas.",KILO,2.92,1.75
L2099,Pan de hamburguesas Bimbo bolsa 300 g,"Panes, harinas y masas","Pan de molde, perritos y hamburguesas.",KILO,8.3,2.49
L2099,Aceitunas verdes rellenas de anchoas La española lata 3 x 50 g,"Patatas fritas, encurtidos y frutos secos",Aceitunas y encurtidos,KILO,25.67,3.85
L2099,Palomitas al punto de sal microondas Popitas caja 300 g,"Patatas fritas, encurtidos y frutos secos",Frutos secos,KILO,7.97,2.39
L2099,Pepinillo sabor anchoa Rioverde frasco 180 g,"Patatas fritas, encurtidos y frutos secos",Aceitunas y encurtidos,KILO,9.39,1.69
L2099,Pipas G tijuana Grefusa bolsa 165 g,"Patatas fritas, encurtidos y frutos secos",Frutos secos,KILO,10.61,1.75
L2099,Judión cocido Legumbres La Asturiana frasco 400 g,"Conservas, caldos y cremas",Conservas vegetales,KILO,6.38,2.55
L2099,Pan de molde blanco sin corteza Bimbo bolsa 450 g,"Panes, harinas y masas","Pan de molde, perritos y hamburguesas.",KILO,5.76,2.59
L2099,Patatas fritas sabor ketchup Ruffles bolsa 150 g,"Patatas fritas, encurtidos y frutos secos",Patatas fritas y aperitivos,KILO,13.27,1.99
L2099,Cardo Vegecampo de Dia frasco 400 g,"Conservas, caldos y cremas",Conservas vegetales,KILO,4.25,1.7
L2099,Acelgas Vegecampo de Dia frasco 425 g,"Conservas, caldos y cremas",Conservas vegetales,KILO,4.12,1.75
L2099,Guisantes muy finos Vegecampo de Dia lata 3 x 140 g,"Conservas, caldos y cremas",Conservas vegetales,KILO,5.69,2.39
L2099,Guisantes con zanahorias Vegecampo de Dia lata 3 x 130 g,"Conservas, caldos y cremas",Conservas vegetales,KILO,6.38,2.49
L2100,Agua mineral con gas Dia botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.27,0.41
L2100,Pasta oriental sabor curry Maggi sobre 71 g,Pizzas y platos preparados,Comida internacional,KILO,12.68,0.9
L2100,Queso fundido con palitos de pan La vaca que ríe caja 140 g,Charcutería y quesos,Quesos fundidos y cremas,KILO,17.07,2.39
L2100,Helado mini bombón almendras 6 unidades Magnum caja 276 g,Congelados,Helados y hielo,KILO,18.08,4.99
L2100,Tortillas de trigo Old El Paso bolsa 244 g,Pizzas y platos preparados,Comida internacional,KILO,9.63,2.35
L2100,Jamón serrano en taquitos Navidul bandeja 100 g,Charcutería y quesos,Jamón curado y paleta,KILO,20,2
L2100,Refresco de fresa Tang bolsa 30 g,"Agua, refrescos y zumos",Otras bebidas,KILO,27.67,0.83
L2100,Agua mineral natural Font Vella botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.49,0.73
L2100,Vino tinto crianza D.O. Madrid Puerta de Alcalá botella 75 cl,"Cervezas, vinos y bebidas con alcohol",Vino tinto,LITRO,5.93,4.45
L2100,Postre lacteo fresa Nestlé Yogolino pack 4 x 100 g,Bebé,"Yogures, bolsitas de frutas y snacks",KILO,7.38,2.95
L2100,Refresco de cola zero Coca-Cola botella 500 ml,"Agua, refrescos y zumos",Cola,LITRO,2.9,1.45
L2100,Gazpacho Al Punto Dia brik 3 x 330 ml,Pizzas y platos preparados,Gazpachos y salmorejos,LITRO,1.97,1.95
L2100,Refresco de limón 6% zumo con gas Upss Dia botella 2 l,"Agua, refrescos y zumos","Limón, lima limón",LITRO,0.46,0.92
L2100,Refresco de cola zero Coca-Cola botella 2 x 2 l,"Agua, refrescos y zumos",Cola,LITRO,0.98,3.9
L2100,Espuma de afeitar pieles sensibles La toja spray 300 ml,"Perfumería, higiene, salud",Afeitado,100 ML.,1,2.99
L2100,Refresco de cola zero Coca-Cola botella 1.25 l,"Agua, refrescos y zumos",Cola,LITRO,1,1.25
L2100,Hielo en cubitos bolsa 2 Kg,Congelados,Helados y hielo,KILO,0.5,0.99
L2100,Vino tinto gran reserva D.O. Valdepeñas Viña Albalí botella 75 cl,"Cervezas, vinos y bebidas con alcohol",Vino tinto,LITRO,7,5.25
L2100,Suavizante concentrado talco rosa San botella 59 lavados,Limpieza y hogar,Cuidado de la ropa,LAVADO,0.04,2.49
L2100,Refresco de cola zero Coca-Cola lata 12 x 33 cl,"Agua, refrescos y zumos",Cola,LITRO,2.64,10.44
L2100,Vino tinto Castillo de Velasco garrafa 2 l,"Cervezas, vinos y bebidas con alcohol",Vino tinto,LITRO,1.3,2.6
L2100,Agua mineral natural Cabreiroá botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.53,0.79
L2100,Vino tinto crianza D.O. Ribera del Duero Altos del Tamarón botella 75 cl,"Cervezas, vinos y bebidas con alcohol",Vino tinto,LITRO,8.65,6.49
L2100,Refresco de cola clásica Pepsi botella 1.75 l,"Agua, refrescos y zumos",Cola,LITRO,0.97,1.69
L2100,Refresco de cola clásica Pepsi lata 33 cl,"Agua, refrescos y zumos",Cola,LITRO,2.39,0.79
L2100,Vino tinto D.O. Ribera del Duero Viña Mayor botella 75 cl,"Cervezas, vinos y bebidas con alcohol",Vino tinto,LITRO,10.33,7.75
L2100,Refresco de cola clásica Coca-Cola botella 1.25 l,"Agua, refrescos y zumos",Cola,LITRO,1,1.25
L2100,Helado cono de nata y caramelo 4 unidades Temptation de Dia caja 272 g,Congelados,Helados y hielo,KILO,6.58,1.79
L2100,Queso fresco 0% m.g Dia Láctea tarrina 4 x 62.5 g,Charcutería y quesos,Queso fresco,KILO,4.16,1.04
L2100,Vino tinto Cumbre de Gredos brik 1 l,"Cervezas, vinos y bebidas con alcohol",Vino tinto,LITRO,1.69,1.69
L2101,Pizza 4 quesos Al Punto Dia bandeja 390 g,Pizzas y platos preparados,Pizzas,KILO,6.9,2.69
L2101,Pizza carbonara Casa Tarradellas bandeja 400 g,Pizzas y platos preparados,Pizzas,KILO,7.98,3.19
L2101,Pizza jamón y queso Casa Tarradellas bandeja 2 x 225 g,Pizzas y platos preparados,Pizzas,KILO,7.09,3.19
L2101,Pizza 4 quesos Casa Tarradellas bandeja 390 g,Pizzas y platos preparados,Pizzas,KILO,8.18,3.19
L2101,Pizza atún y bacon Al Punto Dia bandeja 400 g,Pizzas y platos preparados,Pizzas,KILO,6.73,2.69
L2101,Pizza jamón y queso Al Punto Dia bandeja 400 g,Pizzas y platos preparados,Pizzas,KILO,6.03,2.41
L2101,Pizza smoky grilled pork Al Punto Dia bandeja 480 g,Pizzas y platos preparados,Pizzas,KILO,6.23,2.99
L2101,Pizza jamón serrano Casa Tarradellas bandeja 390 g,Pizzas y platos preparados,Pizzas,KILO,8.18,3.19
L2101,Pizza 4 quesos familiar Al Punto Dia bandeja 580 g,Pizzas y platos preparados,Pizzas,KILO,6.81,3.95
L2101,Pizza jamón y queso familiar Al Punto Dia bandeja 600 g,Pizzas y platos preparados,Pizzas,KILO,6.58,3.95
L2101,Pizza barbacoa Al Punto Dia bandeja 425 g,Pizzas y platos preparados,Pizzas,KILO,6.09,2.59
L2101,Pizza jamón y queso Casa Tarradellas bandeja 405 g,Pizzas y platos preparados,Pizzas,KILO,7.88,3.19
L2101,Pizza serrana Al Punto Dia bandeja 390 g,Pizzas y platos preparados,Pizzas,KILO,6.9,2.69
L2101,Pizza atún y bacon Casa Tarradellas bandeja 405 g,Pizzas y platos preparados,Pizzas,KILO,7.88,3.19
L2101,Pizza pollo Al Punto Dia bandeja 400 g,Pizzas y platos preparados,Pizzas,KILO,6.73,2.69
L2101,Pizza pollo Casa Tarradellas bandeja 410 g,Pizzas y platos preparados,Pizzas,KILO,7.78,3.19
L2101,Pizza carbonara Al Punto Dia bandeja 400 g,Pizzas y platos preparados,Pizzas,KILO,6.73,2.69
L2102,Albóndigas Al Punto Dia lata 415 g,Pizzas y platos preparados,Precocinados envasados,KILO,4.05,1.68
L2102,Fabada asturiana Litoral lata 420 g,Pizzas y platos preparados,Precocinados envasados,KILO,5.95,2.5
L2102,Fabada asturiana Litoral lata 850 g,Pizzas y platos preparados,Precocinados envasados,KILO,5.4,4.59
L2102,Sopa juliana deshidratada Trevijano bandeja 100 g,Pizzas y platos preparados,Precocinados envasados,KILO,23,2.3
L2102,Cocido madrileño Al Punto Dia lata 425 g,Pizzas y platos preparados,Precocinados envasados,KILO,4.16,1.77
L2102,Fabada asturiana Al Punto Dia lata 435 g,Pizzas y platos preparados,Precocinados envasados,KILO,3.45,1.5
L2102,Callos a la madrileña Litoral lata 380 g,Pizzas y platos preparados,Precocinados envasados,KILO,12.87,4.89
L2102,Ensaladilla rusa deshidratada Trevijano bandeja 110 g,Pizzas y platos preparados,Precocinados envasados,KILO,19.64,2.16
L2102,Lentejas a la riojana Litoral lata 430 g,Pizzas y platos preparados,Precocinados envasados,KILO,5.09,2.19
L2102,Cocido madrileño Litoral lata 425 g,Pizzas y platos preparados,Precocinados envasados,KILO,6.8,2.89
L2102,Callos con chorizo Al Punto Dia lata 380 g,Pizzas y platos preparados,Precocinados envasados,KILO,6.05,2.3
L2102,Alitas de pollo barbacoa Earra tarrina 500 g,Pizzas y platos preparados,Precocinados envasados,KILO,7.98,3.99
L2102,Bocados vegetales estilo Mediterráneo Revolu green bandeja 160 g,Pizzas y platos preparados,Precocinados envasados,KILO,23.69,3.79
L2102,Bocadillo de bacon y queso Al Punto Dia caja 200 g,Pizzas y platos preparados,Precocinados envasados,KILO,12.95,2.59
L2102,Bocadillo de pollo y queso Al Punto Dia caja 200 g,Pizzas y platos preparados,Precocinados envasados,KILO,12.95,2.59
L2102,Fajitas Al Punto Dia bandeja 275 g,Pizzas y platos preparados,Precocinados envasados,KILO,7.09,1.95
L2102,Flautas de carne y salsa barbacoa con bacon Al Punto Dia bandeja 275 g,Pizzas y platos preparados,Precocinados envasados,KILO,7.09,1.95
L2102,Flautas de bacon y 2 quesos Al Punto Dia bandeja 275 g,Pizzas y platos preparados,Precocinados envasados,KILO,7.09,1.95
L2102,Flautas de pollo y 2 quesos Al Punto Dia bandeja 275 g,Pizzas y platos preparados,Precocinados envasados,KILO,7.09,1.95
L2102,Lasaña boloñesa fresca Al Punto Dia bandeja 800 g,Pizzas y platos preparados,Precocinados envasados,KILO,4.94,3.95
L2102,Hamburguesa vegetariana Garden Gourmet bandeja 150 g,Pizzas y platos preparados,Precocinados envasados,KILO,21.93,3.29
L2102,Penne con setas Al Punto Dia bolsa 145 g,Pizzas y platos preparados,Precocinados envasados,KILO,8.62,1.25
L2102,"Lunch bowl espelta, guisantes, alubias, cherry, pimiento rojo y aceitunas Bonduelle bolsa 250 g",Pizzas y platos preparados,Precocinados envasados,KILO,11.96,2.99
L2102,Albóndigas de pollo La noreñense lata 415 g,Pizzas y platos preparados,Precocinados envasados,KILO,4.34,1.8
L2102,Fusilli a la carbonara Al Punto Dia sobre 145 g,Pizzas y platos preparados,Precocinados envasados,KILO,6.83,0.99
L2102,Callos a la madrileña Gancedo bolsa 500 g,Pizzas y platos preparados,Precocinados envasados,KILO,7.9,3.95
L2102,Codillo asado con patatas Al Punto Dia bandeja 450 g,Pizzas y platos preparados,Precocinados envasados,KILO,7.09,3.19
L2102,Lentejas con chorizo Al Punto Dia lata 415 g,Pizzas y platos preparados,Precocinados envasados,KILO,3.2,1.33
L2102,Hummus de pimiento Al Punto Dia tarrina 220 g,Pizzas y platos preparados,Precocinados envasados,KILO,6.77,1.49
L2102,Hummus clásico Al Punto Dia tarrina 220 g,Pizzas y platos preparados,Precocinados envasados,KILO,5.86,1.29
L2103,Pasta oriental sabor curry Maggi sobre 71 g,Pizzas y platos preparados,Comida internacional,KILO,12.68,0.9
L2103,Tortillas de trigo Old El Paso bolsa 244 g,Pizzas y platos preparados,Comida internacional,KILO,9.63,2.35
L2103,Salsa chunky Zanuy frasco 300 g,Pizzas y platos preparados,Comida internacional,KILO,7.33,2.2
L2103,Pollo al curry con arroz basmati Al Punto Dia bandeja 300 g,Pizzas y platos preparados,Comida internacional,KILO,9.83,2.95
L2103,Rollitos de primavera Al Punto Dia bandeja 280 g,Pizzas y platos preparados,Comida internacional,KILO,8.75,2.45
L2103,Fideos yakisoba  Al Punto Dia bandeja 250 g,Pizzas y platos preparados,Comida internacional,KILO,9.8,2.45
L2103,Fajitas Al Punto Dia bandeja 275 g,Pizzas y platos preparados,Precocinados envasados,KILO,7.09,1.95
L2103,Salsa en polvo Tajín frasco 142 g,Pizzas y platos preparados,Comida internacional,KILO,23.24,3.3
L2103,Tortillas integrales bolsa Old El Paso bolsa 350 g,Pizzas y platos preparados,Comida internacional,KILO,9.69,3.39
L2103,Fideos orientales fusian sabor teriyaki Maggi sobre 130 g,Pizzas y platos preparados,Comida internacional,KILO,15.31,1.99
L2103,Fideos orientales classic magic asia Maggi sobre 121 g,Pizzas y platos preparados,Comida internacional,KILO,16.45,1.99
L2103,Tortilla integral Al Punto Dia bolsa 320 g,Pizzas y platos preparados,Comida internacional,KILO,4.59,1.47
L2103,Sazonador para burritos suave Old El Paso sobre 40 g,Pizzas y platos preparados,Comida internacional,KILO,34.75,1.39
L2103,Chili con carne Old El Paso lata 418 g,Pizzas y platos preparados,Comida internacional,KILO,9.55,3.99
L2103,Fideos de arroz Tiger Khan bolsa 375 g,Pizzas y platos preparados,Comida internacional,KILO,8.51,3.19
L2103,Tortillas de trigo para burrito Mexifoods bolsa 370 g,Pizzas y platos preparados,Comida internacional,KILO,6.73,2.49
L2103,Fideos tradicionales Tiger Khan bolsa 400 g,Pizzas y platos preparados,Comida internacional,KILO,8.38,3.35
L2103,Gyozas de langostino al teppanyaki Al Punto Dia bandeja 140 g,Pizzas y platos preparados,Precocinados envasados,KILO,21.07,2.95
L2103,Tortilla pockets Old El Paso caja 223 g,Pizzas y platos preparados,Comida internacional,KILO,15.2,3.39
L2103,Gyozas de pollo y verduras al teppanyaki Al Punto Dia bandeja 140 g,Pizzas y platos preparados,Precocinados envasados,KILO,15.64,2.19
L2103,Arroz tres delicias Al Punto Dia bandeja 320 g,Pizzas y platos preparados,Precocinados envasados,KILO,7.78,2.49
L2103,Tortillas mexicanas sin gluten Old El Paso bolsa 216 g,Pizzas y platos preparados,Comida internacional,KILO,15.69,3.39
L2103,Fideos orientales pollo Gallina Blanca Yatekomo bote 2 x 60 g,Pizzas y platos preparados,Comida internacional,KILO,25.42,3.05
L2103,Fideos orientales yakisoba Gallina Blanca Yatekomo bolsa 93 g,Pizzas y platos preparados,Comida internacional,KILO,17.1,1.59
L2103,Fideos orientales yakisoba pollo Gallina Blanca Yatekomo bolsa 93 g,Pizzas y platos preparados,Comida internacional,KILO,17.1,1.59
L2103,Tortillas wraps Old El Paso bolsa 350 g,Pizzas y platos preparados,Comida internacional,KILO,9.69,3.39
L2103,Kit fajitas Old El Paso caja 505 g,Pizzas y platos preparados,Comida internacional,KILO,11.86,5.99
L2103,Noodles orientales sabor verduras Dia vaso 65 g,Pizzas y platos preparados,Comida internacional,KILO,13.08,0.85
L2103,Noodles orientales sabor pollo Dia vaso 65 g,Pizzas y platos preparados,Comida internacional,KILO,13.08,0.85
L2103,Cous cous marroquí Trevijano bandeja 300 g,Pizzas y platos preparados,Comida internacional,KILO,9.83,2.95
L2104,Agua mineral con gas Dia botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.27,0.41
L2104,Pañales 13-19 kg talla 6 Dodot bolsa 36 unidades,Bebé,Pañales y toallitas,UNIDAD,0.39,14
L2104,Pasta oriental sabor curry Maggi sobre 71 g,Pizzas y platos preparados,Comida internacional,KILO,12.68,0.9
L2104,Crema de día hidratante nutritiva piel seca/sensible Diadermine frasco 50 ml,"Perfumería, higiene, salud","Limpieza facial, crema facial",100 ML.,20.98,10.49
L2104,Tortillas de trigo Old El Paso bolsa 244 g,Pizzas y platos preparados,Comida internacional,KILO,9.63,2.35
L2104,Jamón serrano en taquitos Navidul bandeja 100 g,Charcutería y quesos,Jamón curado y paleta,KILO,20,2
L2104,Snack para perros Pedigree Rodeo bolsa 70 g,Mascotas,Perros,KILO,28.43,1.99
L2104,Agua mineral natural Font Vella botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.49,0.73
L2104,Crema antiarrugas contorno de ojos Q10 Nivea caja 15 ml,"Perfumería, higiene, salud","Limpieza facial, crema facial",100 ML.,66.6,9.99
L2104,Vinagre de manzana Aliña tu Dia botella 1 l,"Aceites, salsas y especias",Vinagres y aliños,LITRO,0.85,0.85
L2104,Povidona iodada 10% Bonté Equity de Dia bote 125 ml,"Perfumería, higiene, salud",Parafarmacia,100 ML.,1.4,1.75
L2104,Postre lacteo fresa Nestlé Yogolino pack 4 x 100 g,Bebé,"Yogures, bolsitas de frutas y snacks",KILO,7.38,2.95
L2104,Refresco de cola zero Coca-Cola botella 500 ml,"Agua, refrescos y zumos",Cola,LITRO,2.9,1.45
L2104,Gazpacho Al Punto Dia brik 3 x 330 ml,Pizzas y platos preparados,Gazpachos y salmorejos,LITRO,1.97,1.95
L2104,Refresco de limón 6% zumo con gas Upss Dia botella 2 l,"Agua, refrescos y zumos","Limón, lima limón",LITRO,0.46,0.92
L2104,Refresco de cola zero Coca-Cola botella 2 x 2 l,"Agua, refrescos y zumos",Cola,LITRO,0.98,3.9
L2104,Mejillones cocidos en su jugo Aguinamar bolsa 1 Kg,"Pescados, mariscos y ahumados",Mariscos,KILO,4.99,4.99
L2104,Refresco de cola zero Coca-Cola botella 1.25 l,"Agua, refrescos y zumos",Cola,LITRO,1,1.25
L2104,Tallarines Gallo bolsa 450 g,"Arroz, pastas y legumbres",Pastas,KILO,2.96,1.33
L2104,Refresco de cola zero Coca-Cola lata 12 x 33 cl,"Agua, refrescos y zumos",Cola,LITRO,2.64,10.44
L2104,Agua mineral natural Cabreiroá botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.53,0.79
L2104,Refresco de cola clásica Pepsi botella 1.75 l,"Agua, refrescos y zumos",Cola,LITRO,0.97,1.69
L2104,Refresco de cola clásica Pepsi lata 33 cl,"Agua, refrescos y zumos",Cola,LITRO,2.39,0.79
L2104,Crema facial hydra 5 acciones Men Expert frasco 50 ml,"Perfumería, higiene, salud","Limpieza facial, crema facial",100 ML.,15.98,7.99
L2104,Refresco de cola clásica Coca-Cola botella 1.25 l,"Agua, refrescos y zumos",Cola,LITRO,1,1.25
L2104,Tallarines Al Diante Dia bolsa 500 g,"Arroz, pastas y legumbres",Pastas,KILO,1.64,0.82
L2104,Puré verduritas con pollo Hero frasco 380 g,Bebé,Potitos y tarritos,KILO,7.87,2.99
L2104,Aceite de oliva virgen extra Carbonell botella 1 l,"Aceites, salsas y especias",Aceites,LITRO,15.89,15.89
L2104,Refresco de cola sin cafeína Coca-Cola lata 33 cl,"Agua, refrescos y zumos",Cola,LITRO,2.7,0.89
L2104,Refresco de cola light Coca-Cola lata 33 cl,"Agua, refrescos y zumos",Cola,LITRO,2.7,0.89
L2105,Tortilla de patata fresca Al Punto Dia bandeja 600 g,Pizzas y platos preparados,Tortillas y empanadas,KILO,4.92,2.95
L2105,Tortilla vegana Revolu green bolsa 200 g,Pizzas y platos preparados,Tortillas y empanadas,KILO,6.95,1.39
L2105,Tortilla de patatas con chorizo Al Punto Dia bandeja 600 g,Pizzas y platos preparados,Tortillas y empanadas,KILO,6.15,3.69
L2105,Tortilla de patatas sin cebolla Al Punto Dia bandeja 600 g,Pizzas y platos preparados,Tortillas y empanadas,KILO,4.32,2.59
L2105,Tortilla de patatas con cebolla Al Punto Dia bandeja 600 g,Pizzas y platos preparados,Tortillas y empanadas,KILO,4.32,2.59
L2105,Tortilla de patatas con espinacas Palacios bandeja 300 g,Pizzas y platos preparados,Tortillas y empanadas,KILO,9.3,2.79
L2105,Tortilla de patatas con cebolla Palacios bandeja 650 g,Pizzas y platos preparados,Tortillas y empanadas,KILO,7.52,4.89
L2105,Empanada de pollo El molino de Dia 550 g,Pizzas y platos preparados,Tortillas y empanadas,KILO,6.71,3.69
L2105,Empanada de bacalao El molino de Dia bolsa 550 g,Pizzas y platos preparados,Tortillas y empanadas,KILO,6.71,3.69
L2105,Empanada de pollo El molino de Dia bolsa 120 g,Pizzas y platos preparados,Tortillas y empanadas,KILO,5.75,0.69
L2105,Mini tortilla de patatas con cebolla Al Punto Dia bandeja 220 g,Pizzas y platos preparados,Tortillas y empanadas,KILO,4.55,1
L2105,Empanada de atún El molino de Dia bolsa 550 g,Pizzas y platos preparados,Tortillas y empanadas,KILO,6.71,3.69
L2105,Empanada de carne El molino de Dia bolsa 550 g,Pizzas y platos preparados,Tortillas y empanadas,KILO,6.71,3.69
L2106,Gazpacho Al Punto Dia brik 3 x 330 ml,Pizzas y platos preparados,Gazpachos y salmorejos,LITRO,1.97,1.95
L2106,Gazpacho original Alvalle brik 1 l,Pizzas y platos preparados,Gazpachos y salmorejos,LITRO,3.99,3.99
L2106,Gazpacho Al Punto Dia brik 1 l,Pizzas y platos preparados,Gazpachos y salmorejos,LITRO,1.55,1.55
L2106,Salmorejo Al Punto Dia brik 33 cl,Pizzas y platos preparados,Gazpachos y salmorejos,LITRO,3,0.99
L2106,Gazpacho suave Al Punto Dia brik 33 cl,Pizzas y platos preparados,Gazpachos y salmorejos,LITRO,2.7,0.89
L2106,Gazpacho con almendras Al Punto Dia brik 1 l,Pizzas y platos preparados,Gazpachos y salmorejos,LITRO,2.69,2.69
L2106,Gazpacho suave Al Punto Dia brik 1 l,Pizzas y platos preparados,Gazpachos y salmorejos,LITRO,1.55,1.55
L2106,Salmorejo Al Punto Dia brik 1 l,Pizzas y platos preparados,Gazpachos y salmorejos,LITRO,1.95,1.95
L2106,Gazpacho suave sin pepino Alvalle brik 1 l,Pizzas y platos preparados,Gazpachos y salmorejos,LITRO,3.99,3.99
L2107,Agua mineral con gas Dia botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.27,0.41
L2107,Agua mineral natural Font Vella botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.49,0.73
L2107,Agua mineral natural Cabreiroá botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.53,0.79
L2107,Agua mineral con gas Vichy botella 1 l,"Agua, refrescos y zumos",Agua,LITRO,1.49,1.49
L2107,Agua mineral natural Font Vella botella 2 l,"Agua, refrescos y zumos",Agua,LITRO,0.49,0.97
L2107,Agua mineral natural Solán de Cabras garrafa 5 l,"Agua, refrescos y zumos",Agua,LITRO,0.54,2.69
L2107,Agua mineral natural Solán de Cabras botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.59,0.89
L2107,Agua mineral natural Aquarel botella 50 cl,"Agua, refrescos y zumos",Agua,LITRO,1.18,0.59
L2107,Agua mineral natural Aquabona botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.43,0.64
L2107,Agua mineral natural Dia botella 33 cl,"Agua, refrescos y zumos",Agua,LITRO,0.73,0.24
L2107,Agua mineral natural Font Vella botella 50 cl,"Agua, refrescos y zumos",Agua,LITRO,1.1,0.55
L2107,Agua mineral natural Font Vella botella 33 cl,"Agua, refrescos y zumos",Agua,LITRO,1.36,0.45
L2107,Agua mineral con gas Fonter botella 1 l,"Agua, refrescos y zumos",Agua,LITRO,1.14,1.14
L2107,Agua mineral natural Lanjarón botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.49,0.73
L2107,Agua mineral natural Bezoya botella 6 x 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.49,4.44
L2107,Agua mineral natural Bezoya botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.49,0.74
L2107,Agua mineral natural Aquarel botella 33 cl,"Agua, refrescos y zumos",Agua,LITRO,1.61,0.53
L2107,Agua mineral natural Aquarel garrafa 5 l,"Agua, refrescos y zumos",Agua,LITRO,0.35,1.75
L2107,Agua mineral natural Aquarel botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.39,0.59
L2107,Agua mineral natural Dia botella 50 cl,"Agua, refrescos y zumos",Agua,LITRO,0.44,0.22
L2107,Agua con gas sabor limón Maison perrier botella 50 cl,"Agua, refrescos y zumos",Agua,LITRO,2.1,1.05
L2107,Agua mineral natural Monte pinos botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.43,0.64
L2107,Agua mineral natural Aquarel garrafa 8 l,"Agua, refrescos y zumos",Agua,LITRO,0.44,3.49
L2107,Agua mineral natural Fuente primavera botella 1 l,"Agua, refrescos y zumos",Agua,LITRO,0.49,0.49
L2107,Agua con gas San Pellegrino botella 50 cl,"Agua, refrescos y zumos",Agua,LITRO,1.98,0.99
L2107,Agua con gas Font Vella botella 50 cl,"Agua, refrescos y zumos",Agua,LITRO,1.88,0.94
L2107,Agua mineral natural Dia garrafa 5 l,"Agua, refrescos y zumos",Agua,LITRO,0.13,0.65
L2107,Agua mineral natural Dia botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.17,0.25
L2107,Agua mineral natural alcalina ph9 Ursu9 botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.5,0.75
L2107,Agua mineral natural Aquarel botella 75 cl,"Agua, refrescos y zumos",Agua,LITRO,0.97,0.73
L2108,Refresco de cola zero Coca-Cola botella 500 ml,"Agua, refrescos y zumos",Cola,LITRO,2.9,1.45
L2108,Refresco de cola zero Coca-Cola botella 2 x 2 l,"Agua, refrescos y zumos",Cola,LITRO,0.98,3.9
L2108,Refresco de cola zero Coca-Cola botella 1.25 l,"Agua, refrescos y zumos",Cola,LITRO,1,1.25
L2108,Refresco de cola zero Coca-Cola lata 12 x 33 cl,"Agua, refrescos y zumos",Cola,LITRO,2.64,10.44
L2108,Refresco de cola clásica Pepsi botella 1.75 l,"Agua, refrescos y zumos",Cola,LITRO,0.97,1.69
L2108,Refresco de cola clásica Pepsi lata 33 cl,"Agua, refrescos y zumos",Cola,LITRO,2.39,0.79
L2108,Refresco de cola clásica Coca-Cola botella 1.25 l,"Agua, refrescos y zumos",Cola,LITRO,1,1.25
L2108,Refresco de cola sin cafeína Coca-Cola lata 33 cl,"Agua, refrescos y zumos",Cola,LITRO,2.7,0.89
L2108,Refresco de cola light Coca-Cola lata 33 cl,"Agua, refrescos y zumos",Cola,LITRO,2.7,0.89
L2108,Refresco de cola clásica Coca-Cola lata 33 cl,"Agua, refrescos y zumos",Cola,LITRO,2.7,0.89
L2108,Refresco de cola clásica Coca-Cola botella 2 l,"Agua, refrescos y zumos",Cola,LITRO,1,1.99
L2108,Refresco de cola clásica Pepsi botella 2 x 1.75 l,"Agua, refrescos y zumos",Cola,LITRO,0.94,3.3
L2108,Refresco de cola Hola Cola de Dia lata 12 x 33 cl,"Agua, refrescos y zumos",Cola,LITRO,1.03,4.08
L2108,Refresco de cola Hola Cola de Dia lata 33 cl,"Agua, refrescos y zumos",Cola,LITRO,1.03,0.34
L2108,Refresco de cola zero Pepsi lata 33 cl,"Agua, refrescos y zumos",Cola,LITRO,2.39,0.79
L2108,Refresco de cola zero Pepsi botella 1.75 l,"Agua, refrescos y zumos",Cola,LITRO,0.97,1.69
L2108,Refresco de cola clásica Coca-Cola botella 2 x 2 l,"Agua, refrescos y zumos",Cola,LITRO,0.98,3.9
L2108,Refresco de cola clásica Coca-Cola lata 12 x 33 cl,"Agua, refrescos y zumos",Cola,LITRO,2.64,10.44
L2108,Refresco zero sabor lima Pepsi lata 33 cl,"Agua, refrescos y zumos",Cola,LITRO,2.39,0.79
L2108,Refresco de cola zero Coca-Cola botella 2 l,"Agua, refrescos y zumos",Cola,LITRO,1,1.99
L2108,Refresco de cola zero Coca-Cola lata 33 cl,"Agua, refrescos y zumos",Cola,LITRO,2.7,0.89
L2108,Refresco de cola zero Coca-Cola botella 2 x 1.25 l,"Agua, refrescos y zumos",Cola,LITRO,1.16,2.9
