Nombre,Categoria1,Categoria2,UM,Precio Unitario,Precio
L104,Arroz integral Arrozona de Dia paquete 1 Kg,"Arroz, pastas y legumbres",Arroz,KILO,1.7,1.7
L104,Arroz basmati Brillante vaso 2 x 125 g,"Arroz, pastas y legumbres",Arroz,KILO,5.36,1.34
L104,Arroz largo de primera categoría Arrozona de Dia bolsa 1 Kg,"Arroz, pastas y legumbres",Arroz,KILO,1.35,1.35
L104,Aceite de oliva virgen extra Hojiblanca botella 1 l,"Aceites, salsas y especias",Aceites,LITRO,15.89,15.89
L104,Aceite de oliva virgen extra Hojiblanca botella 500 ml,"Aceites, salsas y especias",Aceites,LITRO,15.9,7.95
L104,Arroz basmati Selección Mundial de Dia paquete 1 Kg,"Arroz, pastas y legumbres",Arroz,KILO,2.44,2.44
L104,Espagueti Al Diante Dia bolsa 1 Kg,"Arroz, pastas y legumbres",Pastas,KILO,1.3,1.3
L104,Espagueti Al Diante Dia bolsa 500 g,"Arroz, pastas y legumbres",Pastas,KILO,1.64,0.82
L104,Sopa maravilla Al Diante Dia bolsa 500 g,"Arroz, pastas y legumbres",Pastas,KILO,1.64,0.82
L104,Sal marina gruesa Dia paquete 1 Kg,"Aceites, salsas y especias",Sal y especias,KILO,0.35,0.35
L104,Macarrón Al Diante Dia bolsa 500 g,"Arroz, pastas y legumbres",Pastas,KILO,1.64,0.82
L104,Fideo cabellín Al Diante Dia bolsa 500 g,"Arroz, pastas y legumbres",Pastas,KILO,1.64,0.82
L104,Macarrón Al Diante Dia bolsa 1 Kg,"Arroz, pastas y legumbres",Pastas,KILO,1.3,1.3
L104,Fideo entrefino Al Diante Dia bolsa 500 g,"Arroz, pastas y legumbres",Pastas,KILO,1.64,0.82
L104,Aceite de oliva suave La Almazara del Olivar de Dia garrafa 5 l,"Aceites, salsas y especias",Aceites,LITRO,8.6,42.99
L104,Aceite refinado de girasol Diasol garrafa 5 l,"Aceites, salsas y especias",Aceites,LITRO,1.4,6.99
L104,Aceite de oliva suave La masía botella 1 l,"Aceites, salsas y especias",Aceites,LITRO,10.49,10.49
L104,Arroz integral SOS bolsa 1 Kg,"Arroz, pastas y legumbres",Arroz,KILO,2.05,2.05
L104,Cereza bandeja 500 g,Frutas,Frutas de temporada,KILO,7.98,3.99
L104,Melocotón rojo granel 750 g aprox.,Frutas,Frutas de temporada,KILO,4.49,3.37
L105,Café en cápsulas espresso intenso Nescafé Dolce Gusto caja 16 unidades,"Café, cacao e infusiones",Café,UNIDAD,0.27,4.25
L105,Infusión duerme bien Pompadour caja 20 unidades,"Café, cacao e infusiones",Té e infusiones,UNIDAD,0.14,2.79
L105,Salsa de soja Heinz frasco 150 ml,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",LITRO,19.93,2.99
L105,Batido de chocolate Puleva brik 6 x 200 ml,"Leche, huevos y mantequilla",Batidos y horchatas,LITRO,2.29,2.75
L105,Salsa para hamburguesas Salseo de Dia bote 300 g,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",KILO,5.63,1.69
L105,Salsa barbacoa Salseo de Dia bote 360 g,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",KILO,3.03,1.09
L105,Ketchup light Salseo de Dia bote 540 g,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",KILO,2.69,1.45
L105,Leche desnatada Central Lechera Asturiana botella 6 x 1.5 l,"Leche, huevos y mantequilla",Leche,LITRO,1.06,9.54
L105,Leche desnatada Central Lechera Asturiana botella 1.5 l,"Leche, huevos y mantequilla",Leche,LITRO,1.06,1.59
L105,Leche entera Central Lechera Asturiana botella 6 x 1.5 l,"Leche, huevos y mantequilla",Leche,LITRO,1.13,10.14
L105,Leche entera Central Lechera Asturiana botella 1.5 l,"Leche, huevos y mantequilla",Leche,LITRO,1.13,1.69
L105,Bebida de soja Pascual Vivesoy brik 1 l,"Leche, huevos y mantequilla",Bebidas vegetales,LITRO,1.89,1.89
L105,Leche desnatada Pascual brik 6 x 1 l,"Leche, huevos y mantequilla",Leche,LITRO,1.3,7.8
L105,Leche desnatada Pascual brik 1 l,"Leche, huevos y mantequilla",Leche,LITRO,1.3,1.3
L105,Leche semidesnatada Pascual brik 6 x 1 l,"Leche, huevos y mantequilla",Leche,LITRO,1.3,7.8
L105,Leche semidesnatada Pascual brik 1 l,"Leche, huevos y mantequilla",Leche,LITRO,1.3,1.3
L105,Leche entera Pascual brik 6 x 1 l,"Leche, huevos y mantequilla",Leche,LITRO,1.3,7.8
L105,Leche entera Pascual brik 1 l,"Leche, huevos y mantequilla",Leche,LITRO,1.3,1.3
L105,Nata para cocinar Puleva brik 200 ml,"Leche, huevos y mantequilla",Nata,LITRO,8.3,1.66
L105,Café molido mezcla intensa La estrella bolsa 250 g,"Café, cacao e infusiones",Café,KILO,9.8,2.45
L105,Mayonesa Ybarra frasco 400 ml,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",LITRO,5.48,2.19
L105,Margarina Proactiv tarrina 225 g,"Leche, huevos y mantequilla",Mantequilla y margarina,KILO,13.11,2.95
L105,Cacao soluble ColaCao bote 383 g,"Café, cacao e infusiones",Cacao,KILO,9.9,3.79
L105,Nata en spray Dia Láctea bote 250 g,"Leche, huevos y mantequilla",Nata,KILO,6.76,1.69
L105,Bebida láctea crecimiento y desarrollo Puleva brik 1 l,"Leche, huevos y mantequilla",Leche,LITRO,1.89,1.89
L105,Cacao instantáneo Nesquik estuche 2 Kg,"Café, cacao e infusiones",Cacao,KILO,5,9.99
L105,Leche en polvo Sveltesse lata 600 g,"Leche, huevos y mantequilla",Leche,KILO,14,8.4
L105,Leche condensada La lechera lata 740 g,"Leche, huevos y mantequilla",Leche,KILO,5.39,3.99
L105,Bebida láctea folic b Flora brik 1 l,"Leche, huevos y mantequilla",Leche,LITRO,1.83,1.83
L105,Leche condensada La lechera lata 370 g,"Leche, huevos y mantequilla",Leche,KILO,7.27,2.69
L106,Chocolate con leche relleno con caramelo y avellanas Milka 300 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,12.97,3.89
L106,Barritas de barquillo recubierta de chocolate con leche Huesitos bolsa 200 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,12.25,2.45
