Nombre,Precio,Precio_unidad_outlayers,categoria,categoria_producto,subcategoria,Marca,Unidad_medida,Supermercado,Precio_unit
Mermelada limón ecológica Chivers 265 g.,5.29,19.96,la despensa,"Azúcar, caramelos y chocolate",dulce,CHIVERS,KILO,Carrefour,19.96
"Café espresso en cápsulas Marcilla Tassimo 16 unidades de 7,4 g.",5.29,44.83,la despensa,"Cacao, café e infusiones",desayuno,TASSIMO,KILO,Carrefour,44.83
Preparado para pan Schär sin gluten y sin lactosa 1 kg.,5.29,5.29,la despensa,"Salsas, pasta y refrescos",alimentacion,,KILO,Carrefour,5.29
Bolsas de Basura Resistente y Eco 100% Reciclado HANDY BAG 30L 25 ud,5.29,0.21,limpieza y hogar,Limpieza y hogar,utensilios de limpieza,,UNIDAD,Carrefour,0.21
Chocolate negro 70% con avellanas Valor sin gluten 250 g.,5.29,21.16,la despensa,"Azúcar, caramelos y chocolate",dulce,VALOR,KILO,Carrefour,21.16
Gel limpiador facial hidratante con ácido hialurónico Babaria 200 ml.,5.29,2.641,perfumeria e higiene,Cuidado facial y corporal,cuidado y proteccion corporal,,100 ML,Carrefour,2.641
Jamón de cebo ibérico 50% raza ibérica en lonchas Carrefour 100 g,5.29,52.9,productos frescos,Charcutería y quesos,charcuteria,CARREFOUR,KILO,Carrefour,52.9
Té negro en bolsitas Earl Grey Tea Twinings 25 ud.,5.29,105.8,la despensa,"Cacao, café e infusiones",desayuno,TWININGS,KILO,Carrefour,105.8
Champú reflejos dorados para cabello rubio con extracto de flor de camomila Timotei 750 ml.,5.29,0.711,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,0.711
Servilleta Eco en rollo 2 capas Carrefour Home 500 uds,5.29,5.29,limpieza y hogar,Limpieza y hogar,papel y celulosa,,UNIDAD,Carrefour,5.29
Colgador WC blue activ+ hygiene Bref 3 ud.,5.29,35.27,limpieza y hogar,Limpieza y hogar,productos para bano,,KILO,Carrefour,35.27
Canelones de Carne La Cocinera 500 g,5.29,10.58,congelados,Pizzas y platos preparados,rebozados y platos preparados,COCINERA PRODUCTO,KILO,Carrefour,10.58
Acondicionador repara & protege doble de nutrientes con 1 solo uso para cabello débil o dañado Nutri-Plex Pantene 325 ml.,5.29,1.631,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,1.631
Recambios maquinilla para mujer sistema precisión extrema 6 hojas Carrefour Soft 3 ud.,5.29,1.76,perfumeria e higiene,Cuidado facial y corporal,depilacion y afeitado,,UNIDAD,Carrefour,1.76
Dentífrico Sensibilidad & Encías Calm Oral-B 75 ml.,5.29,7.051,perfumeria e higiene,Cuidado facial y corporal,boca y sonrisa,,100 ML,Carrefour,7.051
Corazon Loco Blanco 2022,5.29,5.29,bebidas,Bodega,vinos,CORAZON LOCO,UNIDAD,Carrefour,5.29
Pistachos tostados y saldaos Classic Carrefour 400 g.,5.29,13.22,la despensa,"Aceite, especias y salsas",aperitivos,CARREFOUR,KILO,Carrefour,13.22
Recambios maquinilla Turbo 6 Carrefour Men 4 ud.,5.29,1.32,perfumeria e higiene,Cuidado facial y corporal,depilacion y afeitado,,UNIDAD,Carrefour,1.32
Bonito del norte en aceite de oliva De Nuestra Tierra 125 g.,5.29,42.32,la despensa,"Aceite, especias y salsas",conservas sopas y precocinados,NUESTRA TIERRA,KILO,Carrefour,42.32
"Café con leche en cápsulas Marcilla Tassimo 16 unidades de 11,5 g.",5.29,28.75,la despensa,"Cacao, café e infusiones",desayuno,TASSIMO,KILO,Carrefour,28.75
Acondicionador suave & liso doble de nutrientes con 1 solo uso para cabello encrespado o apagado Nutri Pro-V Pantene 325 ml.,5.29,1.631,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,1.631
Dentífrico blanqueadora sensibilidad & encias Calm Oral B 75 ml.,5.29,7.051,perfumeria e higiene,Cuidado facial y corporal,boca y sonrisa,,100 ML,Carrefour,7.051
Longaniza blanca fresca de cerdo ibérico Carrefour 400 g aprox,5.28,13.2,productos frescos,Carne,carniceria,,KILO,Carrefour,13.2
"Papayon a granel 1,2 kg aprox",5.27,4.39,productos frescos,Fruta y verdura,frutas,,KILO,Carrefour,4.39
Vino tinto crianza Alma de Valdeguerra 75 cl.,5.25,5.25,bebidas,Bodega,vinos,ALMA VALDEGUERRA,UNIDAD,Carrefour,5.25
Ron Yacaré carta blanca 70 cl.,5.25,7.5,bebidas,Bodega,alcoholes,CARREFOUR,LITRO,Carrefour,7.5
Corazones de alcachofa troceados Findus 300 g.,5.25,17.5,congelados,Congelados,verduras congeladas,FINDUS PRODUCTO,KILO,Carrefour,17.5
Ternera a la jardinera Carretilla 300 g.,5.25,17.5,la despensa,"Conservas, caldos y cremas",conservas sopas y precocinados,CARRETILLA,KILO,Carrefour,17.5
Mascarilla capilar reconstituyente Tesoros de Miel para pelo dañado Original Remedies Garnier 320 ml.,5.25,1.541,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,1.541
Chupete tetina anatómica de látex 0-6 m Suavinex 2 ud.,5.25,2.62,parafarmacia,Bebé,bebe,,UNIDAD,Carrefour,2.62
Mascarilla capilar hidratante protectora Delicatesse de Avena para cuero cabelludo sensible Original Remedies Garnier 300 ml.,5.25,1.541,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,1.541
Colesterol en cápsulas H4U sin gluten 30 ud.,5.25,1.021,parafarmacia,Fitoterapia y parafarmacia,nutricion y dietetica,,100 GR,Carrefour,1.021
Salchichón herradura ibérico pieza Embutidos Nejosa 375 g,5.25,14.0,productos frescos,"Aceite, especias y salsas",charcuteria,,KILO,Carrefour,14.0
Fiambre de Pechuga de Pavo Mini Pavofrío Campofrío sin gluten y sin lactosa 340 g,5.25,15.44,productos frescos,Charcutería y quesos,charcuteria,RIO,KILO,Carrefour,15.44
Pan tostado Schär sin gluten y sin lactosa 260 g.,5.25,20.19,productos frescos,Panadería y pastelería,panaderia tradicional,SCHAR,KILO,Carrefour,20.19
Dorada de ración Carrefour 600 g aprox,5.25,0.0,productos frescos,Marisco y pescado,pescaderia,,No especificado,Carrefour,0.0
Berberana Carta De Plata Con Crianza,5.25,5.25,bebidas,Bodega,vinos,BERBERANA CARTA,UNIDAD,Carrefour,5.25
Chipirones rellenos en aceite de girasol Javimar 72 g.,5.25,72.92,la despensa,"Aceite, especias y salsas",conservas sopas y precocinados,JAVIMAR,KILO,Carrefour,72.92
Arándanos Carrefour 500 g,5.25,0.0,productos frescos,Fruta y verdura,frutas,,No especificado,Carrefour,0.0
Fregona tiras de microfibra KH7 - Amarillo,5.25,5.25,limpieza y hogar,Limpieza y hogar,utensilios de limpieza,,UNIDAD,Carrefour,5.25
Compresas super plus con alas Cottonlike Evax 20 ud.,5.25,0.26,perfumeria e higiene,Cuidado facial y corporal,higiene intima,,UNIDAD,Carrefour,0.26
Pepinillos agridulces Kühne 360 g.,5.25,14.58,la despensa,Aperitivos,aperitivos,KHUNE,KILO,Carrefour,14.58
Crema facial purificadora 3 en 1 con arcilla Carrefour Soft 150 ml.,5.25,3.501,perfumeria e higiene,Cuidado facial y corporal,cuidado y proteccion corporal,,100 ML,Carrefour,3.501
Chorizo Ibérico Extra Cular Carrefour el Mercado sin gluten 260 g,5.25,20.19,productos frescos,Charcutería y quesos,charcuteria,MERCADO,KILO,Carrefour,20.19
Barrita de galleta crujiente cubierta de chocolate Nestlé Kit Kat 10 ud.,5.25,12.65,la despensa,"Azúcar, caramelos y chocolate",dulce,KIT KAT,KILO,Carrefour,12.65
Mascarilla capilar nutrición extrema Oliva Mítica para pelo seco Original Remedies Garnier 300 ml.,5.25,1.541,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,1.541
Chorizo Extra Dulce de León Palcarsa 325 g,5.25,16.15,productos frescos,Charcutería y quesos,charcuteria,,KILO,Carrefour,16.15
Lasaña de Atún La Cocinera 500 g.,5.25,10.5,congelados,Pizzas y platos preparados,rebozados y platos preparados,COCINERA PRODUCTO,KILO,Carrefour,10.5
Canelones de Atún La Cocinera 500 g.,5.25,10.5,congelados,Pizzas y platos preparados,rebozados y platos preparados,COCINERA PRODUCTO,KILO,Carrefour,10.5
Calamar de la India limpio 400 g,5.25,13.12,congelados,Congelados,pulpo calamar y sepia congelados,CARREFOUR,KILO,Carrefour,13.12
Limpiador lingual Halita 1 ud.,5.25,5.25,parafarmacia,Cuidado facial y corporal,higiene bucal,,UNIDAD,Carrefour,5.25
Salchichón Ibérico Extra Cular Carrefour El Mercado sin gluten 260 g,5.25,20.19,productos frescos,"Aceite, especias y salsas",charcuteria,MERCADO,KILO,Carrefour,20.19
Mascarilla hidratante carbón magnético semilla negra puntas secas Original Remedies Garnier 340 ml.,5.25,1.541,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,1.541
Ron blanco Apache 70 cl.,5.25,7.5,bebidas,Bodega,alcoholes,,LITRO,Carrefour,7.5
Aceitunas gordal aliñada sin hueso Classic Carrefour sin gluten 400 g.,5.25,10.5,la despensa,Aperitivos,aperitivos,CARREFOUR,KILO,Carrefour,10.5
Aguacate hass Carrefour a granel 1 kg,5.25,5.25,productos frescos,Fruta y verdura,frutas,,KILO,Carrefour,5.25
Mascarilla capilar antiencrespamiento con aceite de aguacate y manteca de karité Garnier Original Remedies 300 ml.,5.25,1.541,perfumeria e higiene,"Aceite, especias y salsas",cabello,,100 ML,Carrefour,1.541
Champú neutro sin sulfatos Herbal 500 ml.,5.25,1.051,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,1.051
Muslo de pollo campero Calidad y Origen Carrefour 600 g aprox,5.21,8.69,productos frescos,Carne,carniceria,,KILO,Carrefour,8.69
Espetec Casa Tarradellas sin gluten pack de 2 unidades de 360 g.,5.2,14.44,productos frescos,Charcutería y quesos,charcuteria,CASA TARRADELLAS,KILO,Carrefour,14.44
Pechuga de codorniz Calidad y Origen Carrefour 180 g,5.2,28.89,productos frescos,Carne,carniceria,CYO,KILO,Carrefour,28.89
Cepillo de dientes suave limpieza profunda Encías Revitalizantes Colgate 1 ud.,5.19,5.19,perfumeria e higiene,Cuidado facial y corporal,boca y sonrisa,,UNIDAD,Carrefour,5.19
Almendras naturales con piel Wonderful 200 g.,5.19,25.95,la despensa,Aperitivos,aperitivos,,KILO,Carrefour,25.95
Puerros sin sal añadida Carrefour 400 g.,5.19,12.97,la despensa,"Aceite, especias y salsas",conservas sopas y precocinados,CARREFOUR,KILO,Carrefour,12.97
Cepillo de dientes encías delicadas Gingilacer 1 ud.,5.19,5.19,parafarmacia,Cuidado facial y corporal,higiene bucal,,UNIDAD,Carrefour,5.19
Gildas con anchoa De Nuestra Tierra sin gluten y sin lactosa 90 g.,5.19,57.67,la despensa,Aperitivos,aperitivos,NUESTRA TIERRA,KILO,Carrefour,57.67
Aceitunas manzanilla gazpachas Fragata sin gluten 400 g.,5.19,12.97,la despensa,"Cacao, café e infusiones",aperitivos,FRAGATA,KILO,Carrefour,12.97
Galletas de barquillo cubiertas de chocolate Choco Wafer Milka 300 g.,5.19,17.3,la despensa,Cereales y galletas,desayuno,MONDELEZ,KILO,Carrefour,17.3
Jabón líquido ultra suave con aloe vera para cuerpo y cabello Nenuco 1100 ml.,5.19,0.471,bebe,Cuidado facial y corporal,perfumeria e higiene,,100 ML,Carrefour,0.471
Marina Alta Blanco 2022,5.19,5.19,bebidas,Bodega,vinos,MARINA ALTA,UNIDAD,Carrefour,5.19
Champú Repara & protege 3 en 1 Pantene 300 ml.,5.19,1.731,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,1.731
Enjuague bucal blanqueador Max White One Colgate 500 ml.,5.19,1.041,perfumeria e higiene,Cuidado facial y corporal,boca y sonrisa,,100 ML,Carrefour,1.041
Salchichón de Toledo Curado España e Hijos sin gluten pieza de 260 g,5.19,19.96,productos frescos,"Aceite, especias y salsas",charcuteria,,KILO,Carrefour,19.96
Galletas con pepitas de chocolate Chips Ahoy 400 g.,5.19,0.0,la despensa,Cereales y galletas,desayuno,CHIPS AHOY,No especificado,Carrefour,0.0
Salsa de soja Kikkoman botella 150 ml.,5.19,34.6,la despensa,"Aceite, especias y salsas",alimentacion,KIKKOMAN,LITRO,Carrefour,34.6
Aceite de Aguacate La Masía 250 ml.,5.19,20.76,la despensa,"Aceite, especias y salsas",alimentacion,MASIA,LITRO,Carrefour,20.76
Suavizante concentrado frescor marino Vernel 95 lavados.,5.19,0.05,limpieza y hogar,Limpieza y hogar,cuidado de la ropa,,LAVADO,Carrefour,0.05
Fabada Asturiana Litoral sin gluten 980 g.,5.19,5.3,la despensa,"Conservas, caldos y cremas",conservas sopas y precocinados,LITORAL,KILO,Carrefour,5.3
Gildas con boquerón De Nuestra Tierra sin gluten y sin lactosa 90 g.,5.19,57.67,la despensa,Aperitivos,aperitivos,NUESTRA TIERRA,KILO,Carrefour,57.67
Espárragos verdes 8/16 ecológicos Carrefour Bio 185 g.,5.19,28.05,la despensa,"Conservas, caldos y cremas",conservas sopas y precocinados,CARREFOUR,KILO,Carrefour,28.05
Champú suave para pieles atópicas Instituto Español 300 ml.,5.19,1.731,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,1.731
Café Mocha en Cápsulas Nescafé Dolce Gusto 16 ud.,5.19,0.0,la despensa,"Cacao, café e infusiones",desayuno,NESCAFE,No especificado,Carrefour,0.0
Sandwich stick Oreo Milka 4 ud.,5.19,1.3,congelados,Congelados,helados,,UNIDAD,Carrefour,1.3
Aroma de vainilla de Madagascar Dr. Oetker 35 g.,5.19,148.29,la despensa,"Azúcar, caramelos y chocolate",dulce,,KILO,Carrefour,148.29
Enjuague bucal protección 24h antibacteriano Plax Soft Mint Colgate 500 ml.,5.19,1.041,perfumeria e higiene,Cuidado facial y corporal,boca y sonrisa,,100 ML,Carrefour,1.041
Crema fijadora para prótesis dentales sin sabor Polident 40 g.,5.19,12.971,perfumeria e higiene,Cuidado facial y corporal,boca y sonrisa,,100 GR,Carrefour,12.971
Vino rosado Gran Feudo D.O. Navarra 75 cl.,5.19,5.19,bebidas,Bodega,vinos,GRAN FEUDO,UNIDAD,Carrefour,5.19
Ginebra Xpress 70 cl.,5.19,7.41,bebidas,Bodega,alcoholes,,LITRO,Carrefour,7.41
Fregona Microfibras  SPONTEX Mosaik.- Lila,5.19,5.19,limpieza y hogar,Limpieza y hogar,utensilios de limpieza,,UNIDAD,Carrefour,5.19
Tratamiento capilar sin aclarado 10 beneficios en 1 Magic Flash Revlon 200 ml.,5.19,2.591,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,2.591
Edulcorante Classic líquido Natreen 250 ml.,5.19,20.76,la despensa,Cereales y galletas,desayuno,NATREEN,LITRO,Carrefour,20.76
Conos auriculares Farmamed 2 ud.,5.19,5.19,perfumeria e higiene,Cuidado facial y corporal,bano e higiene corporal,FARMAMED,UNIDAD,Carrefour,5.19
Agua de colonia Lavanda Puig 750 ml.,5.19,0.691,perfumeria e higiene,Cuidado facial y corporal,bano e higiene corporal,,100 ML,Carrefour,0.691
Enjuague bucal combate las bacterias aliento fresco Triple Action Colgate 500 ml.,5.19,1.041,perfumeria e higiene,Cuidado facial y corporal,boca y sonrisa,,100 ML,Carrefour,1.041
"Pienso de pollo para gato Dream Excellence 1,5 kg",5.19,3.46,mascotas,Mascotas,gatos,,KILO,Carrefour,3.46
Chorizo ibérico Valturra pieza de 350 g aprox,5.16,14.75,productos frescos,Charcutería y quesos,charcuteria,VALTURRA,KILO,Carrefour,14.75
EScalopin de lomo de cerdo fresco marinado El Pozo Extratiernos 600 g,5.15,8.58,productos frescos,Carne,carniceria,PREPARADO CARNICO,KILO,Carrefour,8.58
Pasta de sésamo Tahina Sawor's 300 g.,5.15,17.17,la despensa,"Arroz, legumbres y pasta",alimentacion,SAWOR,KILO,Carrefour,17.17
Tinte permanente nº 5.0 castaño claro Naturals Color Cream Palette Schwarzkopf 1 ud.,5.15,5.15,perfumeria e higiene,Cuidado del cabello,cabello,,UNIDAD,Carrefour,5.15
Mordedor Refrigerante +4M Etapa 2,5.15,5.15,bebe,Bebé,puericultura,,UNIDAD,Carrefour,5.15
Detergente para biberones Nuk 500 ml.,5.15,1.031,limpieza y hogar,Bodega,productos para cocina,,100 ML,Carrefour,1.031
Paleta de cebo ibérica 50% raza ibérica en lonchas Carrefour 100 g,5.15,51.5,productos frescos,Charcutería y quesos,charcuteria,CARREFOUR,KILO,Carrefour,51.5
"Pienso de atún y verduras para gato adulto atún y verduras Purina Friskies 1,5 Kg",5.15,3.43,mascotas,Mascotas,gatos,,KILO,Carrefour,3.43
Desodorante en spray antitranspirante 48h Invisible Black&White Rexona pack de 2 unidades de 200 ml.,5.15,1.291,perfumeria e higiene,Cuidado facial y corporal,bano e higiene corporal,,100 ML,Carrefour,1.291
Lasaña de champiñones y mix de setas La cocinera 500 g.,5.15,10.3,la despensa,"Conservas, caldos y cremas",conservas sopas y precocinados,COCINERA PRODUCTO,KILO,Carrefour,10.3
Pack de 30 Discos de Lactancia Indas,5.15,0.17,parafarmacia,Bebé,bebe,,UNIDAD,Carrefour,0.17
Champú rizos definidos fórmula Pro-V con antioxidantes para cabello encrespado y rebelde Nutri Pro-V Pantene 385 ml.,5.15,1.341,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,1.341
Queso de vaca semicurado cuña cortada Old Amsterdam sin lactosa 200 g.,5.15,25.75,productos frescos,Charcutería y quesos,quesos,OLD AMSTERDAM,KILO,Carrefour,25.75
Cepillo interdental fino angular Lacer 6 ud.,5.15,0.86,parafarmacia,Cuidado facial y corporal,higiene bucal,,UNIDAD,Carrefour,0.86
"Pienso de salmón y atún para gato adulto Brekkies Excel Mix 1,5 kg",5.15,3.43,mascotas,"Aceite, especias y salsas",gatos,,KILO,Carrefour,3.43
Viñas Del Vero Cabernet Sauvignon-Merlot Tinto 2022,5.15,5.15,bebidas,Bodega,vinos,DEL VERO,UNIDAD,Carrefour,5.15
Preparado vegetal a base de proteína de soja Sensational Mince Garden Gourmet 200 g.,5.15,25.75,la despensa,"Conservas, caldos y cremas",conservas sopas y precocinados,GARDEN GOURMET,KILO,Carrefour,25.75
Queso camembert President en porciones 250 g,5.15,20.6,productos frescos,Charcutería y quesos,quesos,PRESIDENT,KILO,Carrefour,20.6
Maquinilla Turbo 6 Carrefour Men 1 ud.,5.15,5.15,perfumeria e higiene,Cuidado facial y corporal,depilacion y afeitado,,UNIDAD,Carrefour,5.15
Lavavajillas a máquina en pastillas perfume limón Todo en uno Carrefour Expert 60 ud.,5.15,0.09,limpieza y hogar,Limpieza y hogar,productos para cocina,,LAVADO,Carrefour,0.09
Desodorante en spray Cobalt Blue anti-transpirante Rexona pack de 2 unidades de 200 ml.,5.15,1.291,perfumeria e higiene,Cuidado facial y corporal,bano e higiene corporal,,100 ML,Carrefour,1.291
Desodorante en spray para hombre crystal Rexona pack de 2 unidades de 200 ml.,5.15,1.291,perfumeria e higiene,Cuidado facial y corporal,bano e higiene corporal,,100 ML,Carrefour,1.291
"Pienso de buey, pollo y verduras para gato adulto Purina Friskies 1,5 Kg",5.15,3.43,mascotas,Mascotas,gatos,,KILO,Carrefour,3.43
Lasaña de Espinacas y Queso La Cocinera 500 g.,5.15,10.3,congelados,Pizzas y platos preparados,rebozados y platos preparados,COCINERA PRODUCTO,KILO,Carrefour,10.3
Palmera con chocolate blanco Airos sin gluten 150 g.,5.15,34.33,la despensa,Panadería y pastelería,panaderia bolleria y pasteleria,AIROS,KILO,Carrefour,34.33
Champú purificante fórmula Pro-V con antioxidantes para cabello limpio y sano Nutri Pro-V Pantene 385 ml.,5.15,1.341,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,1.341
Champú cuidado clásico fórmula Pro-V con antioxidantes para cabello normal y mixto Nutri-Plex Pantene 385 ml.,5.15,1.341,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,1.341
Dentífrico protección anticaries con flúor y calcio sabor fresa para niños +6 meses Infantil Lacer 75 ml.,5.15,6.871,parafarmacia,Cuidado facial y corporal,higiene bucal,,100 ML,Carrefour,6.871
Dentífrico blanqueador Max White Expert Original Colgate 75 ml.,5.15,6.871,perfumeria e higiene,Cuidado facial y corporal,boca y sonrisa,,100 ML,Carrefour,6.871
Cepillo interproximal cónico Interprox 6 ud.,5.15,0.86,parafarmacia,Cuidado facial y corporal,higiene bucal,,UNIDAD,Carrefour,0.86
Queso de cabra en lonchas El Ventero 160 g.,5.15,32.19,productos frescos,Charcutería y quesos,quesos,VENTERO,KILO,Carrefour,32.19
Queso de Mezcla Semicurado Carrefour Classic cuña de 500 g aprox,5.14,10.29,productos frescos,Charcutería y quesos,quesos,CARREFOUR,KILO,Carrefour,10.29
Costilla de Cerdo Ibérico Adobada Carrefour 750 g aprox,5.14,6.85,productos frescos,Carne,carniceria,CARREFOUR,KILO,Carrefour,6.85
Surtido Aperitivo de Longanizas Carrefour El Mercado 600 g aprox,5.1,8.5,productos frescos,Carne,carniceria,,KILO,Carrefour,8.5
Hamburguesa de Pollo Ecológicas Carrefour Bio 2x115 g,5.1,22.17,productos frescos,Carne,carniceria,CARREFOUR,KILO,Carrefour,22.17
Café cappuccino Starbucks 750 ml.,5.09,6.79,la despensa,"Cacao, café e infusiones",lacteos,STARBUCKS,LITRO,Carrefour,6.79
Tampones super plus Pearl Tampax 24 ud.,5.09,0.21,perfumeria e higiene,Cuidado facial y corporal,higiene intima,,UNIDAD,Carrefour,0.21
Filete de Merluza del Cabo Carrefour 600 g.,5.09,8.48,congelados,Congelados,pescados congelados,CARREFOUR,KILO,Carrefour,8.48
Pizza quatrro formaggi Tradizionale 380 g,5.09,13.39,congelados,Congelados,pizzas congeladas,OETKER,KILO,Carrefour,13.39
Compresas normal plus con alas Cottonlike Evax 28 ud.,5.09,0.18,perfumeria e higiene,Cuidado facial y corporal,higiene intima,,UNIDAD,Carrefour,0.18
Puntilla cruda congelada Delfín 450 g.,5.09,11.31,productos frescos,Cuidado facial y corporal,pescaderia,DELFIN,KILO,Carrefour,11.31
Tampones super Pearl Tampax 24 ud.,5.09,0.21,perfumeria e higiene,Cuidado facial y corporal,higiene intima,,UNIDAD,Carrefour,0.21
Cepillo interproximinal nano Interprox 6 ud.,5.09,0.85,parafarmacia,Cuidado facial y corporal,higiene bucal,,UNIDAD,Carrefour,0.85
Papel de cocina XXL 3 capas Carrefour Expert 1 rollo,5.09,5.09,limpieza y hogar,Limpieza y hogar,papel y celulosa,,UNIDAD,Carrefour,5.09
Crema natural de gamba y rape Aneto sin gluten y sin lactosa brik de 500 ml.,5.09,10.18,la despensa,"Conservas, caldos y cremas",conservas sopas y precocinados,ANETO,LITRO,Carrefour,10.18
Bombones de chocolate negro 70% cacao Nestlé Dark 165 g.,5.09,30.85,la despensa,"Azúcar, caramelos y chocolate",dulce,NESTLE,KILO,Carrefour,30.85
Filete de merluza del Cabo congelado Extra Carrefour 400 g.,5.09,12.72,productos frescos,Cuidado facial y corporal,pescaderia,,KILO,Carrefour,12.72
Calamar crudo troceado y limpio de la india congelado Carrefour 475 g.,5.09,10.72,congelados,Cuidado facial y corporal,pulpo calamar y sepia congelados,CARREFOUR,KILO,Carrefour,10.72
"Pechuga de pollo ""estilo Kentucky"" Maheso 250 g.",5.09,20.36,congelados,Pizzas y platos preparados,rebozados y platos preparados,MAHESO,KILO,Carrefour,20.36
Detergente liquido con jabón ecológico Eco Planet recambio Carrefour 33 lavados.,5.09,0.15,limpieza y hogar,Limpieza y hogar,cuidado de la ropa,CARREFOUR,LAVADO,Carrefour,0.15
Queso havarti en lonchas Arla 300 g.,5.09,16.97,productos frescos,Charcutería y quesos,quesos,ARLA,KILO,Carrefour,16.97
Tampones regular Pearl Tampax 24 ud.,5.09,0.21,perfumeria e higiene,Cuidado facial y corporal,higiene intima,,UNIDAD,Carrefour,0.21
Bombón golden toffe Wonder Magnum 3 ud.,5.09,1.7,congelados,Congelados,helados,,UNIDAD,Carrefour,1.7
Lasaña original italiana con queso Schär sin gluten 300 g.,5.09,16.97,congelados,Pizzas y platos preparados,rebozados y platos preparados,,KILO,Carrefour,16.97
Canelones con espinacas sin glutén Schär sin gluten 300 g.,5.09,16.97,congelados,"Cacao, café e infusiones",rebozados y platos preparados,SCHAR,KILO,Carrefour,16.97
Gel de ducha Classique Original Moussel 900 ml.,5.09,0.571,perfumeria e higiene,Cuidado facial y corporal,bano e higiene corporal,,100 ML,Carrefour,0.571
Gel de ducha dermo hidratante Douche Crème Moussel 900 ml.,5.09,0.571,perfumeria e higiene,Cuidado facial y corporal,bano e higiene corporal,,100 ML,Carrefour,0.571
Aceite protector solar SPF6 Science Les Cosmétiques 200 ml.,5.09,2.541,perfumeria e higiene,"Aceite, especias y salsas",cuidado y proteccion corporal,LES COSMETIQUES,100 ML,Carrefour,2.541
Cereales integrales de trigo Weetabix 645 g.,5.09,7.89,la despensa,Cereales y galletas,desayuno,WEETABIX,KILO,Carrefour,7.89
Mini bombón helado sabor pink lemonade Euphoria Magnum 3 ud.,5.09,1.7,congelados,Congelados,helados,,UNIDAD,Carrefour,1.7
Helado barritas Mars 6 ud.,5.09,0.85,congelados,Congelados,helados,,UNIDAD,Carrefour,0.85
Lomo embuchado en lonchas Nico Serranos 130 g,5.09,39.15,productos frescos,Charcutería y quesos,charcuteria,,KILO,Carrefour,39.15
Café tostado molido mezcla intenso La Estrella pack de 2 unidades de 250 g.,5.09,10.18,la despensa,"Cacao, café e infusiones",desayuno,ESTRELLA,KILO,Carrefour,10.18
Cinta dental fibra ptfe suave con flúor sabor menta Lacer 50 m.,5.09,5.09,parafarmacia,Cuidado facial y corporal,higiene bucal,,UNIDAD,Carrefour,5.09
Guindillas de Ibarra De Nuestra Tierra 120 g.,5.05,42.08,la despensa,Aperitivos,aperitivos,NUESTRA TIERRA,KILO,Carrefour,42.08
Agua de colonia Gotas Frescas Baby Instituto Español 250 ml,5.05,2.021,bebe,Cuidado facial y corporal,perfumeria e higiene,,100 ML,Carrefour,2.021
LECHE HIDRA.RIZO FRUCTIS.200ML,5.05,2.521,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,2.521
Tejas de Tolosa Casa Eceiza 125 g.,5.05,40.4,la despensa,Cereales y galletas,desayuno,CASA ECEIZA,KILO,Carrefour,40.4
Café molido natural espresso barista perfetto Lavazza 250 g.,5.05,20.2,la despensa,"Cacao, café e infusiones",desayuno,LAVAZZA,KILO,Carrefour,20.2
Lomos de merluza a la romana Pescanova 325 g.,5.05,15.54,la despensa,"Conservas, caldos y cremas",conservas sopas y precocinados,PESCANOVA,KILO,Carrefour,15.54
Colonia para bebé Denenes 500 ml.,5.05,1.011,bebe,Cuidado facial y corporal,perfumeria e higiene,,100 ML,Carrefour,1.011
Salchichas originales Heura sin gluten 216 g.,5.05,23.38,productos frescos,"Aceite, especias y salsas",charcuteria,,KILO,Carrefour,23.38
Cereales con chocolate negro Special K Kellog's 500 g.,5.05,10.1,la despensa,Cereales y galletas,desayuno,KELLOGG,KILO,Carrefour,10.1
Empanadillas de atún Recetas Artesanas La Cocinera 312 g.,5.05,16.19,congelados,Pizzas y platos preparados,rebozados y platos preparados,COCINERA,KILO,Carrefour,16.19
Gel de baño para la piel delicada del recién nacido Cottontouch Johnson's Baby 500 ml.,5.05,1.011,parafarmacia,Cuidado facial y corporal,bebe,,100 ML,Carrefour,1.011
Pizza de barbacoa pulled pork Casa di Mama Dr. Oetker 405 g.,5.05,12.47,la despensa,"Conservas, caldos y cremas",conservas sopas y precocinados,,KILO,Carrefour,12.47
